order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,quarter_recommendation,half_year_target_price,one_year_recommendation,one_year_target_price,half_year_recommendation
000563.XSHE,2006-03-23,东北证券,,,3,1,2024-12-13 17:32:33,2006-03-24 17:51:01,3.0,,,,
000563.XSHE,2006-04-28,国泰海通证券,,,3,1,2024-12-13 17:32:49,2006-05-08 15:08:20,3.0,,,,
000563.XSHE,2006-05-16,国泰海通证券,,,3,1,2024-12-13 17:32:42,2006-05-16 17:50:30,3.0,,,,
000563.XSHE,2006-05-22,国泰海通证券,,,3,1,2024-12-13 17:32:33,2006-05-22 15:36:58,3.0,,,,
000563.XSHE,2006-06-19,国泰海通证券,,,3,1,2024-12-13 17:32:57,2006-06-22 13:47:45,3.0,,,,
000563.XSHE,2006-07-12,国泰海通证券,,,3,1,2024-12-13 17:32:38,2006-07-14 11:05:28,3.0,,,,
000563.XSHE,2006-08-21,国泰海通证券,4.5000,M06,3,1,2024-12-13 04:52:16,2006-08-23 11:10:28,3.0,4.5,,,
000563.XSHE,2006-09-11,国泰海通证券,,,3,1,2024-12-13 17:32:51,2006-09-11 17:42:25,3.0,,,,
000563.XSHE,2006-09-14,国泰海通证券,,,3,1,2024-12-13 17:32:53,2006-09-14 16:40:42,3.0,,,,
000563.XSHE,2006-09-19,国泰海通证券,,,3,1,2024-12-13 17:32:54,2006-09-21 16:40:50,3.0,,,,
000563.XSHE,2006-10-18,国泰海通证券,,,3,1,2024-12-13 17:32:43,2006-10-20 15:13:18,3.0,,,,
000563.XSHE,2006-10-28,国泰海通证券,4.5000,M06,3,1,2024-12-13 04:52:12,2006-10-31 14:40:54,3.0,4.5,,,
000563.XSHE,2006-12-19,国泰海通证券,,,3,1,2024-12-13 17:32:36,2006-12-25 14:11:11,3.0,,,,
000563.XSHE,2007-02-05,国泰海通证券,,,3,1,2024-12-13 17:32:52,2007-02-07 11:11:03,3.0,,,,
000563.XSHE,2007-07-04,国泰海通证券,,,3,1,2024-12-13 17:32:36,2007-07-04 14:40:43,3.0,,,,
000563.XSHE,2007-07-09,国泰海通证券,,,3,1,2024-12-13 17:32:54,2007-07-09 15:25:38,3.0,,,,
000563.XSHE,2007-07-24,国泰海通证券,,,3,1,2024-12-13 17:32:51,2007-07-24 17:25:33,3.0,,,,
000563.XSHE,2007-08-07,申万宏源,,,3,1,2024-12-13 17:32:47,2007-08-07 15:25:50,3.0,,,,
000563.XSHE,2007-09-26,国泰海通证券,26.5000,M06,2,1,2024-12-13 04:52:14,2007-09-26 15:57:52,2.0,26.5,,,
000563.XSHE,2007-10-11,国泰海通证券,,,3,1,2024-12-13 17:32:41,2007-10-11 16:25:50,3.0,,,,
000563.XSHE,2007-10-16,国泰海通证券,,,3,1,2024-12-13 17:32:35,2007-10-16 17:13:23,3.0,,,,
000563.XSHE,2007-11-06,申万宏源,,,3,1,2024-12-13 17:32:34,2007-11-07 18:26:21,3.0,,,,
000563.XSHE,2007-11-08,申万宏源,,,3,1,2024-12-13 17:32:49,2007-11-09 17:42:14,3.0,,,,
000563.XSHE,2008-01-10,东海证券,,,3,1,2024-12-13 17:32:34,2008-01-15 20:40:31,3.0,,,,
000563.XSHE,2008-01-30,申万宏源,,,2,1,2024-12-13 17:32:56,2008-02-01 16:41:05,2.0,,,,
000563.XSHE,2008-01-31,兴业证券,,,2,3,2024-12-13 17:32:47,2008-02-01 14:11:29,3.0,21.0,2.0,,
000563.XSHE,2008-01-31,国泰海通证券,,,2,1,2024-12-13 17:32:54,2008-01-31 18:11:17,2.0,,,,
000563.XSHE,2008-02-14,国泰海通证券,,,2,1,2024-12-13 17:32:41,2008-02-14 16:42:13,2.0,,,,
000563.XSHE,2008-03-11,国泰海通证券,,,2,1,2024-12-13 17:32:50,2008-03-12 16:41:34,2.0,,,,
000563.XSHE,2008-03-28,兴业证券,,,1,3,2024-12-13 17:32:38,2008-03-28 17:56:00,3.0,21.0,1.0,,
000563.XSHE,2008-04-02,兴业证券,,,1,3,2024-12-13 17:32:40,2008-04-09 08:55:27,,,1.0,,
000563.XSHE,2008-04-17,国泰海通证券,,,2,1,2024-12-13 17:32:37,2008-04-17 18:10:13,2.0,,,,
000563.XSHE,2008-04-21,兴业证券,21.0000,M06,3,1,2024-12-13 04:52:12,2008-04-25 15:40:51,3.0,21.0,1.0,,
000563.XSHE,2008-04-21,申万宏源,,,2,1,2024-12-13 17:32:56,2008-04-21 18:10:34,2.0,,,,
000563.XSHE,2008-04-23,国泰海通证券,,,2,1,2024-12-13 17:32:51,2008-04-24 18:10:22,2.0,,,,
000563.XSHE,2008-05-28,国泰海通证券,,,2,1,2024-12-13 17:32:36,2008-05-29 16:25:41,2.0,,,,
000563.XSHE,2008-05-31,兴业证券,,,3,1,2024-12-13 17:32:55,2008-06-04 17:25:42,3.0,,,,
000563.XSHE,2008-06-16,国泰海通证券,,,2,1,2024-12-13 17:32:46,2008-06-16 17:10:41,2.0,,,,
000563.XSHE,2008-06-18,国泰海通证券,,,2,1,2024-12-13 17:32:35,2008-06-19 17:25:30,2.0,,,,
000563.XSHE,2008-06-25,东海证券,,,3,1,2024-12-13 17:32:39,2008-06-30 10:40:57,3.0,,,,
000563.XSHE,2008-07-24,兴业证券,21.0000,M06,3,1,2024-12-13 04:52:13,2008-07-29 17:55:28,3.0,21.0,1.0,,
000563.XSHE,2008-07-25,申万宏源,,,2,1,2024-12-13 17:32:56,2008-07-25 17:25:38,2.0,,,,
000563.XSHE,2008-07-29,国泰海通证券,,,2,1,2024-12-13 17:32:58,2008-07-29 17:55:28,2.0,,,,
000563.XSHE,2008-08-21,兴业证券,21.0000,M06,3,1,2024-12-13 04:52:14,2008-08-26 17:56:00,3.0,21.0,1.0,,
000563.XSHE,2008-08-28,兴业证券,21.0000,M06,3,1,2024-12-13 04:52:16,2008-08-29 16:55:51,3.0,21.0,1.0,,
000563.XSHE,2008-08-28,申万宏源,,,2,1,2024-12-13 17:32:54,2008-08-28 17:56:26,2.0,,,,
000563.XSHE,2008-09-03,国泰海通证券,,,2,1,2024-12-13 17:32:55,2008-09-04 17:17:01,2.0,,,,
000563.XSHE,2008-09-09,国泰海通证券,,,2,1,2024-12-13 17:32:47,2008-09-10 16:46:48,2.0,,,,
