order_book_id,quarter,info_date,cost_of_goods_sold,cash_flow_from_operating_activities,cash_flow_from_investing_activities,inventory,if_adjusted,total_liabilities,net_profit,intangible_assets,undistributed_profit,operating_expense,net_accts_receivable,total_assets,notes_payable,rice_create_tm,investment_income,current_liabilities,cash_flow_from_financing_activities,revenue,total_equity,operating_revenue,current_assets,net_fixed_assets,financing_expense
603529.XSHG,2015q4,2018-06-29,4974482442.01,1021949519.68,-762596915.29,174398867.68,0,2614437154.98,374547243.87,273164624.84,637556012.41,,70638986.57,3478962565.55,1698439289.47,2022-01-06 10:10:26,46129100.06,2579900435.73,-262069806.16,5912255550.68,864525410.57,5912255550.68,2306897411.75,677292496.31,-20899316.1
603529.XSHG,2016q4,2019-09-05,5352483666.76,873392974.22,-1863931971.02,299681643.56,0,4624279294.41,447107780.64,317910466.14,786672283.61,,100579145.01,5641566189.11,2973417080.01,2022-01-06 10:10:26,40448393.53,4554421220.54,1025503743.85,6443850066.62,1017286894.7,6443850066.62,4236689093.58,813683694.35,-28710971.06
603529.XSHG,2017q4,2019-09-05,6777363929.29,1412308856.43,404169286.73,358720176.42,0,4483849478.63,263323960.76,342762946.14,308965802.57,,263890070.65,5546149495.03,2542869675.78,2022-01-06 10:10:26,28632669.4,4404542757.52,-1711119344.72,7794486945.74,1062300016.4,7794486945.74,4145690442.01,896913223.24,-93807695.31
603529.XSHG,2018q4,2021-05-26,7810764061.64,727256795.51,-936506290.06,290303907.03,0,4564382224.19,430256132.19,379018725.19,705597305.46,,241565111.4,6098652072.62,2620226500.53,2022-01-06 10:10:26,14711808.89,4477437576.77,124019420.48,8989778923.53,1534269848.43,8989778923.53,3197260698.28,1089572043.31,-129734779.61
603529.XSHG,2019q2,2019-09-05,3832897896.52,292141158.98,-237216772.4,288540083.0,0,4633600427.81,199175788.0,341933684.49,905816673.44,,258538369.82,6357629195.42,2439025852.04,2022-01-06 10:10:26,4315771.41,4547965982.89,12806818.87,4454499994.39,1724028767.61,4454499994.39,3247533717.96,1122787839.6,-64174356.4
603529.XSHG,2019q4,2022-04-16,8998061063.87,1413660782.04,-1764086635.17,543430002.87,1,5788000465.61,519756120.31,341995700.63,1183021458.81,,118750072.94,7832809565.53,3348461197.16,2022-08-04 10:35:59,15547026.49,5704172816.82,299280993.49,10423830989.66,2044809099.92,10423830989.66,4571183617.06,1140311975.15,-143582198.59
603529.XSHG,2020q1,2021-05-26,1591714801.16,96900611.29,132824106.63,,1,,115412846.92,,,,,,,2022-01-06 10:10:26,2811924.89,,-84157522.38,1852431268.62,,1852431268.62,,,-17104084.59
603529.XSHG,2020q2,2021-10-30,5148369739.22,1009477129.31,-989174510.25,,1,,341042146.14,,,,,,,2022-08-09 18:52:39,32093474.58,,232480884.18,5876481643.05,,5876481643.05,,,-33390140.2
603529.XSHG,2020q3,2021-10-30,9680797735.55,2388982489.57,-1982319416.79,,1,,599292070.86,,,,,,,2022-01-06 10:10:26,46558218.75,,511862894.86,10954747241.36,,10954747241.36,,,-83418515.68
603529.XSHG,2020q4,2023-04-15,11431221982.27,1154579844.77,-560501674.27,494751269.64,1,6964850423.88,609840790.06,316215456.18,1781546043.16,,187700162.28,9612693262.79,4555247953.7,2023-04-15 04:26:08,71851196.5,6839138593.93,370512394.73,12904586099.11,2647842838.91,12904586099.11,3683520863.66,1767169467.93,-135095939.12
603529.XSHG,2021q1,2022-04-29,2743678470.58,201242763.42,-422497951.91,757971866.78,1,7105023057.94,152915396.04,310918967.04,1933499491.82,,267126007.7,9892551292.89,3498058792.13,2022-04-28 21:36:54,1872453.51,6980516071.46,110921699.17,3127600595.24,2787528234.95,3127600595.24,3719213059.89,1737019150.78,-50542749.8
603529.XSHG,2021q2,2022-10-29,6480330643.94,568445820.13,-694446266.08,721979934.38,1,7335031799.52,314141538.94,305551748.05,2095443309.24,,372866465.28,11964649977.37,2995220438.4,2022-10-28 21:21:57,6390190.77,7212944255.16,1845986112.81,7311654195.14,4629618177.85,7311654195.14,5694652109.48,1699953534.53,-110219624.27
603529.XSHG,2021q3,2022-10-29,11087638196.86,2530513652.11,-1566940236.94,601551644.69,1,9021382636.34,581069248.62,300467600.8,2359212978.22,,334057509.97,13919306811.69,4319662402.81,2022-10-28 21:21:57,9231154.84,8887127368.72,1832849503.02,12512694305.38,4897924175.35,12512694305.38,6808308989.99,,-180377640.8
603529.XSHG,2021q4,2024-04-16,13593606029.56,2094187373.97,-2024141754.57,795689208.89,1,8417177181.15,667721279.19,332074064.23,2433650547.11,,207629801.65,13396944911.18,4926337711.4,2024-04-15 20:12:14,-16374983.63,8251273305.18,1797930958.66,15398710870.72,4979767730.03,15398710870.72,5507155468.33,1964000630.29,-261133668.57
603529.XSHG,2022q1,2023-04-27,3940253515.64,991740553.97,-193941129.65,729376027.42,1,8978403998.61,315727531.17,324854383.25,2751129128.58,,286679000.74,14294025915.81,4129605721.04,2023-04-26 21:23:53,9756473.65,8811576153.45,23748359.87,4586633662.82,5315621917.2,4586633662.82,6056746386.06,,-69654859.83
603529.XSHG,2022q2,2023-10-24,8053792692.18,1795819071.94,-28622327.98,699503161.7,1,9869941133.01,687911873.05,381293116.65,2918322753.71,,272278858.53,15372306393.47,4873128254.42,2023-10-23 20:14:46,12490848.26,9679051945.79,-187385428.23,9437666325.21,5502365260.46,9437666325.21,8723806182.31,1948214781.16,-159997593.96
603529.XSHG,2022q3,2023-10-24,14590656266.37,6383339361.63,144872381.25,531854003.05,1,13620608820.59,1374473860.41,429670487.04,3604884549.94,,391612335.52,19833080261.85,6144623813.56,2023-10-23 20:14:46,15551151.33,13432235021.53,-184662028.86,17228264171.99,6212471441.26,17228264171.99,13859546745.85,,-264097184.8
603529.XSHG,2022q4,2025-04-16,17398502632.36,5051454116.94,-2178319161.48,810511287.32,1,11737033435.82,1872542828.78,457986772.95,4012879593.44,,290365547.11,18471355153.82,6853338997.32,2025-04-16 04:12:05,-3687987.74,11471064679.75,-182243777.55,20802212994.46,6734321718.0,20802212994.46,11532671648.87,2032571583.72,-382697297.5
603529.XSHG,2023q1,2024-04-27,4581230475.08,1392270811.53,17073963.55,699639229.09,1,14163953775.89,481541807.53,541133701.87,4490633298.41,,422338014.71,21830408443.64,5738682444.24,2024-04-27 04:17:58,62980.76,12338725095.57,1960230005.55,5441881320.83,7666454667.75,5441881320.83,14093332257.44,,-103913063.93
603529.XSHG,2023q2,2024-10-26,8625237704.98,-361986474.74,-598722787.08,736760377.79,1,11900047194.05,899136147.37,680832358.47,4158260781.41,,657552945.92,19347797319.33,4864526897.52,2024-10-25 16:27:51,8484055.4,10038289821.84,1254291194.78,10216579420.33,7447750125.28,10216579420.33,10612210240.27,1912864758.56,-205052068.36
603529.XSHG,2023q3,2024-10-26,14696771949.24,3387748361.6,-960190217.76,592422417.16,1,14656373335.75,1565132892.2,679034081.66,4521061523.84,,648135776.27,22449421125.02,5793402167.9,2024-10-25 16:27:51,11160311.23,12769063843.79,924716550.45,17455604490.01,7793047789.27,17455604490.01,12991984356.91,,-310565743.27
603529.XSHG,2023q4,2025-04-16,17562865946.73,1864276233.9,-1910192713.51,575340281.28,1,12112741156.43,1896346951.61,715925849.18,4704597603.69,,357840165.19,19892813618.33,6032204440.66,2025-04-16 04:12:05,-21396254.38,10121823309.96,544548901.86,21036120862.29,7780072461.9,21036120862.29,9586038766.03,2183569604.6,-410276786.83
603529.XSHG,2024q1,2025-04-26,4060166521.37,680940563.86,-593380442.92,735932825.44,1,12494895923.91,489019864.36,753897029.91,5187909646.03,,409433354.76,20792104934.67,5321769744.89,2025-04-25 20:17:30,-202584.78,10430773926.13,-45409.96,4953544553.57,8297209010.76,4953544553.57,10040621948.63,,-85686274.68
603529.XSHG,2024q2,2025-10-24,8702880854.51,1159662667.39,-4609617002.2,615752403.12,1,12991572415.48,963794554.08,884200256.18,5202503210.54,,469489788.82,21419285558.94,4540668379.14,2025-10-23 20:13:28,9846746.9,10837991243.78,148602598.53,10590926475.1,8427713143.46,10590926475.1,9118927473.8,2146896133.41,-156372712.7
603529.XSHG,2024q3,2025-10-24,14422317078.73,3874380409.77,-6756846107.71,498989743.82,1,15064641106.8,1575444875.79,1107392136.77,5512461633.01,,455451009.52,23899900069.45,5526735840.09,2025-10-23 20:13:28,14667907.21,12819493952.74,-284759745.64,17464143553.63,8835258962.65,17464143553.63,11360562807.22,,-216074933.02
