date,000423.XSHE
2009-04-03,0.28868479761368837
2009-04-07,0.2865695576001216
2009-04-08,0.292770115303077
2009-04-09,0.28887881991546144
2009-04-10,0.2805640391671265
2009-04-13,0.2816941085365175
2009-04-14,0.28349345339362303
2009-04-15,0.29460077451837585
2009-04-16,0.3054870374306245
2009-04-17,0.3117137012403363
2009-04-20,0.2776662731999753
2009-04-21,0.2786112705027708
2009-04-22,0.28137338222898955
2009-04-23,0.27914078351243765
2009-04-24,0.27590282003121874
2009-04-27,0.2830865866368104
2009-04-28,0.27867863204054655
2009-04-29,0.268088235379205
2009-04-30,0.2613049731370222
2009-05-04,0.24827879556855859
2009-05-05,0.24845447571211293
2009-05-06,0.24403055442428997
2009-05-07,0.25068425671857464
2009-05-08,0.25252843873083625
2009-05-11,0.25847501190311384
2009-05-12,0.249577752820757
2009-05-13,0.24516506599832724
2009-05-14,0.2414440407138691
2009-05-15,0.2351321064464916
2009-05-18,0.23175303637688666
2009-05-19,0.2283402425531716
2009-05-20,0.22638634774448357
2009-05-21,0.23027276487556264
2009-05-22,0.22435616604725023
2009-05-25,0.2255972817362283
2009-05-26,0.2225167866441801
2009-05-27,0.21667058980083362
2009-06-01,0.20941989822686355
2009-06-02,0.2070224725667581
2009-06-03,0.20369386948946966
2009-06-04,0.20882006364965477
2009-06-05,0.21095478871398193
2009-06-08,0.22447060553807044
2009-06-09,0.22592431209012892
2009-06-10,0.22444107658870666
2009-06-11,0.22199822858496923
2009-06-12,0.22137916877418554
2009-06-15,0.21470886806198522
2009-06-16,0.21241466793007402
2009-06-17,0.20574250893125995
2009-06-18,0.2018271293499988
2009-06-19,0.20208524070115985
2009-06-22,0.20293757429049325
2009-06-23,0.20252247650988706
2009-06-24,0.19666423587525853
2009-06-25,0.1964342237043172
2009-06-26,0.1945256177570128
2009-06-29,0.19376382132975775
2009-06-30,0.19516676124759016
2009-07-01,0.1924843121276209
2009-07-02,0.19233897359973937
2009-07-03,0.19687413330598832
2009-07-06,0.19984714424625968
2009-07-07,0.22272391304929848
2009-07-08,0.22039612682164414
2009-07-09,0.21978205480835447
2009-07-10,0.21867979233528775
2009-07-13,0.220053928844007
2009-07-14,0.21611932158096442
2009-07-15,0.21847917656845983
2009-07-16,0.22206846201186767
2009-07-17,0.22537480481509284
2009-07-20,0.2254359790259777
2009-07-21,0.23167422418133138
2009-07-22,0.23223479702983066
2009-07-23,0.23101462605169204
2009-07-24,0.23599507637543807
2009-07-27,0.2618083368376727
2009-07-28,0.24066771466988368
2009-07-29,0.2476099950513577
2009-07-30,0.2557727449778114
2009-07-31,0.24531583699565102
2009-08-03,0.245258944523209
2009-08-04,0.27916802192231
2009-08-05,0.2845292851070443
2009-08-06,0.2601098974246711
2009-08-07,0.25805030355352515
2009-08-10,0.2552183561605023
2009-08-11,0.24828970504931455
2009-08-12,0.24691702272493216
2009-08-13,0.24216758225991075
2009-08-14,0.24513305913224412
2009-08-17,0.2505435958525319
2009-08-18,0.24835382005091572
2009-08-19,0.25688236038150847
2009-08-20,0.24255695906905755
2009-08-21,0.23641258518430866
2009-08-24,0.23464975952502626
2009-08-25,0.2520051565873512
2009-08-26,0.2481006259834468
2009-08-27,0.2491787527829982
2009-08-28,0.24745227506320308
2009-08-31,0.24903974927531933
2009-09-01,0.25322847197906784
2009-09-02,0.24648229680794545
2009-09-03,0.23056958185021417
2009-09-04,0.22430144567881943
2009-09-07,0.2218838344903562
2009-09-08,0.2135646621658634
2009-09-09,0.21160316832679846
2009-09-10,0.21165304755313313
2009-09-11,0.20900491263176754
2009-09-14,0.20598913032576927
2009-09-15,0.20458077378421685
2009-09-16,0.2071903850093464
2009-09-17,0.20635804279512357
2009-09-18,0.2111605742888631
2009-09-21,0.2159462086340672
2009-09-22,0.2157939661876432
2009-09-23,0.22215455700501474
2009-09-24,0.22240980651481906
2009-09-25,0.2189234274659879
2009-09-28,0.2185207637904741
2009-09-29,0.21870181750728523
2009-09-30,0.21101566400305216
2009-10-09,0.19869134051477966
2009-10-12,0.2021242341267849
2009-10-13,0.1967245276425042
2009-10-14,0.1933845649443117
2009-10-15,0.19085242668399896
2009-10-16,0.1911243728072209
2009-10-19,0.18601464071349746
2009-10-20,0.18519639158466436
2009-10-21,0.18597293853695007
2009-10-22,0.185993856071843
2009-10-23,0.18389105490558555
2009-10-26,0.1888538364733908
2009-10-27,0.19425627827888892
2009-10-28,0.1970772285286299
2009-10-29,0.19874430747637215
2009-10-30,0.19543857013307442
2009-11-02,0.211245536731155
2009-11-03,0.23276396988679138
2009-11-04,0.23173198660353794
2009-11-05,0.233097657667547
2009-11-06,0.23387646910762913
2009-11-09,0.2318711094019278
2009-11-10,0.2314809039850927
2009-11-11,0.23005598649085535
2009-11-12,0.22681983269796127
2009-11-13,0.22804530435665665
2009-11-16,0.2247777172067149
2009-11-17,0.2236548618336171
2009-11-18,0.22706656343840242
2009-11-19,0.23187641063819617
2009-11-20,0.23249463243129173
2009-11-23,0.2317868461717239
2009-11-24,0.23741118992807442
2009-11-25,0.2438945544665838
2009-11-26,0.2412320606876185
2009-11-27,0.24899239363903755
2009-11-30,0.23928339450982117
2009-12-01,0.23302397797942354
2009-12-02,0.2282384926820058
2009-12-03,0.2301742336290211
