info_date,effective_date,m2,m1,m0,m2_growth_yoy,m1_growth_yoy,m0_growth_yoy
2017-05-30 00:00:00,1996-06-30,6813200.0,2460000.0,766600.0,0.282,0.15,0.095
2017-05-30 00:00:00,1996-03-31,6451100.0,2390900.0,816900.0,0.283,0.2054,0.124
2017-05-30 00:00:00,1996-09-30,6964300.0,2623000.0,840900.0,0.278,0.173,0.141
2017-05-30 00:00:00,1996-12-31,7609490.0,2851500.0,880201.0,0.253,0.189,0.116
2019-05-17 00:00:00,1997-01-31,7864800.0,3057300.0,1149300.0,0.248,0.222,0.336
2019-05-17 00:00:00,1998-01-31,9221140.0,3558560.0,1310840.0,0.174,0.146,0.141
2019-05-17 00:00:00,1999-01-31,10550030.0,3901100.0,1199700.0,0.144,0.0963,-0.085
2019-05-17 00:00:00,1998-05-31,9393610.0,3355300.0,998440.0,0.155,0.1083,0.101
2019-05-17 00:00:00,1998-08-31,9729870.0,3505000.0,1012907.0,0.15,0.1094,0.086
2019-05-17 00:00:00,1999-04-30,10921830.0,3805300.0,1122500.0,0.179,0.1407,0.104
2019-05-17 00:00:00,1997-05-31,8115100.0,3027500.0,906600.0,0.191,0.183,0.177
2019-05-17 00:00:00,1997-04-30,8081800.0,2999100.0,927700.0,0.206,0.187,0.175
2019-05-17 00:00:00,1999-10-31,11538960.0,4226500.0,1215400.0,0.145,0.151,0.157
2019-05-17 00:00:00,1999-05-31,11006090.0,3800400.0,1088900.0,0.172,0.1327,0.091
2019-05-17 00:00:00,1997-07-31,8346000.0,3110000.0,912700.0,0.181,0.184,0.169
2019-05-17 00:00:00,1999-11-30,11655930.0,4337000.0,1248300.0,0.14,0.159,0.17
2019-05-17 00:00:00,1998-10-31,10087520.0,3678670.0,1050130.0,0.163,0.1346,0.107
2019-05-17 00:00:00,2016-05-31,146169510.7354,42425070.19,6278071.4448,0.118,0.237,0.0627
2019-05-17 00:00:00,2017-10-31,166244996.0199,52597719.04,6823068.8047,0.088,0.13,0.0625
2019-05-17 00:00:00,2017-05-31,160974077.3755,49638978.22,6733320.71,0.096,0.17,0.073
2019-05-17 00:00:00,2017-09-30,166366605.4387,51786303.73,6974854.024,0.092,0.14,0.0719
2019-05-17 00:00:00,2008-01-31,41784617.0,15487259.0,3667315.0,0.1894,0.205,0.312
2019-05-17 00:00:00,2017-03-31,160793898.0,48877009.0,6860505.0,0.106,0.188,0.061
2019-05-17 00:00:00,2017-07-31,163634110.5249,51048457.75,6712904.14,0.092,0.153,0.0609
2019-05-17 00:00:00,2017-08-31,165294730.0311,51811392.98,6755098.947,0.089,0.14,0.0646
2019-05-17 00:00:00,2009-02-28,50670807.0,16614960.0,3514164.0,0.205,0.109,0.083
2019-05-17 00:00:00,2013-12-31,110652498.0,33729105.0,5857444.0,0.136,0.093,0.0716
2019-05-17 00:00:00,2008-03-31,42305453.0,15086747.0,3043307.0,0.162,0.18,0.111
2019-05-17 00:00:00,2019-01-31,186593532.6597,54563845.95,8747061.546,0.084,0.004,0.172
2019-05-17 00:00:00,2019-03-31,188941213.6597,54757554.23,7494157.617,0.086,0.046,0.031
2019-05-17 00:00:00,1997-10-31,8664400.0,3242200.0,948900.0,0.164,0.158,0.129
2019-05-17 00:00:00,1997-11-30,8759000.0,3290900.0,978458.0,0.161,0.149,0.124
