factor,info_date,start_date,end_date,value,rice_create_tm
国内生产总值GDP_现价_累计值,2010-01-21,2009-01-01,2009-12-31,354521.6,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2010-04-15,2010-01-01,2010-03-31,89125.0,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2010-07-15,2010-01-01,2010-06-30,190200.0,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2010-10-21,2010-01-01,2010-09-30,297992.9,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2011-01-17,2010-01-01,2010-12-31,419253.3,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2011-04-13,2011-01-01,2011-03-31,106218.9,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2011-07-13,2011-01-01,2011-06-30,226995.8,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2011-10-18,2011-01-01,2011-09-30,355557.3,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2012-01-17,2011-01-01,2011-12-31,495707.6,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2012-04-13,2012-01-01,2012-03-31,119377.5,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2012-07-13,2012-01-01,2012-06-30,252868.7,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2012-10-18,2012-01-01,2012-09-30,393252.7,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2013-01-18,2012-01-01,2012-12-31,547510.6,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2013-04-15,2013-01-01,2013-03-31,131879.7,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2013-07-15,2013-01-01,2013-06-30,277993.6,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2013-10-18,2013-01-01,2013-09-30,432965.7,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2014-01-20,2013-01-01,2013-12-31,603660.4,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2014-04-16,2014-01-01,2014-03-31,143539.4,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2014-07-16,2014-01-01,2014-06-30,303001.7,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2014-10-21,2014-01-01,2014-09-30,471603.5,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2015-01-20,2014-01-01,2014-12-31,655782.9,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2015-04-15,2015-01-01,2015-03-31,154171.4,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2015-07-15,2015-01-01,2015-06-30,326058.4,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2015-10-19,2015-01-01,2015-09-30,506177.1,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2016-01-19,2015-01-01,2015-12-31,702511.5,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2016-04-15,2016-01-01,2016-03-31,165735.3,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2016-07-15,2016-01-01,2016-06-30,350737.5,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2016-10-19,2016-01-01,2016-09-30,545575.1,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2017-01-20,2016-01-01,2016-12-31,761193.0,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2017-04-17,2017-01-01,2017-03-31,185274.4,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2017-07-17,2017-01-01,2017-06-30,390940.0,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2017-10-19,2017-01-01,2017-09-30,607695.3,2023-05-06 20:25:46
国内生产总值GDP_现价_累计值,2017-10-24,1992-01-01,1992-03-31,5284.9,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1992-01-01,1992-06-30,11792.7,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1992-01-01,1992-09-30,19011.1,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1992-01-01,1992-12-31,27295.6,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1993-01-01,1993-03-31,6866.3,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1993-01-01,1993-06-30,15256.8,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1993-01-01,1993-09-30,24679.9,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1993-01-01,1993-12-31,35819.7,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1994-01-01,1994-03-31,9424.1,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1994-01-01,1994-06-30,20956.8,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1994-01-01,1994-09-30,33882.2,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1994-01-01,1994-12-31,48862.2,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1995-01-01,1995-03-31,12182.3,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1995-01-01,1995-06-30,26867.5,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1995-01-01,1995-09-30,43109.3,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1995-01-01,1995-12-31,61649.4,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1996-01-01,1996-03-31,14720.6,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1996-01-01,1996-06-30,31960.3,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1996-01-01,1996-09-30,50665.8,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1996-01-01,1996-12-31,72210.6,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1997-01-01,1997-03-31,16808.1,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1997-01-01,1997-06-30,36088.8,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1997-01-01,1997-09-30,56718.6,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1997-01-01,1997-12-31,80225.0,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1998-01-01,1998-03-31,18205.4,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1998-01-01,1998-06-30,38655.1,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1998-01-01,1998-09-30,60600.7,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1998-01-01,1998-12-31,85863.9,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1999-01-01,1999-03-31,19551.1,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1999-01-01,1999-06-30,41302.4,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1999-01-01,1999-09-30,64558.2,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,1999-01-01,1999-12-31,91378.9,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,2000-01-01,2000-03-31,21569.1,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,2000-01-01,2000-06-30,45846.2,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,2000-01-01,2000-09-30,71820.0,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,2000-01-01,2000-12-31,101308.6,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,2001-01-01,2001-03-31,24390.6,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,2001-01-01,2001-06-30,51408.4,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,2001-01-01,2001-09-30,80070.4,2020-02-26 16:15:59
国内生产总值GDP_现价_累计值,2017-10-24,2001-01-01,2001-12-31,112157.3,2020-02-26 16:15:59
