date,688629.XSHG
2023-06-27,0.30242919219141473
2023-06-28,0.2966114644122314
2023-06-29,0.3050115046063194
2023-06-30,0.3066411161346863
2023-07-03,0.3103714158825938
2023-07-04,0.3069315800367314
2023-07-05,0.30170008961893646
2023-07-06,0.29685870107715495
2023-07-07,0.2903494456335481
2023-07-10,0.2965762203182552
2023-07-11,0.29903036729257076
2023-07-12,0.2982556039127629
2023-07-13,0.2988963605861444
2023-07-14,0.3024540524237528
2023-07-17,0.3126709300939994
2023-07-18,0.3105471508727762
2023-07-19,0.3038846881577038
2023-07-20,0.30011837809562103
2023-07-21,0.29958389499854615
2023-07-24,0.2979431827867462
2023-07-25,0.30314545669179543
2023-07-26,0.30752410841010763
2023-07-27,0.30864697450112705
2023-07-28,0.30848579334080645
2023-07-31,0.31416893920603245
2023-08-01,0.3183826409869987
2023-08-02,0.31084546489332276
2023-08-03,0.30466152082573633
2023-08-04,0.3014060692763987
2023-08-07,0.3000334225009977
2023-08-08,0.2983478393849306
2023-08-09,0.29277805480329416
2023-08-10,0.2900342057380229
2023-08-11,0.285232056735086
2023-08-14,0.2858514556656722
2023-08-15,0.2838586378700521
2023-08-16,0.28149874429941996
2023-08-17,0.2815590103737483
2023-08-18,0.28860905226270694
2023-08-21,0.2922918918358269
2023-08-22,0.2987908639499026
2023-08-23,0.3051484380568743
2023-08-24,0.3159168756490544
2023-08-25,0.33600950225427184
2023-08-28,0.38237658129202673
2023-08-29,0.40223912101143333
2023-08-30,0.41663356835140863
2023-08-31,0.4020082370951416
2023-09-01,0.3963923588151888
2023-09-04,0.3944350054359153
2023-09-05,0.38266825891290457
2023-09-06,0.3855784075009895
2023-09-07,0.366077287585932
2023-09-08,0.37061066839900914
2023-09-11,0.3694654636934687
2023-09-12,0.35921390418204435
2023-09-13,0.347227654105097
2023-09-14,0.34055342814043194
2023-09-15,0.33659707698758784
2023-09-18,0.3379913399554534
2023-09-19,0.32996092405899613
2023-09-20,0.32109021070620514
2023-09-21,0.3109285825940118
2023-09-22,0.3129876015854051
2023-09-25,0.3158672960797893
2023-09-26,0.314898630700136
2023-09-27,0.32009774867953106
2023-09-28,0.3227014827172534
2023-10-09,0.3429299844141868
2023-10-10,0.34623648910111726
2023-10-11,0.34735191213357935
2023-10-12,0.34741095399710537
2023-10-13,0.34085019330448907
2023-10-16,0.39296341384214106
2023-10-17,0.39900038122549786
2023-10-18,0.43959610819686523
2023-10-19,0.45648042387014787
2023-10-20,0.4578719014908824
2023-10-23,0.46953892856904356
2023-10-24,0.47820626213631284
2023-10-25,0.496051632810564
2023-10-26,0.5056537509039859
2023-10-27,0.5271257024914159
2023-10-30,0.5537687351355457
2023-10-31,0.5503685068660981
2023-11-01,0.5352447507299395
2023-11-02,0.5164818306230604
2023-11-03,0.5057495728740948
2023-11-06,0.5007197106746567
2023-11-07,0.49882257609576647
2023-11-08,0.48745259207457253
2023-11-09,0.47947134985768763
2023-11-10,0.4694658541912441
2023-11-13,0.46392637341637477
2023-11-14,0.4524246097666264
2023-11-15,0.44753325763681717
2023-11-16,0.43581196361972113
2023-11-17,0.4317369083652715
2023-11-20,0.4388589399137206
2023-11-21,0.4359555476072948
2023-11-22,0.4313902588143924
2023-11-23,0.42906580983593134
2023-11-24,0.4229573293581301
2023-11-27,0.4317841181649401
2023-11-28,0.42802695221888987
2023-11-29,0.42608248258088566
2023-11-30,0.42422582987577473
2023-12-01,0.4269094747171547
2023-12-04,0.43437971933820285
2023-12-05,0.4284382522567116
2023-12-06,0.429195600224869
2023-12-07,0.428934155443357
2023-12-08,0.44987722595494867
2023-12-11,0.45836012779373075
2023-12-12,0.45123550233444704
2023-12-13,0.4453129735469635
2023-12-14,0.44039013213810646
2023-12-15,0.4329013313867551
2023-12-18,0.4327722822914933
2023-12-19,0.42907216102154755
2023-12-20,0.42627496745756993
2023-12-21,0.4263879009419951
2023-12-22,0.43276384324587264
2023-12-25,0.4409658988084508
2023-12-26,0.43871529327857356
2023-12-27,0.4406752111970512
2023-12-28,0.4508408515868528
2023-12-29,0.4531624329925531
2024-01-02,0.4593181926160621
2024-01-03,0.45414277915730267
2024-01-04,0.44529716228641025
2024-01-05,0.4405399400325896
2024-01-08,0.43782830208970186
2024-01-09,0.43828022625711804
2024-01-10,0.435273815919423
2024-01-11,0.4357959393366591
2024-01-12,0.4342451493583523
2024-01-15,0.4359993009185456
2024-01-16,0.4280548464840508
2024-01-17,0.423581852548589
2024-01-18,0.4332227010505312
2024-01-19,0.4392526253681584
2024-01-22,0.44682486380678504
2024-01-23,0.4620839870702689
2024-01-24,0.47416477624998776
2024-01-25,0.4935474000433883
2024-01-26,0.4985385507475043
2024-01-29,0.5086462704164227
2024-01-30,0.5057857464385437
2024-01-31,0.5305253862141889
2024-02-01,0.5426229859107038
2024-02-02,0.549091340848745
2024-02-05,0.6235860275408256
2024-02-06,0.6924811124683387
2024-02-07,0.7665593184960723
2024-02-08,0.8241920132089341
2024-02-19,0.8223194802905576
2024-02-20,0.7821856859652607
2024-02-21,0.741882523669681
2024-02-22,0.7062570900601235
2024-02-23,0.6772574005550459
2024-02-26,0.6779291504769924
2024-02-27,0.6513424113652214
2024-02-28,0.6625479684840261
2024-02-29,0.6386303939456817
2024-03-01,0.6207032639860095
2024-03-04,0.621533787087942
2024-03-05,0.6114155052701127
2024-03-06,0.5880328522749035
2024-03-07,0.5757993722640686
2024-03-08,0.5619083565489307
2024-03-11,0.5533621851774908
2024-03-12,0.5574119002566024
2024-03-13,0.5500771238053734
2024-03-14,0.540282604245581
2024-03-15,0.5336290367155203
2024-03-18,0.5328288553348162
2024-03-19,0.6011608530163008
2024-03-20,0.6029784848383375
2024-03-21,0.6078042264946446
2024-03-22,0.6412961406186409
2024-03-25,0.6775678098675059
2024-03-26,0.6828341220086576
2024-03-27,0.6897744667227383
2024-03-28,0.6830216560016661
2024-03-29,0.6901699743272361
2024-04-01,0.6993823638384847
2024-04-02,0.6982692234772532
2024-04-03,0.6991754848818446
2024-04-08,0.7123627736012287
2024-04-09,0.7058844729656122
2024-04-10,0.695534596978215
2024-04-11,0.6880679558350571
2024-04-12,0.6990308961493777
2024-04-15,0.7377751975135896
2024-04-16,0.7683066869083727
2024-04-17,0.8058404922513149
2024-04-18,0.797570709851316
2024-04-19,0.8025490603559342
2024-04-22,0.8139950096981421
2024-04-23,0.8115284661586754
2024-04-24,0.8012398996891079
2024-04-25,0.7900756807826824
2024-04-26,0.8051973138753316
2024-04-29,0.8250240820093869
2024-04-30,0.8293419778583009
2024-05-06,0.8210224515009159
2024-05-07,0.803478157816982
2024-05-08,0.7799690781316251
2024-05-09,0.7692253019861086
2024-05-10,0.7483715900031339
2024-05-13,0.7444640982737334
2024-05-14,0.7296685439020012
2024-05-15,0.7064056772570896
2024-05-16,0.6915392867636007
2024-05-17,0.6801474874230885
2024-05-20,0.6848635295630038
2024-05-21,0.6681130741522299
2024-05-22,0.6627075544746979
2024-05-23,0.6546740728435708
2024-05-24,0.6971179167278253
2024-05-27,0.730707943964434
2024-05-28,0.7311970107645904
2024-05-29,0.7189692176687115
2024-05-30,0.7125268971399524
2024-05-31,0.7093936309200766
2024-06-03,0.7241786790541824
2024-06-04,0.7337117166958564
2024-06-05,0.7234606629625873
2024-06-06,0.7298565221460803
2024-06-07,0.7362511126486214
2024-06-11,0.7312669425256403
2024-06-12,0.7119267258816085
2024-06-13,0.7154654321391816
2024-06-14,0.711245779417944
2024-06-17,0.713470417593519
2024-06-18,0.7053040894541889
2024-06-19,0.6930721574162433
2024-06-20,0.7043186500781147
2024-06-21,0.7001139126267619
2024-06-24,0.7003314085992783
2024-06-25,0.7034598035472454
2024-06-26,0.6941516963385496
2024-06-27,0.6872467460510052
2024-06-28,0.6873728123020463
2024-07-01,0.6991582202063663
2024-07-02,0.6995251271246332
2024-07-03,0.6964488069794
2024-07-04,0.6766358518757328
2024-07-05,0.6654469701268829
2024-07-08,0.6644317797130784
2024-07-09,0.6814399809434646
2024-07-10,0.7033429257622623
2024-07-11,0.6973737058828877
2024-07-12,0.6883105946432839
2024-07-15,0.6840387145397494
2024-07-16,0.6755544568820664
2024-07-17,0.6668749787989176
2024-07-18,0.6593318047962422
2024-07-19,0.6548013847101666
2024-07-22,0.6470649659347832
2024-07-23,0.6441660745457418
2024-07-24,0.6552994117084859
2024-07-25,0.6485790023673161
2024-07-26,0.6432014879144855
2024-07-29,0.6454640097992914
2024-07-30,0.6378095375385701
2024-07-31,0.6423636567489193
2024-08-01,0.634596600200679
2024-08-02,0.6262572972835978
2024-08-05,0.6365211899435796
2024-08-06,0.6263951363148612
2024-08-07,0.6211868271643307
2024-08-08,0.6191234641409523
2024-08-09,0.6065393961959175
2024-08-12,0.605992930806697
