order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,half_year_target_price,quarter_recommendation,one_year_target_price,half_year_recommendation,one_year_recommendation
000166.XSHE,2015-01-26,海通证券,16.5900,M06,2,1,2024-12-18 04:15:16,2015-01-26 14:06:36,16.59,2.0,,,
000166.XSHE,2015-02-08,长江证券,,,2,1,2024-12-18 17:35:16,2015-03-02 14:55:24,,2.0,,,
000166.XSHE,2015-02-10,海通证券,,,2,1,2024-12-18 17:35:17,2015-02-10 15:15:41,,2.0,,,
000166.XSHE,2015-03-02,海通证券,,,2,1,2024-12-18 17:35:19,2015-03-03 17:33:27,,2.0,,,
000166.XSHE,2015-03-09,中信证券,,,3,1,2024-12-18 17:35:17,2015-03-09 13:20:28,,3.0,,,
000166.XSHE,2015-03-16,海通证券,,,2,1,2024-12-18 17:35:28,2015-03-17 17:33:34,,2.0,,,
000166.XSHE,2015-04-02,国泰海通证券,22.8000,M06,1,1,2024-12-18 04:15:14,2015-04-02 21:30:48,22.8,1.0,,,
000166.XSHE,2015-04-03,民族证券,,,2,1,2024-12-18 17:35:28,2015-04-08 17:33:39,,2.0,,,
000166.XSHE,2015-04-05,长江证券,,,3,1,2024-12-18 17:35:28,2015-04-15 17:57:01,,3.0,,,
000166.XSHE,2015-04-07,长江证券,,,3,1,2024-12-18 17:35:27,2015-04-07 17:56:42,,3.0,,,
000166.XSHE,2015-04-08,中信证券,,,3,1,2024-12-18 17:35:19,2015-04-08 17:33:39,,3.0,,,
000166.XSHE,2015-04-09,长江证券,,,3,1,2024-12-18 17:35:24,2015-04-10 12:34:40,,3.0,,,
000166.XSHE,2015-04-10,民族证券,,,2,1,2024-12-18 17:35:16,2015-04-13 17:33:53,,2.0,,,
000166.XSHE,2015-04-19,中信证券,,,3,1,2024-12-18 17:35:24,2015-04-20 16:25:30,,3.0,,,
000166.XSHE,2015-04-26,长江证券,,,3,1,2024-12-18 17:35:17,2015-04-27 21:30:24,,3.0,,,
000166.XSHE,2015-04-29,中信证券,,,3,1,2024-12-18 17:35:21,2015-04-29 14:55:08,,3.0,,,
000166.XSHE,2015-05-04,长江证券,,,3,1,2024-12-18 17:35:29,2015-05-05 10:39:31,,3.0,,,
000166.XSHE,2015-05-17,长江证券,,,3,1,2024-12-18 17:35:19,2015-05-18 15:38:42,,3.0,,,
000166.XSHE,2015-05-27,中信证券,,,3,1,2024-12-18 17:35:28,2015-05-27 16:47:56,,3.0,,,
000166.XSHE,2015-06-14,长江证券,,,3,1,2024-12-18 17:35:28,2015-06-18 17:57:08,,3.0,,,
000166.XSHE,2015-06-28,中信证券,,,3,1,2024-12-18 17:35:14,2015-06-29 15:41:13,,3.0,,,
000166.XSHE,2015-07-03,中信证券,,,3,1,2024-12-18 17:35:28,2015-07-03 16:25:04,,3.0,,,
000166.XSHE,2015-07-07,长江证券,,,3,1,2024-12-18 17:35:21,2015-07-08 09:53:55,,3.0,,,
000166.XSHE,2015-07-09,长江证券,,,3,1,2024-12-18 17:35:16,2015-07-09 21:31:58,,3.0,,,
000166.XSHE,2015-07-13,中信证券,,,3,1,2024-12-18 17:35:24,2015-07-14 21:30:53,,3.0,,,
