order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,quarter_recommendation,half_year_target_price,one_year_target_price,one_year_recommendation,half_year_recommendation
000088.XSHE,2006-01-06,平安证券,14.2350,,2,1,2024-05-22 17:50:46,2006-01-06 17:23:36,2.0,,,,
000088.XSHE,2006-01-09,世纪证券,12.0450,,3,1,2024-05-22 17:47:05,2006-01-10 17:50:25,3.0,,,,
000088.XSHE,2006-01-09,长江证券,14.2350,,2,1,2024-05-22 17:48:25,2006-01-09 17:23:17,2.0,,,,
000088.XSHE,2006-01-09,平安证券,14.2350,,2,1,2024-05-22 17:49:04,2006-01-09 17:50:34,2.0,,,,
000088.XSHE,2006-01-09,国都证券,14.2350,,2,1,2024-05-22 17:49:59,2006-01-11 13:20:12,2.0,,,,
000088.XSHE,2006-01-09,海通证券,7.2000,M06,3,1,2024-05-22 04:34:23,2006-01-10 10:38:14,3.0,7.2,,,
000088.XSHE,2006-01-10,凯基证券,8.0000,Y01,4,1,2024-05-22 04:33:29,2006-01-16 16:29:23,4.0,,8.0,,
000088.XSHE,2006-01-10,渤海证券,9.8550,,4,1,2024-05-22 17:49:23,2006-01-11 13:20:12,4.0,,,,
000088.XSHE,2006-01-11,中金公司,14.2350,,2,1,2024-05-22 17:47:32,2006-01-11 17:23:15,2.0,,,1.0,
000088.XSHE,2006-01-11,东北证券,12.0450,,3,1,2024-05-22 17:48:00,2006-01-12 18:17:40,3.0,,,,
000088.XSHE,2006-01-15,国泰海通证券,12.0450,,3,1,2024-05-22 17:50:59,2006-01-17 17:23:29,3.0,,,,
000088.XSHE,2006-01-19,中信建投,9.0000,M06,3,1,2024-05-22 04:33:17,2006-01-20 17:23:37,3.0,9.0,,,
000088.XSHE,2006-01-20,华泰证券,12.0450,,3,1,2024-05-22 17:49:29,2006-01-25 18:45:31,3.0,,,,
000088.XSHE,2006-02-09,中信证券,12.0450,,3,1,2024-05-22 17:49:58,2006-02-10 16:29:20,3.0,,,,
000088.XSHE,2006-02-15,申万宏源,12.0450,,3,1,2024-05-22 17:46:57,2006-02-16 17:50:46,3.0,,,,
000088.XSHE,2006-02-17,华泰证券,12.0450,,3,1,2024-05-22 17:47:10,2006-02-18 11:59:28,3.0,,,,
000088.XSHE,2006-02-17,东北证券,14.2350,,2,1,2024-05-22 17:48:15,2006-02-17 15:08:55,2.0,,,,
000088.XSHE,2006-02-17,海通证券,6.8600,M06,3,1,2024-05-22 04:33:51,2006-02-18 11:59:28,3.0,6.86,,,
000088.XSHE,2006-02-18,国都证券,,,2,1,2024-05-22 17:48:10,2006-03-02 13:20:26,2.0,,,,
000088.XSHE,2006-02-18,申万宏源,,,3,1,2024-05-22 17:49:36,2006-02-21 16:29:35,3.0,,,,
000088.XSHE,2006-02-19,平安证券,14.2350,,2,1,2024-05-22 17:50:28,2006-02-20 11:33:18,2.0,,,,
000088.XSHE,2006-02-20,国都证券,,,2,1,2024-05-22 17:47:02,2006-03-02 13:20:26,2.0,,,,
000088.XSHE,2006-02-20,东北证券,,,2,1,2024-05-22 17:48:52,2006-02-21 18:17:40,2.0,,,,
000088.XSHE,2006-02-21,光大证券,,,3,1,2024-05-22 17:47:08,2006-02-27 17:50:23,3.0,,,,
