order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,quarter_recommendation,one_year_target_price,half_year_target_price,one_year_recommendation,half_year_recommendation
600171.XSHG,2014-05-18,国金证券,,,1,1,2024-06-20 17:39:44,2014-05-20 13:43:32,1.0,,,,
600171.XSHG,2014-05-28,国金证券,,,1,1,2024-06-20 17:41:48,2014-05-30 11:48:16,1.0,,,,
600171.XSHG,2014-12-05,爱建证券,,,2,1,2024-06-20 17:41:26,2014-12-08 21:46:03,2.0,,,,
600171.XSHG,2014-12-21,中金财富,,,2,1,2024-06-20 17:42:05,2014-12-24 17:57:12,2.0,,,,
600171.XSHG,2015-05-26,宏源证券,,,1,1,2024-06-20 17:39:09,2015-05-27 21:30:54,1.0,,,,
600171.XSHG,2015-06-18,中金财富,,,2,1,2024-06-20 17:39:53,2015-06-18 17:57:08,2.0,,,,
600171.XSHG,2015-11-23,财信证券,25.0000,M06,2,1,2024-06-20 04:58:35,2015-11-24 13:43:56,2.0,,25.0,,
600171.XSHG,2016-01-29,国泰海通证券,15.6000,M06,1,1,2024-06-20 04:58:31,2016-02-02 14:31:03,1.0,,15.6,,
600171.XSHG,2016-01-31,国泰海通证券,15.6000,M06,1,1,2024-06-20 04:58:22,2016-02-01 11:49:13,1.0,,15.6,,
600171.XSHG,2016-06-27,爱建证券,,,2,1,2024-06-20 17:41:09,2016-06-28 16:24:31,2.0,,,,
600171.XSHG,2016-09-27,爱建证券,,,2,1,2024-06-20 17:41:48,2016-09-27 16:22:54,2.0,,,,
600171.XSHG,2016-12-19,申万宏源,,,2,1,2024-06-20 17:42:56,2016-12-20 12:12:23,2.0,,,,
600171.XSHG,2017-01-03,民生证券,,,2,1,2024-06-20 17:42:05,2017-01-03 16:21:17,2.0,,,,
600171.XSHG,2017-01-09,民生证券,,,1,1,2024-06-20 17:42:44,2017-01-09 21:30:41,1.0,,,,
600171.XSHG,2017-02-08,民生证券,,,2,1,2024-06-20 17:41:24,2017-02-08 21:30:58,2.0,,,,
600171.XSHG,2017-02-09,民生证券,,,2,1,2024-06-20 17:39:38,2017-02-09 17:06:59,2.0,,,,
600171.XSHG,2017-02-16,民生证券,18.6300,M06,2,1,2024-06-20 04:58:21,2017-02-17 09:53:41,2.0,,18.63,,
600171.XSHG,2017-02-27,民生证券,,,2,1,2024-06-20 17:40:19,2017-03-01 13:21:11,2.0,,,,
600171.XSHG,2017-03-06,民生证券,,,2,1,2024-06-20 17:40:34,2017-03-06 17:53:22,2.0,,,,
600171.XSHG,2017-03-13,民生证券,,,2,1,2024-06-20 17:42:52,2017-03-13 14:30:05,2.0,,,,
600171.XSHG,2017-03-16,民生证券,16.2500,M06,2,1,2024-06-20 04:58:29,2017-03-16 16:21:25,2.0,,16.25,,
600171.XSHG,2017-03-20,民生证券,,,2,1,2024-06-20 17:40:06,2017-03-21 14:06:56,2.0,,,,
600171.XSHG,2017-03-27,民生证券,,,2,1,2024-06-20 17:40:45,2017-03-28 16:23:57,2.0,,,,
600171.XSHG,2017-03-28,民生证券,15.5000,M06,2,1,2024-06-20 04:58:21,2017-03-28 16:23:57,2.0,,15.5,,
600171.XSHG,2017-04-12,民生证券,,,2,1,2024-06-20 17:39:20,2017-04-13 13:47:07,2.0,,,,
600171.XSHG,2017-04-20,民生证券,15.5000,M06,2,1,2024-06-20 04:58:08,2017-04-21 16:21:57,2.0,,15.5,,
600171.XSHG,2017-05-19,民生证券,12.2500,M06,2,1,2024-06-20 04:58:31,2017-05-21 16:20:50,2.0,,12.25,,
600171.XSHG,2017-07-18,民生证券,13.8000,Y01,2,1,2024-06-20 04:57:59,2017-07-18 21:30:33,2.0,13.8,,,
600171.XSHG,2017-07-31,民生证券,,,2,1,2024-06-20 17:41:00,2017-08-04 11:02:08,2.0,,,,
