order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,quarter_recommendation,half_year_target_price,half_year_recommendation,one_year_target_price,one_year_recommendation
000050.XSHE,2013-07-08,平安证券,,,2,1,2013-07-08 21:30:56,2013-07-08 21:30:56,2.0,,,,
000050.XSHE,2013-07-08,民族证券,,,2,1,2013-07-08 15:16:02,2013-07-08 15:16:02,2.0,,,,
000050.XSHE,2013-07-15,平安证券,,,2,1,2013-07-15 21:30:12,2013-07-15 21:30:12,2.0,,,,
000050.XSHE,2013-07-22,平安证券,,,2,1,2013-07-22 21:30:12,2013-07-22 21:30:12,2.0,,,,
000050.XSHE,2013-08-05,平安证券,,,2,1,2013-08-05 21:30:24,2013-08-05 21:30:24,2.0,,,,
000050.XSHE,2013-08-12,平安证券,,,2,1,2013-08-12 21:30:58,2013-08-12 21:30:58,2.0,,,,
000050.XSHE,2013-08-19,平安证券,,,2,1,2013-08-19 21:31:04,2013-08-19 21:31:04,2.0,,,,
000050.XSHE,2013-08-26,平安证券,,,2,1,2013-08-27 07:35:25,2013-08-27 07:35:25,2.0,,,,
000050.XSHE,2013-08-27,平安证券,,,2,1,2013-08-27 21:30:14,2013-08-27 21:30:14,2.0,,,,
000050.XSHE,2013-09-02,平安证券,,,2,1,2013-09-02 09:53:14,2013-09-02 09:53:14,2.0,,,,
000050.XSHE,2013-09-04,平安证券,,,2,1,2013-09-04 17:56:21,2013-09-04 17:56:21,2.0,,,,
000050.XSHE,2013-09-09,民族证券,,,2,1,2013-09-16 11:02:17,2013-09-16 11:02:17,2.0,,,,
000050.XSHE,2013-09-09,平安证券,,,2,1,2013-09-09 21:31:05,2013-09-09 21:31:05,2.0,,,,
000050.XSHE,2013-09-12,民族证券,,,2,1,2013-09-13 17:56:14,2013-09-13 17:56:14,2.0,,,,
000050.XSHE,2013-09-16,平安证券,,,2,1,2013-09-16 17:56:11,2013-09-16 17:56:11,2.0,,,,
000050.XSHE,2013-11-12,平安证券,,,2,1,2013-11-12 17:56:14,2013-11-12 17:56:14,2.0,,,,
