order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,one_year_target_price,quarter_recommendation,half_year_target_price,one_year_recommendation,half_year_recommendation
000021.XSHE,2006-02-08,中信证券,12.2590,,2,1,2024-06-27 17:26:31,2006-02-10 11:32:22,,2.0,,,
000021.XSHE,2006-02-20,华泰联合,,,3,1,2024-06-27 17:29:29,2006-02-21 16:29:35,,3.0,,,
000021.XSHE,2006-02-21,国信证券,,,2,1,2024-06-27 17:24:42,2006-02-21 17:50:41,,2.0,,,
000021.XSHE,2006-02-22,国信证券,10.8500,M06,2,1,2024-06-27 06:18:11,2006-02-22 17:23:39,,2.0,10.85,,
000021.XSHE,2006-02-27,平安证券,,,2,1,2024-06-27 17:25:56,2006-02-28 13:47:30,,2.0,,,
000021.XSHE,2006-02-27,招商证券,13.1000,M06,1,1,2024-06-27 06:17:58,2006-02-27 15:35:28,,1.0,13.1,,
000021.XSHE,2006-03-06,中信证券,,,3,1,2024-06-27 17:26:15,2006-03-08 18:17:37,,3.0,,,
000021.XSHE,2006-03-23,凯基证券,14.0000,Y01,2,1,2024-06-27 06:17:48,2006-03-28 17:23:10,14.0,2.0,,,
000021.XSHE,2006-03-27,国信证券,,,2,1,2024-06-27 17:26:39,2006-03-27 18:19:56,,2.0,,,
000021.XSHE,2006-03-31,国海证券,,,2,1,2024-06-27 17:28:43,2006-04-17 17:23:54,,2.0,,,
000021.XSHE,2006-04-03,平安证券,,,2,1,2024-06-27 17:25:09,2006-04-13 18:17:25,,2.0,,,
000021.XSHE,2006-04-06,凯基证券,14.0000,Y01,2,1,2024-06-27 06:17:17,2006-04-14 16:29:20,14.0,2.0,,,
000021.XSHE,2006-04-10,招商证券,,,1,1,2024-06-27 17:24:49,2006-04-12 17:23:22,,1.0,,,
000021.XSHE,2006-05-31,国信证券,,,2,1,2024-06-27 17:28:49,2006-07-12 15:08:37,,2.0,,,
000021.XSHE,2006-06-12,国海证券,,,3,1,2024-06-27 17:28:40,2006-06-13 14:15:02,,3.0,,,
000021.XSHE,2006-06-25,招商证券,,,2,1,2024-06-27 17:29:03,2006-06-27 16:56:43,,2.0,,,
000021.XSHE,2006-07-12,凯基证券,,,2,1,2024-06-27 17:28:05,2006-07-13 16:29:30,,2.0,,,
000021.XSHE,2006-07-13,招商证券,,,2,1,2024-06-27 17:26:06,2006-07-17 14:14:57,,2.0,,,
000021.XSHE,2006-07-17,国信证券,,,2,1,2024-06-27 17:29:23,2006-07-17 17:24:07,,2.0,,,
