order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,half_year_target_price,quarter_recommendation,one_year_target_price,half_year_recommendation,one_year_recommendation
000062.XSHE,2009-10-28,天相投顾,,,3,1,2025-05-08 17:24:50,2009-11-11 15:07:53,,3.0,,,
000062.XSHE,2009-11-25,中航证券,15.0000,M06,2,1,2025-05-08 08:32:50,2009-11-27 16:08:35,15.0,2.0,,,
000062.XSHE,2009-12-08,中航证券,,,2,1,2025-05-08 17:24:52,2009-12-09 14:07:52,,2.0,,,
000062.XSHE,2009-12-09,中航证券,13.8000,M06,2,1,2025-05-08 08:32:51,2009-12-10 18:08:05,13.8,2.0,,,
000062.XSHE,2010-03-12,天相投顾,,,3,1,2025-05-08 17:24:54,2010-03-12 17:08:12,,3.0,,,
000062.XSHE,2010-03-15,中航证券,12.5500,M06,2,1,2025-05-08 08:32:47,2010-03-17 17:07:51,12.55,2.0,,,
000062.XSHE,2010-03-22,华泰联合,,,2,1,2025-05-08 17:24:52,2010-03-23 15:38:06,,2.0,,,
000062.XSHE,2010-04-03,华泰联合,,,2,1,2025-05-08 17:24:59,2010-04-06 13:37:47,,2.0,,,
000062.XSHE,2010-04-09,中航证券,12.5500,M06,2,1,2025-05-08 08:32:50,2010-04-12 17:38:29,12.55,2.0,,,
000062.XSHE,2010-04-29,天相投顾,,,3,1,2025-05-08 17:24:55,2010-05-04 09:08:17,,3.0,,,
000062.XSHE,2010-05-04,华泰联合,,,2,1,2025-05-08 17:24:55,2010-05-05 15:41:23,,2.0,,,
000062.XSHE,2010-05-12,万联证券,10.0000,M06,2,1,2025-05-08 08:32:50,2010-05-17 13:32:09,10.0,2.0,,,
000062.XSHE,2010-07-05,华泰联合,,,2,1,2025-05-08 17:24:47,2010-07-06 13:32:40,,2.0,,,
000062.XSHE,2010-08-04,华泰联合,9.7000,M06,2,1,2025-05-08 08:32:50,2010-08-05 15:49:11,9.7,2.0,,,
000062.XSHE,2010-08-15,华泰联合,,,2,1,2025-05-08 17:24:50,2010-08-16 18:05:37,,2.0,,,
000062.XSHE,2010-10-27,中航证券,10.8500,M06,3,1,2025-05-08 08:32:47,2010-10-31 13:16:38,10.85,3.0,,,
000062.XSHE,2010-12-15,中航证券,,,2,1,2025-05-08 17:24:54,2010-12-15 17:40:26,,2.0,,,
000062.XSHE,2011-03-21,天相投顾,,,3,1,2025-05-08 17:24:54,2011-03-22 16:04:53,,3.0,,,
000062.XSHE,2011-03-21,中航证券,12.1000,M06,2,1,2025-05-08 08:32:54,2011-03-22 19:02:53,12.1,2.0,,,
000062.XSHE,2011-04-28,天相投顾,,,3,1,2025-05-08 17:24:54,2011-04-28 19:44:49,,3.0,,,
000062.XSHE,2011-05-24,中航证券,11.0000,M06,2,1,2025-05-08 08:32:54,2011-05-25 19:04:44,11.0,2.0,,,
000062.XSHE,2011-06-15,中航证券,,,2,1,2025-05-08 17:24:57,2011-06-16 19:06:20,,2.0,,,
000062.XSHE,2011-08-01,中航证券,11.0000,M06,2,1,2025-05-08 08:32:52,2011-08-02 16:12:35,11.0,2.0,,,
000062.XSHE,2011-09-06,中航证券,,,2,1,2025-05-08 17:24:56,2011-09-07 18:20:04,,2.0,,,
000062.XSHE,2012-03-19,天相投顾,,,2,1,2025-05-08 17:24:58,2012-03-20 15:58:12,,2.0,,,
000062.XSHE,2012-04-25,天相投顾,,,2,1,2025-05-08 17:24:47,2012-04-27 11:56:26,,2.0,,,
000062.XSHE,2012-08-15,天相投顾,,,2,1,2025-05-08 17:24:51,2012-08-15 17:10:12,,2.0,,,
000062.XSHE,2012-10-30,天相投顾,,,2,1,2025-05-08 17:24:58,2012-10-31 14:51:10,,2.0,,,
000062.XSHE,2013-09-30,申万宏源,,,2,1,2025-05-08 17:24:56,2013-09-30 11:49:01,,2.0,,,
000062.XSHE,2014-03-06,长江证券,,,2,1,2025-05-08 17:24:56,2014-03-07 09:30:20,,2.0,,,
000062.XSHE,2014-04-18,长江证券,,,2,1,2025-05-08 17:24:54,2014-04-19 11:25:23,,2.0,,,
000062.XSHE,2014-08-14,国泰海通证券,17.6000,M06,2,1,2025-05-08 08:32:48,2014-08-14 17:10:28,17.6,2.0,,,
000062.XSHE,2015-01-26,国投证券,,,2,1,2025-05-08 17:24:53,2015-01-27 13:43:44,,2.0,,,
000062.XSHE,2015-02-03,国投证券,,,2,1,2025-05-08 17:24:50,2015-02-03 15:39:01,,2.0,,,
000062.XSHE,2015-02-16,国投证券,,,2,1,2025-05-08 17:24:46,2015-02-16 14:54:58,,2.0,,,
000062.XSHE,2015-03-02,国投证券,,,2,1,2025-05-08 17:24:58,2015-03-02 14:55:24,,2.0,,,
