open,high,low,last,limit_up,limit_down,iopv,pre_iopv,prev_close,close,settlement,prev_settlement,datetime,order_book_id,volume,total_turnover,num_trades,trading_phase_code,open_interest,ask,bid,ask_vol,bid_vol,trading_date
0.82,0.8287,0.82,0.8287,1.2229,0.0001,,,0.77,,,0.775,2.026032511300029e+16,10009651,3.0,25361.69,3.0,T,206.0,"[0.9959, 0, 0, 0, 0]","[0.6377, 0.3952, 0, 0, 0]","[10, 0, 0, 0, 0]","[10, 3, 0, 0, 0]",20260325.0
0.7039,0.7039,0.7039,0.7039,1.1259,0.0001,,,0.6699,,,0.678,2.026032511300029e+16,10009652,1.0,7222.01,1.0,T,259.0,"[0.8989, 0, 0, 0, 0]","[0.5407, 0.3458, 0, 0, 0]","[10, 0, 0, 0, 0]","[10, 3, 0, 0, 0]",20260325.0
0.6015,0.64,0.5721,0.623,1.0279,0.0001,,,0.5756,,,0.58,2.0260325113000184e+16,10009653,58.0,375422.63,14.0,T,298.0,"[0.6499, 0.65, 0.67, 0.68, 0]","[0.6195, 0.5945, 0.2958, 0, 0]","[10, 10, 10, 10, 0]","[1, 10, 3, 0, 0]",20260325.0
0.5001,0.5388,0.5001,0.523,0.9309,0.0001,,,0.4774,,,0.483,2.0260325113000388e+16,10009654,10.0,53779.84,10.0,T,335.0,"[0.7039, 0, 0, 0, 0]","[0.3457, 0.2463, 0, 0, 0]","[10, 0, 0, 0, 0]","[10, 4, 0, 0, 0]",20260325.0
0.3977,0.4403,0.3977,0.4227,0.8329,0.0001,,,0.375,,,0.385,2.0260325113000084e+16,10009655,103.0,448958.11,22.0,T,514.0,"[0.5975, 0, 0, 0, 0]","[0.2561, 0.1617, 0, 0, 0]","[10, 0, 0, 0, 0]","[10, 4, 0, 0, 0]",20260325.0
0.2981,0.3439,0.2981,0.3376,0.7359,0.0001,,,0.2811,,,0.288,2.0260325113000416e+16,10009656,67.0,228623.58,34.0,T,348.0,"[0.3498, 0.3499, 0.3726, 0, 0]","[0.1979, 0.1211, 0, 0, 0]","[10, 3, 3, 0, 0]","[10, 6, 0, 0, 0]",20260325.0
0.205,0.2488,0.205,0.235,0.6389,0.0001,,,0.1867,,,0.191,2.0260325113000016e+16,10009657,90.0,220678.24,28.0,T,516.0,"[0.3259, 0, 0, 0, 0]","[0.2041, 0.204, 0.0802, 0, 0]","[10, 0, 0, 0, 0]","[10, 4, 9, 0, 0]",20260325.0
0.1112,0.1544,0.1112,0.1365,0.5409,0.0001,,,0.0897,,,0.093,2.0260325113000084e+16,10009658,2902.0,4270157.62,691.0,T,2289.0,"[0.1865, 0.1866, 0.2568, 0.2888, 0.3068]","[0.1244, 0.0902, 0.0901, 0.09, 0.0307]","[10, 3, 2, 10, 10]","[1, 1, 10, 5, 12]",20260325.0
0.026,0.059,0.026,0.0398,0.4665,0.0001,,,0.019,,,0.019,2.0260325113000004e+16,10009659,11013.0,5268245.29,2436.0,T,3826.0,"[0.0409, 0.0415, 0.043, 0.0434, 0.0436]","[0.038, 0.035, 0.0348, 0.0346, 0.0316]","[6, 10, 5, 10, 12]","[5, 10, 10, 10, 10]",20260325.0
0.0001,0.0003,0.0001,0.0002,0.293,0.0001,,,0.0002,,,0.0001,2.0260325112957584e+16,10009660,194.0,415.53,26.0,T,7959.0,"[0.0002, 0.0003, 0.0035, 0.0037, 0]","[0, 0, 0, 0, 0]","[1, 101, 1, 2, 0]","[0, 0, 0, 0, 0]",20260325.0
0.0001,0.0003,0.0001,0.0001,0.3124,0.0001,,,0.0001,,,0.0001,2.0260325112956656e+16,10009661,111.0,185.71,14.0,T,3322.0,"[0.0001, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[11, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",20260325.0
0.0001,0.0002,0.0001,0.0001,0.332,0.0001,,,0.0001,,,0.0001,2.026032511295651e+16,10009662,122.0,186.73,17.0,T,2358.0,"[0.0002, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[2, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",20260325.0
0.0001,0.0004,0.0001,0.0001,0.3514,0.0001,,,0.0001,,,0.0001,2.0260325112957664e+16,10009663,152.0,463.75,17.0,T,5225.0,"[0.0002, 0, 0, 0, 0]","[0.0001, 0, 0, 0, 0]","[11, 0, 0, 0, 0]","[148, 0, 0, 0, 0]",20260325.0
0.0002,0.0002,0.0001,0.0001,0.371,0.0001,,,0.0003,,,0.0001,2.0260325112956784e+16,10009664,147.0,208.28,16.0,T,3574.0,"[0.0001, 0.0023, 0, 0, 0]","[0, 0, 0, 0, 0]","[40, 13, 0, 0, 0]","[0, 0, 0, 0, 0]",20260325.0
0.0002,0.0002,0.0001,0.0001,0.3904,0.0001,,,0.0002,,,0.0001,2.026032511295671e+16,10009665,260.0,277.02,26.0,T,3219.0,"[0.0001, 0.0032, 0, 0, 0]","[0, 0, 0, 0, 0]","[40, 6, 0, 0, 0]","[0, 0, 0, 0, 0]",20260325.0
0.0001,0.0001,0.0001,0.0001,0.4101,0.0001,,,0.0005,,,0.0004,2.0260325112958324e+16,10009666,80.0,82.08,15.0,T,3284.0,"[0.0009, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[60, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",20260325.0
0.0016,0.0016,0.0001,0.0001,0.4321,0.0001,,,0.0028,,,0.0028,2.026032511295771e+16,10009667,1317.0,3424.79,196.0,T,4504.0,"[0.0001, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[12, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",20260325.0
0.0159,0.0159,0.0014,0.0025,0.4729,0.0001,,,0.025,,,0.025,2.0260325113000184e+16,10009668,6958.0,202325.15,2486.0,T,6029.0,"[0.0047, 0.0048, 0.0049, 0.0801, 0]","[0.001, 0.0008, 0.0001, 0, 0]","[20, 10, 10, 1, 0]","[33, 15, 66, 0, 0]",20260325.0
0.9252,0.9285,0.9252,0.9257,1.3209,0.0001,,,0.847,,,0.873,2.026032511300049e+16,10009755,4.0,38043.05,3.0,T,303.0,"[1.0939, 0, 0, 0, 0]","[0.7357, 0.4452, 0, 0, 0]","[10, 0, 0, 0, 0]","[10, 3, 0, 0, 0]",20260325.0
0.0001,0.0002,0.0001,0.0001,0.2734,0.0001,,,0.0001,,,0.0001,2.026032511295779e+16,10009756,222.0,228.8,42.0,T,9277.0,"[0.0002, 0.001, 0.0012, 0.0013, 0.0016]","[0, 0, 0, 0, 0]","[22, 1, 50, 50, 150]","[0, 0, 0, 0, 0]",20260325.0
0.0009,0.0021,0.0003,0.0005,0.4383,0.0001,,,0.0006,,,0.0006,2.0260325112959924e+16,10009763,6252.0,75250.94,1377.0,T,10102.0,"[0.0005, 0.0007, 0.0012, 0.0015, 0.0017]","[0.0004, 0.0003, 0.0002, 0.0001, 0]","[21, 3, 70, 20, 10]","[40, 41, 71, 5, 0]",20260325.0
