order_book_id,quarter,info_date,cost_of_goods_sold,cash_flow_from_operating_activities,cash_flow_from_investing_activities,inventory,if_adjusted,total_liabilities,net_profit,intangible_assets,undistributed_profit,operating_expense,net_accts_receivable,total_assets,notes_payable,rice_create_tm,investment_income,current_liabilities,cash_flow_from_financing_activities,revenue,total_equity,operating_revenue,current_assets,net_fixed_assets,financing_expense
002353.XSHE,2010q1,2011-04-20,90337966.69,-113699663.04,-9101502.92,153197253.02,1,97749083.52,35728760.07,10362675.95,276316019.36,,136000301.87,2167488830.84,,2021-12-30 22:11:53,-201492.65,97749083.52,1659643090.89,148218850.02,2069739747.32,148218850.02,2057364283.17,89632744.17,-3550150.05
002353.XSHE,2010q2,2011-10-22,235081694.25,-132634759.65,-15046500.64,144026139.22,1,105977491.11,115269628.31,10307201.96,286419755.15,,219037383.77,2184209857.68,,2022-08-09 20:13:55,98738.48999999999,105977491.11,1586213976.08,393816648.61,2078232366.57,393816648.61,2074980839.95,88379955.47,-9359590.579999998
002353.XSHE,2010q3,2011-10-22,399339602.55,-173022281.97,-22519963.66,190620235.61,1,143511951.48,193351212.41,10251727.97,363960285.78,,327817200.51,2299666954.89,,2021-12-30 22:11:53,324829.55,143511951.48,1585038751.68,661327885.09,2156155003.41,661327885.09,2181553175.65,95555315.15,-18771439.56
002353.XSHE,2010q4,2012-03-17,551490671.9,-44759372.7,-62076373.46,260866410.58,1,146180496.33,284248666.84,13180204.15,437871121.27,,214489128.18,2396386326.38,,2021-12-30 22:11:53,472152.8,146180496.33,1591629693.66,943976017.18,2250205830.05,943976017.18,2264607098.31,102195083.73,-25715764.6
002353.XSHE,2011q1,2012-04-19,111594287.24,-132622907.59,-16527596.1,345495168.83,1,134129697.96,58637907.11,13049353.55,496130425.05,,244729924.84,2442887219.7,,2021-12-30 22:11:53,213817.03,134129697.96,4248040.13,196518584.73,2308757521.74,196518584.73,2309127828.36,101706180.06,-7333505.84
002353.XSHE,2011q2,2012-10-27,340906982.97,-139150520.69,-322613608.17,397941304.54,1,206855357.14,177709528.2,12918437.09,522477152.57,,412992525.83,2544031917.01,1961627.2,2022-08-09 20:13:55,5321899.669999999,206855357.14,-105881591.47,592262608.6700001,2337176559.87,592262608.6700001,2128872564.51,141879414.56,-15599611.010000002
002353.XSHE,2011q3,2012-10-27,569804689.99,-84353161.62,-433878443.72,463748118.98,1,284926848.7,291826004.38,12787520.15,635361768.38,,482691957.34,2738053573.2,16449591.0,2021-12-30 22:11:53,10279404.54,284926848.7,-145681467.01,983077735.46,2453126724.5,983077735.46,2219521308.84,204977117.01,-21889399.53
002353.XSHE,2011q4,2013-03-23,832611744.97,-139510883.12,-448690537.7,549425161.31,1,455812037.54,427666327.8,93216214.59,749905565.62,,524964568.48,3044896386.09,30505126.22,2021-12-30 22:11:53,17577888.68,455812037.54,-102984995.6,1460044836.88,2589084348.55,1460044836.88,2405935201.66,286178497.4,-25477894.33
002353.XSHE,2012q1,2013-04-20,174951982.87,-113654691.55,-63710773.87,723519822.02,1,500784038.51,60825629.34,92668352.41,810621515.28,,538437738.01,3155344032.36,45586656.9,2021-12-30 22:11:53,5463384.93,500784038.51,-15307478.52,277002827.14,2654559993.85,277002827.14,2462749812.08,298972877.01,-4271142.19
002353.XSHE,2012q2,2013-10-26,488377220.80999994,-100798103.62,-251832449.31,700274136.82,1,745642673.92,217987303.71,92120468.96,899159046.89,,802052152.73,3487833688.93,52532696.93,2022-08-09 20:13:55,9670840.410000002,745642673.92,17873869.2,840610919.0899999,2742191015.01,840610919.0899999,2587144785.62,368391219.55,-5343590.46
002353.XSHE,2012q3,2013-10-26,854789880.43,-202223633.43,-427544962.95,842883358.3,1,1052094702.61,399394121.88,100540366.57,1080350717.83,,1055935282.52,3966454037.05,102303133.43,2021-12-30 22:11:53,17994643.42,1032094702.61,166623158.02,1495191362.58,2914359334.44,1495191362.58,2918253480.23,416715873.87,-5359641.02
002353.XSHE,2012q4,2014-03-29,1365006172.03,174686445.89,-681595676.04,949217553.31,1,1522599312.72,645102841.25,106720061.26,1295863943.05,,924969961.77,4683847249.41,122916496.61,2021-12-30 22:11:53,32836664.34,1489203826.72,410916714.55,2384029702.7,3161247936.69,2384029702.7,3487724978.74,680444007.73,-2911752.18
002353.XSHE,2013q1,2014-04-22,361344083.67,-222021669.89,38667576.3,1122909821.68,1,1357169083.89,149515420.74,108558521.98,1446470440.0,,1076779560.41,4666675975.85,119462202.73,2021-12-30 22:11:53,5626302.66,1323664367.89,-52405602.99,605639465.95,3309506891.96,605639465.95,3399202562.72,702067920.93,7064600.9
002353.XSHE,2013q2,2014-10-27,914685344.1600001,83309841.06,13101764.38,1350795489.35,1,2700970394.47,415023412.25,107618645.37,1594093037.28,,1700129080.2,6152251160.7,156620139.35,2022-08-09 20:13:55,20165492.98,2667527638.47,-189221364.23,1602803365.0299997,3451280766.23,1602803365.0299997,4772757420.82,842911514.42,10232686.97
002353.XSHE,2013q3,2014-10-27,1478759829.17,-94789430.02,-143956908.09,1618752287.35,1,3220019986.83,712842227.61,107014408.26,1891399059.4,,2092916351.72,6985395386.07,211040156.29,2021-12-30 22:11:53,26926736.62,3185176315.57,24381884.28,2667098686.68,3765375399.24,2667098686.68,5423056355.78,933419240.18,6995827.5
002353.XSHE,2013q4,2015-03-31,2082769159.58,509701686.99,-437273249.61,1802225576.53,1,2853813387.42,988402498.34,141077274.84,2115589064.46,,1605092605.04,6890921179.04,218522945.18,2021-12-30 22:11:53,43591893.21,2816039313.32,96157130.29,3700232671.5,4037107791.62,3700232671.5,5153377536.58,1013049918.93,16173831.26
002353.XSHE,2014q1,2015-04-23,532564168.83,-5249492.22,-21183613.87,1733939964.59,1,2898478701.03,212420408.72,140131847.37,2327801785.41,,1640415746.54,10090784981.05,310147781.34,2021-12-30 22:11:53,4170997.21,2846164276.53,2562117194.67,887131454.73,7192306280.02,887131454.73,8268850587.25,1022090869.68,-5130708.93
002353.XSHE,2014q2,2015-10-31,1271864063.46,860267863.73,-124366833.69,1927683261.32,1,2937959901.93,647446704.0999999,170537983.22,2600268524.29,,1917495514.4,10620830078.25,348678717.79,2022-08-09 20:13:55,8971815.45,2888873888.63,2403444771.86,2228329332.33,7682870176.32,2228329332.33,8681946134.89,1180848022.46,-36869685.19
002353.XSHE,2014q3,2015-10-31,1999324644.43,516235037.96,-343962738.43,2091072225.08,1,2943294156.9,1042982314.29,169252318.69,2993992841.45,,2116192579.55,10993494664.52,432225693.01,2021-12-30 22:11:53,9164552.01,2894583213.93,2646403871.83,3615199017.17,8050200507.62,3615199017.17,8823006977.25,1267796792.44,-59743239.96
002353.XSHE,2014q4,2016-04-09,2434330294.48,457802590.87,-1501678337.77,2276678493.73,1,3038887742.31,1218780808.27,195774495.15,3034043532.49,,2043907899.03,11181818901.96,397530840.35,2021-12-30 22:11:53,62894348.52,2989198480.06,2426130401.01,4460602103.85,8142931159.65,4460602103.85,8704075337.58,1379712777.62,-27320637.55
002353.XSHE,2015q1,2016-04-28,380801344.98,-187184171.82,233877419.75,2353770995.29,1,2723879798.69,56425564.66,195817146.86,3089914587.56,,1995813215.51,10893560311.4,529688420.06,2021-12-30 22:11:53,16999057.38,2675086241.03,116313393.18,557743000.07,8169680512.71,557743000.07,8416178928.37,1309383611.02,-3343401.8
002353.XSHE,2015q2,2016-10-28,837846870.35,71583313.48,-655608983.87,2362923043.41,1,3530460561.71,102534246.08000001,194076406.69,2943712256.68,,1876935842.05,11555273720.97,490632181.28,2022-08-09 20:13:55,27164734.230000004,3484119136.68,716429435.12,1225992001.27,8024813159.26,1225992001.27,8991136389.61,1463630140.2,-11192726.71
002353.XSHE,2015q3,2016-10-28,1297197074.74,-131347453.11,-961127667.38,2333167066.83,1,3329328484.2,122719861.93,194026978.79,2967157413.6,,1902104652.4,11350441852.99,278333004.46,2021-12-30 22:11:53,37780535.45,3028413831.1,813250069.6,1904797113.11,8021113368.79,1904797113.11,8670880795.32,1506310241.78,14637844.8
002353.XSHE,2015q4,2017-03-31,1919574592.14,68967597.63,-496545202.31,2180111400.7,1,2367879341.09,144617407.8,268673605.46,2961103519.02,,1833093510.38,10392856346.64,190836918.65,2021-12-30 22:11:53,59294424.7,2074046036.86,-192187814.65,2826572017.2,8024977005.55,2826572017.2,7557016056.96,1721714166.71,16784693.03
002353.XSHE,2016q1,2017-04-22,392581868.91,8481193.93,271412180.16,2200553727.94,1,2275399317.33,52269899.92,320896199.86,3018855441.56,,1769435548.11,10320650170.2,201917632.55,2021-12-30 22:11:53,5835211.93,1804905555.95,121436258.21,584627728.11,8045250852.87,584627728.11,7540096338.42,1688665243.76,-804325.49
002353.XSHE,2016q2,2017-10-28,939973702.74,176290454.9,-568584022.36,2094958096.8,1,2078291608.79,97219656.05,319719734.58,3039588280.43,,1765002001.19,10129347732.2,167875226.5,2022-08-09 20:13:55,19258363.76,1591727504.12,64789125.43,1336084413.04,8051056123.41,1336084413.04,7341467577.09,1660689603.13,-59953541.160000004
002353.XSHE,2016q3,2017-10-28,1351025609.69,193689792.85,-899641168.59,2147091226.82,1,2078637012.02,97805694.85,318304570.34,3037245178.36,,1671310583.06,10117389294.07,143960541.82,2021-12-30 22:11:53,28803468.8,1589186084.43,54624564.9,1858468491.78,8038752282.05,1858468491.78,7384363154.75,1674075536.77,-59822084.92
