order_book_id,quarter,info_date,cost_of_goods_sold,cash_flow_from_operating_activities,cash_flow_from_investing_activities,inventory,if_adjusted,total_liabilities,net_profit,intangible_assets,undistributed_profit,operating_expense,net_accts_receivable,total_assets,notes_payable,rice_create_tm,investment_income,current_liabilities,cash_flow_from_financing_activities,revenue,total_equity,operating_revenue,current_assets,net_fixed_assets,financing_expense
002027.XSHE,2010q1,2011-04-29,365155389.35,-73360884.15,-43297500.16,224526364.33,1,456070939.65,837315.47,16277603.75,233210380.81,,156977591.99,1106542272.25,78622774.8,2022-01-06 10:03:24,1407488.92,454875244.28,45554757.74,385730747.57,650471332.6,385730747.57,850213770.19,125865607.13,841884.23
002027.XSHE,2010q2,2011-10-21,606087041.8900001,-74102095.75,-29475952.9,248731864.41,1,475500501.26,1447077.6700000004,16068656.24,233817413.23,,168190556.91,1130029153.54,61893600.0,2022-08-09 19:44:41,89168.85999999999,474615009.35,11943114.88,648947153.8600001,654528652.28,648947153.8600001,878700155.38,121720087.76,1656192.05
002027.XSHE,2010q3,2011-10-26,940924395.46,-76153230.59,2908207.38,236183117.04,1,380825173.91,2162823.74,15859708.73,234501119.19,,188353551.98,1036069572.27,58428400.0,2022-01-06 10:03:24,955471.82,379920271.29,-6223197.4,1011159566.19,655244398.36,1011159566.19,789630262.93,118875718.43,1361804.51
002027.XSHE,2010q4,2012-04-25,1529915520.29,32728488.92,-99532740.26,189168852.83,1,380021423.75,9840936.17,15650761.22,242070052.83,,147487541.47,1042943934.53,69345000.0,2022-01-06 10:03:24,3924803.36,379323616.75,17580460.94,1643931452.85,662922510.78,1643931452.85,683708140.02,210261294.12,908575.93
002027.XSHE,2011q1,2012-04-25,252292675.6,-38818445.68,-717082.74,230726644.95,1,361358985.11,1073480.19,15441813.71,243136046.74,,172898817.58,1025354976.08,94300000.0,2022-01-06 10:03:24,1004257.91,360661178.11,-12311323.79,277189383.08,663995990.97,277189383.08,670127479.06,206329151.53,-653018.38
002027.XSHE,2011q2,2012-10-27,542163292.08,-70999492.9,-36495583.04,222437845.89,1,312772133.37,1940864.31,15232866.2,243981121.91,,148851887.97,977635508.46,50966000.0,2022-08-09 19:44:41,4122826.59,312074326.37,30050280.12,600392354.5699999,664863375.09,600392354.5699999,617614531.2,221923467.61,-484430.4700000001
002027.XSHE,2011q3,2012-10-27,869044584.2,-14806629.89,-36266848.93,253907324.49,1,302785947.87,1726444.61,15023918.69,243766627.06,,102957973.76,967434903.26,93885000.0,2022-01-06 10:03:24,4290813.85,302088140.87,18641749.71,947381266.9,664648955.39,947381266.9,611267120.21,219547583.83,-1062347.62
002027.XSHE,2011q4,2013-04-24,1181777489.22,-11695725.37,-41818636.38,157501424.53,1,309709384.49,-54761941.72,15409666.81,187302606.39,,127132505.78,919784678.57,57627500.0,2022-01-06 10:03:24,-3074562.55,309243634.49,-21367728.89,1272419549.86,610075294.08,1272419549.86,535770020.62,224144944.94,-2072050.11
002027.XSHE,2012q1,2013-04-24,236159649.57,-52435739.28,-8634711.03,137191317.02,1,229236955.81,-9137185.25,15292856.06,178405761.38,,128669209.95,830175064.58,74300000.0,2022-01-06 10:03:24,23976.22,228771205.81,3900190.23,250510817.47,600938108.77,250510817.47,448931936.51,220993133.99,159188.06
002027.XSHE,2012q2,2013-10-29,492284441.64,-50839841.7,-20041107.51,209264576.79,1,228534036.53,-9546003.91,15297318.74,178203697.06,,89924698.01,829063326.7,60541500.0,2022-08-09 19:44:41,6317329.13,228068286.53,9840655.09,528389662.85,600529290.17,528389662.85,469434981.14,282117188.05,1300414.7999999998
002027.XSHE,2012q3,2013-10-29,789829470.49,-77393215.14,-22580744.8,196315537.31,1,205531335.0,2306429.1,15153935.01,189616911.24,,127322752.7,817913058.19,70733370.0,2022-01-06 10:03:24,5741014.7,205065585.0,41831541.45,866513594.86,612381723.19,866513594.86,460456623.21,277828860.09,1528046.18
002027.XSHE,2012q4,2014-04-28,1231335282.17,-4533412.34,-42657118.05,101330803.02,1,293131292.92,6785384.98,15030886.91,195499034.43,,140248890.85,910002076.67,60938500.0,2022-01-06 10:03:24,8153729.76,292473842.92,95135734.7,1337336901.84,616870783.75,1337336901.84,496588926.82,209911832.28,98673.65
002027.XSHE,2013q1,2014-04-28,287435212.7,-2256589.84,-39114729.73,137045194.81,1,326335559.25,-8117953.2,31997438.71,187444013.04,,132115122.73,935074156.97,60172000.0,2022-01-06 10:03:24,106.35,325678109.25,-14260099.5,310743711.72,608738597.72,310743711.72,467622674.93,205962786.27,1676636.51
002027.XSHE,2013q2,2014-10-29,778546178.02,14978182.63,-41959852.07,177224915.79,1,313702201.01,-21783255.610000003,31879474.51,173833065.59,,87929184.78,911392324.37,58125715.0,2022-08-09 19:44:41,1112913.02,313044751.01,-17182738.63,813874664.1299999,597690123.36,813874664.1299999,465381412.01,201772852.96,2709754.8000000003
002027.XSHE,2013q3,2014-10-29,1103610502.32,15037731.49,-50739017.64,169847023.81,1,315659362.87,-40198481.92,31441175.65,156117413.88,,83579997.21,893213406.62,66640000.0,2022-01-06 10:03:24,301876.03,315001912.87,-51793887.97,1161932069.86,577554043.75,1161932069.86,430953980.24,198960764.78,2994333.87
002027.XSHE,2013q4,2015-04-16,1396161035.48,40868660.5,-95021522.37,19683544.29,1,194960178.67,-125648527.72,31711524.55,71824488.54,,20461899.38,683772323.28,50600000.0,2022-01-06 10:03:24,6179012.84,194960178.67,34083913.41,1417780745.37,488812144.61,1417780745.37,244230517.26,44232037.65,3782859.92
002027.XSHE,2014q1,2015-04-16,74870225.11,13056240.42,21244076.74,21381880.83,1,111403088.39,-2128241.54,31485658.15,69696247.0,,16596730.17,598086991.46,71650000.0,2022-01-06 10:03:24,-172029.05,111403088.39,-103313637.3,81525990.85,486683903.07,81525990.85,170372476.01,43862439.37,428285.57
002027.XSHE,2014q2,2015-10-23,161878366.45,-1287263.64,4321233.26,16097973.73,1,93105145.3,698545.0900000001,31259791.75,72523033.63,,13195081.96,582615835.0,53400000.0,2022-08-09 19:44:41,1127155.87,93105145.3,-78601097.37,175363835.91,489510689.7,175363835.91,152268734.3,40425655.79,180055.20000000007
002027.XSHE,2014q3,2015-10-23,259651925.74,15645485.41,-10603460.86,15845029.21,1,106386002.72,1026412.78,31033925.35,72850901.32,,14682415.58,596224560.11,65230000.0,2022-01-06 10:03:24,1583260.77,106386002.72,-77784708.59,281754737.5,489838557.39,281754737.5,140286074.82,66419937.17,599490.92
002027.XSHE,2014q4,2016-04-22,2234473955.62,2517164690.05,-131039908.31,10767806.8,1,3155940137.33,2417118188.43,21101282.99,4646733348.28,,2034202237.12,8849275960.86,42000000.0,2022-01-06 10:03:24,2914978.36,3119207836.88,-1908065382.18,7497256418.79,5693335823.53,7497256418.79,7919230997.1,333719689.94,-177407116.83
002027.XSHE,2015q1,2016-04-30,601630189.01,229183762.98,-611970550.46,15218099.58,1,93187851.41,465916382.8,20875416.59,79471527.31,,25234963.15,589647034.79,65500000.0,2022-01-06 10:03:24,-675256.09,93187851.41,-383301591.64,1629606031.44,496459183.38,1629606031.44,128924931.02,96015905.07,-39025455.41
002027.XSHE,2015q2,2016-10-31,1184965339.6599998,947314336.72,915213411.62,14858695.28,1,104020216.25,1537927195.18,21005386.21,78668768.26,,14729877.91,599676640.58,68700000.0,2022-08-09 19:44:41,-116970.70999999996,104020216.25,-383301591.64,4025140178.75,495656424.33,4025140178.75,141714246.97,94890816.11,-67093344.14999999
002027.XSHE,2015q3,2016-10-31,1841280230.52,1940932042.89,134417458.91,12512950.1,1,127966991.86,2486175345.98,20835071.08,75710904.61,,17483907.72,620665552.54,79500000.0,2022-01-06 10:03:24,-3860232.32,127966991.86,-382533981.64,6348685775.51,492698560.68,6348685775.51,165873916.08,93697958.55,-96089804.02
002027.XSHE,2015q4,2017-04-28,2539763220.91,2630453814.88,-621343259.38,,1,7765607367.74,3385772840.37,,4005927770.98,,2181654487.95,12501668046.03,47800000.0,2022-01-06 10:03:24,-657407.87,7722305523.22,-460102442.16,8627411561.61,4736060678.29,8627411561.61,11130099662.92,300677127.06,-129330393.9
002027.XSHE,2016q1,2017-04-28,729367040.43,510278837.58,-17327618.37,,1,7403352745.52,641159804.07,,4655358463.93,,2050240603.73,12805917213.62,13800000.0,2022-01-06 10:03:24,-509462.86,7367304802.68,4914199989.6,2104858386.93,5402564468.1,2104858386.93,11445161011.68,284315228.43,-29060537.23
002027.XSHE,2016q2,2017-10-28,1502161868.9900002,1668557058.34,-349399184.71,,1,3207102466.89,1892809876.3199997,,4814995082.68,,2389328804.71,8782400254.55,,2022-08-09 19:44:41,73972.14,3163543394.48,-759302746.1,4926942439.88,5575297787.66,4926942439.88,7023044592.33,267947284.37,-75840233.78
002027.XSHE,2016q3,2017-10-28,2255739316.8,2957482970.27,-571897027.02,,1,3124415864.43,3133452264.2,,6060871340.09,,2259856587.63,9943457654.31,,2022-01-06 10:03:24,73972.14,3080856792.02,-870862295.63,7542151931.46,6819041789.88,7542151931.46,7996656034.41,257424386.7,-101583594.19
002027.XSHE,2016q4,2019-04-25,3019106728.34,4800012042.7,-2905180961.92,,1,3975473135.4,4447853534.27,,7285662483.72,,2161763099.85,12129059829.52,,2022-01-06 10:03:24,73972.14,3904445284.58,-512561708.85,10213134291.73,8153586694.12,10213134291.73,9871662750.77,266333673.59,-142063223.63
002027.XSHE,2017q1,2018-04-25,784242692.43,951616034.22,-1591973200.22,,1,3622298062.55,1101075291.11,,8392423879.26,,1940103092.71,12844069381.24,,2022-01-06 10:03:24,,3547338915.57,-6112099.98,2420414721.9,9221771318.69,2420414721.9,10443974070.07,283911209.49,-48884817.47
002027.XSHE,2017q2,2018-10-30,1646610224.08,1829333316.61,1783558969.16,,1,7441671749.16,2523419355.1800003,,6253989284.7,,2628647860.81,14512316727.69,,2022-08-09 19:44:41,5292364.51,7362871540.98,-37216795.61,5640666497.84,7070644978.53,5640666497.84,12070724197.62,297254351.2,-112817911.45000002
002027.XSHE,2017q3,2018-10-30,2419529031.52,2388121358.39,1010418897.49,2689673.6,1,4124545466.61,3900479419.0,32352168.44,7637571986.99,,3452851509.12,12618684631.84,,2022-01-06 10:03:24,4267726.31,4046136235.05,-3442587751.99,8729576790.77,8494139165.23,8729576790.77,9967250195.21,319043747.37,-148505530.93
002027.XSHE,2017q4,2020-04-28,3276730966.2,4156254605.06,-2036973805.77,6997845.32,1,4996720604.47,5973395164.18,33554444.45,9685638070.46,,2980245462.04,15554602846.85,0.0,2022-01-06 10:03:24,748797400.51,3915283048.02,-2567462803.96,12013553185.42,10557882242.38,12013553185.42,11164319330.72,351244838.56,-128343374.78
002027.XSHE,2018q1,2019-04-25,919258485.72,683465998.97,-462960675.02,12652347.15,1,3956734364.04,1199811124.67,31267945.88,10893098234.46,,3088944806.11,15708760409.19,,2022-01-06 10:03:24,969732.61,2902099519.86,-784529102.49,2959582128.62,11752026045.15,2959582128.62,11051729283.81,399821244.87,-28411152.91
002027.XSHE,2018q2,2019-10-31,2003923116.5900002,1247012994.56,2844900.94,14018944.01,1,4777929562.29,3333967828.58,30127240.27,11809441412.88,,4665276245.83,17455255010.0,,2022-08-09 19:44:41,149940561.49,3649352062.5,-1711452068.81,7109975615.18,12677325447.71,7109975615.18,12195013833.7,572042507.19,-55938982.879999995
002027.XSHE,2018q3,2019-10-31,3345620105.07,1560799821.5,557983982.94,14074410.7,1,4780248966.29,4788606848.11,30298252.6,13272242207.75,,5189164609.09,18485532791.55,,2022-01-06 10:03:24,169785415.05,3617154051.09,-2393132059.79,10876591720.34,13705283825.26,10876591720.34,12143672203.73,1262505531.06,-80478112.05
002027.XSHE,2018q4,2021-04-23,4916492040.02,3782842145.12,-1382835733.69,2909944.51,1,4623525918.66,5792227174.51,46957739.45,14200014770.77,,4822447319.81,18986860182.42,0.0,2022-01-06 10:03:24,168343627.0,3527268856.82,-2661947789.68,14551285132.73,14363334263.76,14551285132.73,12033567632.48,1785275925.19,-93655308.74
002027.XSHE,2019q1,2020-04-28,1656869284.94,581559068.68,-2591408329.11,2970221.62,1,3819143768.87,330979327.81,42582269.14,14541029192.41,,4073479240.11,18116463703.36,,2022-01-06 10:03:24,40649033.27,2732274605.22,-389396626.42,2610958669.84,14297319934.49,2610958669.84,11003784907.55,,-792271.43
002027.XSHE,2019q2,2020-10-23,3314994820.29,1077544688.22,-1525682480.89,2905302.52,1,5330394106.35,760367113.9100001,39197368.39,13535124748.34,,4258257574.8,18354587282.59,,2022-08-09 19:44:41,71135093.12,4237742386.29,-831817053.09,5716745014.15,13024193176.24,5716745014.15,11123911352.32,1789493020.44,-4902301.800000001
002027.XSHE,2019q3,2020-10-23,4982762375.72,2083923107.65,-706978198.75,7739938.41,1,4135287492.29,1333816421.2,35638708.54,14117548270.85,,4328100782.11,17826849181.09,,2022-01-06 10:03:24,198991262.31,3008134979.83,-2292171322.36,8905847238.32,13691561688.8,8905847238.32,10508097260.74,,-20539466.19
