order_book_id,quarter,info_date,cost_of_goods_sold,cash_flow_from_operating_activities,cash_flow_from_investing_activities,inventory,if_adjusted,total_liabilities,net_profit,intangible_assets,undistributed_profit,operating_expense,net_accts_receivable,total_assets,notes_payable,rice_create_tm,investment_income,current_liabilities,cash_flow_from_financing_activities,revenue,total_equity,operating_revenue,current_assets,net_fixed_assets,financing_expense
605589.XSHG,2010q4,2014-01-27,2230359585.04,-127900598.84,-112539101.82,274177841.97,0,1840150290.78,331879201.95,122000774.21,776527405.74,,482474167.66,3021255962.64,305000000.0,2022-01-06 08:55:03,856221.53,1538898839.8,272684360.47,3063386304.29,1181105671.86,3063386304.29,2157724676.01,600674789.47,85785657.01
605589.XSHG,2011q4,2014-01-27,2723547863.34,371016454.43,-334656702.0,322909649.36,0,2607665195.59,454429091.36,128380194.81,880345877.1,,639144973.86,3857183193.27,427822507.37,2022-01-06 08:55:03,4434397.54,2410456035.38,204087785.81,3891123587.15,1249517997.68,3891123587.15,2814645115.81,713826866.9,135962651.76
605589.XSHG,2012q2,2014-01-27,1153279203.12,497459545.68,-328067166.54,,1,,495317465.04,,,,,,,2022-01-06 08:55:03,500332.48,,215777938.68,1678831719.05,,1678831719.05,,,70854723.92
605589.XSHG,2012q3,2014-01-27,2161510895.94,184711876.72,-389843559.46,,1,,195146541.25,,,,,,,2022-01-06 08:55:03,581360.22,,436628699.33,2912942925.92,,2912942925.92,,,103409816.42
605589.XSHG,2012q4,2014-07-18,2285039278.42,225150211.07,-562167816.49,440630614.92,0,3037657270.32,194753056.07,154846474.38,1069872855.92,,778644536.96,4486640323.68,428589402.55,2022-01-06 08:55:03,343964.69,2704837780.14,224202497.48,3238544183.05,1448983053.36,3238544183.05,2800684524.93,847370588.01,136915382.76
605589.XSHG,2013q1,2014-04-30,528683775.49,200305431.23,-30361568.68,,1,,57023718.64,,,,,5054000000.0,,2022-01-06 08:55:03,,,-99527135.72,738146372.71,1841000000.0,738146372.71,,,31135322.71
605589.XSHG,2013q2,2014-08-29,1183353824.26,169832059.53,-64185871.32,518775657.43,1,3474820422.17,116388948.15,196229110.86,1308386625.92,,1114028120.46,5417997648.99,956790000.0,2022-01-06 08:55:03,307105.9,3011712822.2,-22988700.22,1667730964.72,1943177226.82,1667730964.72,3397420359.21,832504579.98,62741169.42
605589.XSHG,2013q3,2014-10-29,1918479259.02,78878840.79,-152462200.66,447453498.5,1,3729783681.24,195592727.88,311878323.49,1320254489.83,,1159856439.11,5625918070.75,839291402.38,2022-01-06 08:55:03,237402.88,2977033578.6,-74940877.89,2670853462.32,1896134389.52,2670853462.32,3546350172.95,819922255.67,101709740.73
605589.XSHG,2013q4,2015-03-11,2568070829.58,207480898.03,-239091158.25,546587277.33,1,3988249121.87,262798771.2,192610213.98,1291187907.98,,971015510.77,5678312120.84,798153002.38,2022-01-06 08:55:03,276058.54,3531333288.57,-35032146.4,3596363481.32,1690062998.97,3596363481.32,3408379606.46,1087611228.11,132638524.89
605589.XSHG,2014q1,2015-04-21,608923656.72,-24525720.59,-13192646.09,560776012.84,1,4310984369.12,69378639.97,192672081.97,1359931427.07,,1252981820.36,6075035891.62,863841027.13,2022-01-06 08:55:03,152523.6,3869276957.47,120012120.41,847767362.51,1764051522.5,847767362.51,3779091148.18,1053900276.52,32072450.06
