order_book_id,product_name,symbol,contract_multiplier,listed_date,maturity_date,de_listed_date,strike_price,option_type,exercise_type,round_lot,type,underlying_order_book_id,underlying_symbol,exchange,market_tplus,trading_hours,trading_code
10002117,510300C2001M03600,300ETF购1月3600,10000,2019-12-23,2020-01-22,2020-01-22,3.6,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002117
10002118,510300C2001M03700,300ETF购1月3700,10000,2019-12-23,2020-01-22,2020-01-22,3.7,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002118
10002119,510300C2001M03800,300ETF购1月3800,10000,2019-12-23,2020-01-22,2020-01-22,3.8,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002119
10002120,510300C2001M03900,300ETF购1月3900,10000,2019-12-23,2020-01-22,2020-01-22,3.9,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002120
10002121,510300C2001M04000,300ETF购1月4000,10000,2019-12-23,2020-01-22,2020-01-22,4.0,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002121
10002122,510300C2001M04100,300ETF购1月4100,10000,2019-12-23,2020-01-22,2020-01-22,4.1,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002122
10002123,510300C2001M04200,300ETF购1月4200,10000,2019-12-23,2020-01-22,2020-01-22,4.2,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002123
10002124,510300C2001M04300,300ETF购1月4300,10000,2019-12-23,2020-01-22,2020-01-22,4.3,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002124
10002125,510300C2001M04400,300ETF购1月4400,10000,2019-12-23,2020-01-22,2020-01-22,4.4,C,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002125
10002126,510300P2001M03600,300ETF沽1月3600,10000,2019-12-23,2020-01-22,2020-01-22,3.6,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002126
10002127,510300P2001M03700,300ETF沽1月3700,10000,2019-12-23,2020-01-22,2020-01-22,3.7,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002127
10002128,510300P2001M03800,300ETF沽1月3800,10000,2019-12-23,2020-01-22,2020-01-22,3.8,P,E,1,Option,510300.XSHG,510300.XSHG,XSHG,0,"09:31-11:30,13:01-15:00",10002128
