Bucket,Bucket_Range,Count,Probability (%)
-33,"[-1650, -1600)",1,0.026014568158168577
-29,"[-1450, -1400)",1,0.026014568158168577
-26,"[-1300, -1250)",1,0.026014568158168577
-25,"[-1250, -1200)",3,0.07804370447450572
-24,"[-1200, -1150)",3,0.07804370447450572
-22,"[-1100, -1050)",1,0.026014568158168577
-21,"[-1050, -1000)",1,0.026014568158168577
-20,"[-1000, -950)",1,0.026014568158168577
-19,"[-950, -900)",2,0.052029136316337155
-18,"[-900, -850)",3,0.07804370447450572
-17,"[-850, -800)",4,0.10405827263267431
-16,"[-800, -750)",5,0.1300728407908429
-15,"[-750, -700)",3,0.07804370447450572
-14,"[-700, -650)",11,0.2861602497398543
-13,"[-650, -600)",3,0.07804370447450572
-12,"[-600, -550)",10,0.2601456815816858
-11,"[-550, -500)",4,0.10405827263267431
-10,"[-500, -450)",6,0.15608740894901144
-9,"[-450, -400)",6,0.15608740894901144
-8,"[-400, -350)",15,0.3902185223725286
-7,"[-350, -300)",32,0.8324661810613945
-6,"[-300, -250)",70,1.8210197710718004
-5,"[-250, -200)",124,3.225806451612903
-4,"[-200, -150)",183,4.760665972944849
-3,"[-150, -100)",358,9.31321540062435
-2,"[-100, -50)",472,12.278876170655566
-1,"[-50, 0)",532,13.839750260145681
0,"[0, 50)",550,14.308012486992716
1,"[50, 100)",521,13.553590010405827
2,"[100, 150)",365,9.49531737773153
3,"[150, 200)",224,5.82726326742976
4,"[200, 250)",119,3.0957336108220606
5,"[250, 300)",49,1.2747138397502602
6,"[300, 350)",38,0.9885535900104058
7,"[350, 400)",23,0.5983350676378771
8,"[400, 450)",18,0.46826222684703434
9,"[450, 500)",17,0.44224765868886573
10,"[500, 550)",10,0.2601456815816858
11,"[550, 600)",15,0.3902185223725286
12,"[600, 650)",6,0.15608740894901144
13,"[650, 700)",13,0.3381893860561915
14,"[700, 750)",12,0.31217481789802287
15,"[750, 800)",5,0.1300728407908429
16,"[800, 850)",2,0.052029136316337155
18,"[900, 950)",1,0.026014568158168577
20,"[1000, 1050)",1,0.026014568158168577
