Bucket,Bucket_Range,Count,Probability (%)
-34,"[-1700, -1650)",1,0.02598752598752599
-29,"[-1450, -1400)",1,0.02598752598752599
-26,"[-1300, -1250)",2,0.05197505197505198
-25,"[-1250, -1200)",2,0.05197505197505198
-24,"[-1200, -1150)",1,0.02598752598752599
-23,"[-1150, -1100)",1,0.02598752598752599
-22,"[-1100, -1050)",3,0.07796257796257797
-20,"[-1000, -950)",2,0.05197505197505198
-19,"[-950, -900)",2,0.05197505197505198
-18,"[-900, -850)",1,0.02598752598752599
-17,"[-850, -800)",4,0.10395010395010396
-16,"[-800, -750)",8,0.2079002079002079
-15,"[-750, -700)",6,0.15592515592515593
-14,"[-700, -650)",9,0.2338877338877339
-13,"[-650, -600)",10,0.2598752598752599
-12,"[-600, -550)",9,0.2338877338877339
-11,"[-550, -500)",5,0.12993762993762994
-10,"[-500, -450)",17,0.4417879417879418
-9,"[-450, -400)",35,0.9095634095634096
-8,"[-400, -350)",44,1.1434511434511436
-7,"[-350, -300)",59,1.5332640332640333
-6,"[-300, -250)",115,2.988565488565489
-5,"[-250, -200)",173,4.495841995841996
-4,"[-200, -150)",238,6.185031185031185
-3,"[-150, -100)",350,9.095634095634097
-2,"[-100, -50)",391,10.161122661122661
-1,"[-50, 0)",426,11.07068607068607
0,"[0, 50)",388,10.083160083160084
1,"[50, 100)",413,10.732848232848232
2,"[100, 150)",339,8.80977130977131
3,"[150, 200)",252,6.548856548856549
4,"[200, 250)",167,4.33991683991684
5,"[250, 300)",101,2.624740124740125
6,"[300, 350)",75,1.949064449064449
7,"[350, 400)",46,1.1954261954261955
8,"[400, 450)",21,0.5457380457380457
9,"[450, 500)",10,0.2598752598752599
10,"[500, 550)",25,0.6496881496881497
11,"[550, 600)",18,0.4677754677754678
12,"[600, 650)",18,0.4677754677754678
13,"[650, 700)",12,0.31185031185031187
14,"[700, 750)",11,0.2858627858627859
15,"[750, 800)",18,0.4677754677754678
16,"[800, 850)",10,0.2598752598752599
17,"[850, 900)",4,0.10395010395010396
19,"[950, 1000)",3,0.07796257796257797
20,"[1000, 1050)",2,0.05197505197505198
