open,high,low,last,limit_up,limit_down,iopv,pre_iopv,prev_close,close,settlement,prev_settlement,datetime,order_book_id,volume,total_turnover,num_trades,trading_phase_code,open_interest,ask,bid,ask_vol,bid_vol,trading_date
0.8341,0.8341,0.71,0.71,1.3296,0.4144,,,0.8978,0.71,,0.872,2.0260323150000216e+16,10009651,42.0,340898.76,18.0,T,302.0,"[0.7338, 0.7359, 0.7422, 0.7425, 0.7463]","[0.7242, 0.7193, 0.7113, 0.7109, 0.707]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]",20260323.0
0.7371,0.7371,0.6138,0.6138,1.2326,0.3174,,,0.7722,0.6138,,0.775,2.026032315000035e+16,10009652,64.0,449572.68,34.0,T,367.0,"[0.6361, 0.6391, 0.6431, 0.6457, 0.6472]","[0.6281, 0.6235, 0.6165, 0.6145, 0.6126]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]",20260323.0
0.6335,0.6335,0.5076,0.5172,1.1346,0.2194,,,0.6756,0.5172,,0.677,2.0260323150000216e+16,10009653,195.0,1075821.53,145.0,T,655.0,"[0.5376, 0.5411, 0.5432, 0.5473, 0.5481]","[0.5305, 0.527, 0.5213, 0.5174, 0.517]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]",20260323.0
0.5413,0.5413,0.4117,0.4361,1.0376,0.1224,,,0.5749,0.4361,,0.58,2.0260323150000516e+16,10009654,1000.0,4689947.57,169.0,T,972.0,"[0.4402, 0.4446, 0.4457, 0.4487, 0.4518]","[0.4356, 0.4315, 0.4275, 0.4235, 0.4216]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]",20260323.0
0.4438,0.4438,0.3169,0.3381,0.9396,0.0244,,,0.4888,0.3381,,0.482,2.0260323150000216e+16,10009655,142.0,530501.51,42.0,T,660.0,"[0.3422, 0.3456, 0.3473, 0.3499, 0.3509]","[0.3376, 0.3354, 0.3333, 0.33, 0.3292]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]",20260323.0
0.3455,0.3455,0.2258,0.2258,0.8426,0.0001,,,0.384,0.2258,,0.385,2.026032315000043e+16,10009656,272.0,704515.21,67.0,T,574.0,"[0.247, 0.2492, 0.2519, 0.2534, 0.2535]","[0.2431, 0.2421, 0.2415, 0.2386, 0.2376]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]",20260323.0
0.2479,0.2571,0.1377,0.1559,0.7456,0.0001,,,0.2871,0.1559,,0.288,2.026032315000031e+16,10009657,688.0,1231322.09,160.0,T,908.0,"[0.1562, 0.1567, 0.158, 0.1594, 0.1601]","[0.1533, 0.1532, 0.1529, 0.1511, 0.151]","[1, 1, 1, 1, 1]","[1, 1, 1, 10, 1]",20260323.0
0.1544,0.1621,0.057,0.076,0.6476,0.0001,,,0.1904,0.076,,0.19,2.0260323150000332e+16,10009658,13234.0,11634553.75,2922.0,T,3281.0,"[0.0771, 0.0772, 0.0775, 0.0778, 0.0779]","[0.076, 0.0752, 0.0743, 0.074, 0.0738]","[1, 1, 1, 1, 1]","[3, 1, 1, 10, 1]",20260323.0
0.0715,0.0719,0.0173,0.0235,0.5577,0.0001,,,0.1001,0.0235,,0.1001,2.0260323150000052e+16,10009659,40877.0,15015018.55,9170.0,T,8071.0,"[0.0236, 0.0239, 0.0242, 0.0243, 0.0244]","[0.0235, 0.0233, 0.023, 0.0228, 0.0226]","[1, 2, 3, 1, 12]","[1, 1, 100, 1, 2]",20260323.0
0.0003,0.0011,0.0002,0.0008,0.2833,0.0001,,,0.0003,0.0008,,0.0001,2.0260323150000216e+16,10009660,1677.0,11594.83,270.0,T,20048.0,"[0.0008, 0.0009, 0.0012, 0.0016, 0.0019]","[0.0007, 0.0006, 0.0004, 0.0003, 0.0001]","[22, 2, 1, 1, 2]","[1, 1, 10, 1, 25]",20260323.0
