date,000539.XSHE
2005-01-07,-0.008038072008326647
2005-01-10,0.011983836441797275
2005-01-11,-0.0004969023853053211
2005-01-12,-0.03213395661903305
2005-01-13,-0.003453034615042058
2005-01-14,0.007995246721723012
2005-01-17,-0.00444820274532888
2005-01-18,-0.0016504247797776341
2005-01-19,0.0005381865447635172
2005-01-20,0.0018269838862576132
2005-01-21,-0.012320823131220106
2005-01-24,-0.011374023676491471
2005-01-25,0.01119053419378437
2005-01-26,0.003095009304668748
2005-01-27,-0.007324492645646975
2005-01-28,-0.00997475649496159
2005-01-31,-0.015545854301846872
2005-02-01,-0.0031537504649868583
2005-02-02,-0.0023056183586875056
2005-02-03,0.0235565496596525
2005-02-04,0.010690095245351541
2005-02-16,-0.011367176051249568
2005-02-17,0.006751704972897979
2005-02-18,-0.0045040769326594714
2005-02-21,0.009608784386079632
2005-02-22,0.007980405760047632
2005-02-23,0.02085407205931874
2005-02-24,-0.011208930477836637
2005-02-25,0.002510125010782772
2005-02-28,-0.010365589708176406
2005-03-01,-0.013530344790872659
2005-03-02,0.008626865325193283
2005-03-03,0.013066538480426007
2005-03-04,0.034794204845084636
2005-03-07,-0.0004858492597971265
2005-03-08,0.009488829176677625
2005-03-09,0.002041272158350287
2005-03-10,-0.0069907430923310185
2005-03-11,0.017224266940494018
2005-03-14,0.023558516728945583
2005-03-15,-0.0349381216507494
2005-03-16,0.010062107186719647
2005-03-17,0.01930727661384859
2005-03-18,-0.028180729836039125
2005-03-21,0.008196671182299423
2005-03-22,0.026155411659552028
2005-03-23,-0.0012367054644161623
2005-03-24,-0.011836363830303738
2005-03-25,0.01906151883865868
2005-03-28,0.016585241939204562
2005-03-29,-0.005694524033796513
2005-03-30,0.007725439565931361
2005-03-31,0.0051852293999217584
2005-04-01,0.003019562037192218
2005-04-04,0.009927682510185254
2005-04-05,0.03769649792996527
2005-04-06,0.016546766677397767
2005-04-07,-0.032471760316965595
2005-04-08,0.005844840730173013
2005-04-11,0.0023517535270340412
2005-04-12,-0.002716329587584835
2005-04-13,-0.017016139009259607
2005-04-14,0.004682138767296399
2005-04-15,-0.0032374531472123894
2005-04-18,0.010575582161761465
2005-04-19,0.008518481536734415
2005-04-20,-0.003773931953075304
2005-04-21,0.008394387051088244
2005-04-22,0.019578453065214795
2005-04-25,-0.00378277488156575
2005-04-26,0.007054482677408949
2005-04-27,0.012435555166202648
2005-04-28,-0.008825300395871798
2005-04-29,0.0
2005-05-09,0.0013612961853325944
2005-05-10,0.01185185700282639
2005-05-11,0.0015573316452517968
2005-05-12,-0.002010227347210316
2005-05-13,-0.04474167217912862
2005-05-16,0.010105730991466194
2005-05-17,0.009603125758908402
2005-05-18,-0.008250810128378794
2005-05-19,0.0007314226199786333
2005-05-20,-0.000838266759823915
2005-05-23,0.004245417093529089
2005-05-24,0.010768903876071743
2005-05-25,0.0010322729971902252
2005-05-26,-0.009921150920127984
2005-05-27,-0.002639567356356542
2005-05-30,0.0014565175273589508
2005-05-31,-0.003934208034633824
2005-06-01,-0.0005911461956722448
2005-06-02,-0.019206496443883357
2005-06-03,0.007983938364544484
2005-06-06,-0.012040425850119559
2005-06-07,0.007703165000033135
2005-06-08,-0.00468327038190558
2005-06-09,-0.013562006378391465
2005-06-10,-0.011594308102311435
2005-06-13,0.014379246615341491
2005-06-14,-0.0037435548135987366
2005-06-15,0.007025760327993923
2005-06-16,-0.003928077070368213
2005-06-17,-0.0025370318564169117
2005-06-20,0.011158882837785045
2005-06-21,0.024498636674903852
2005-06-22,-0.01710556455620625
2005-06-23,0.0037085905350638573
2005-06-24,0.0010624566843139699
2005-06-27,0.0010421088269244143
2005-06-28,-0.013154430127336603
2005-06-29,-0.002055225866553808
2005-06-30,-0.0007413363106669735
2005-07-01,0.0025537490021842607
2005-07-04,0.013599946002485503
2005-07-05,-0.0018516804498481302
2005-07-06,-0.014095522772199127
2005-07-07,0.0067099864588538415
2005-07-08,0.0038911888716737127
2005-07-11,0.011375564020831362
