order_book_id,date,fiscal_year,report_period,report_range,profit_chg_1w,profit_chg_1w_rank,profit_chg_1w_sco,profit_chg_2w,profit_chg_2w_rank,profit_chg_2w_sco,profit_chg_1m,profit_chg_1m_rank,profit_chg_1m_sco,profit_chg_2m,profit_chg_2m_rank,profit_chg_2m_sco,profit_chg_3m,profit_chg_3m_rank,profit_chg_3m_sco,op_reven_chg_1w,op_reven_chg_1w_rank,op_reven_chg_1w_sco,op_reven_chg_2w,op_reven_chg_2w_rank,op_reven_chg_2w_sco,op_reven_chg_1m,op_reven_chg_1m_rank,op_reven_chg_1m_sco,op_reven_chg_2m,op_reven_chg_2m_rank,op_reven_chg_2m_sco,op_reven_chg_3m,op_reven_chg_3m_rank,op_reven_chg_3m_sco,ty_est_dev,ty_est_dev_rank,ty_est_dev_sco,est_em_bic_sco,est_em_non_bic_sco,grd_em_1m,grd_em_1m_rank,grd_em_1m_sco,grd_em_2m,grd_em_2m_rank,grd_em_2m_sco,grd_em_3m,grd_em_3m_rank,grd_em_3m_sco,targ_price_space,targ_price_space_rank,targ_price_space_sco,grd_em_sco,ana_em_bic_sco,ana_em_non_bic_sco
000539.XSHE,2016-01-04,2015,q4,1,0.0245,42,97.9971,0.0245,65,96.8426,0.0276,107,94.6653,0.0261,167,91.1372,0.0747,111,94.1113,,1709,,,1673,,-0.0013,1156,28.7916,-0.0013,745,50.4,-0.0013,509,64.9171,-0.0044,1522.0,29.3544,,94.3201,0.25,174,90.226,0.25,273,83.5451,0.0,660,59.9148,0.2694,1041,43.8445,81.4914,,57.122
000539.XSHE,2016-01-04,2015,q4,3,0.0245,39,98.1436,0.0245,61,97.037,0.0261,106,94.7077,0.0261,161,91.453,0.0747,107,94.3194,,1702,,,1671,,-0.0013,1134,29.8017,-0.0013,733,51.004,-0.0013,510,64.7507,-0.0056,1560.0,27.5558,,94.5019,0.25,177,90.0283,0.25,265,83.9903,0.0,655,60.122,0.3161,839,54.7027,81.6318,,59.9043
000539.XSHE,2016-01-04,2016,q4,1,0.0193,123,94.1905,0.0193,174,91.6707,0.0094,388,80.9453,0.0064,547,71.5031,0.053,255,86.6946,,1717,,,1681,,-0.0946,1567,3.8674,-0.0946,1370,9.1573,-0.0946,1155,20.3589,-0.0072,1327.0,37.7172,,82.1572,0.25,174,90.4736,0.25,276,83.814,0.0,669,60.4734,0.2694,1063,44.1347,81.8097,,57.349
000539.XSHE,2016-01-04,2016,q4,3,0.0193,109,94.8522,0.0193,160,92.3373,0.0064,449,77.8765,0.0064,549,71.3539,0.053,256,86.6282,,1710,,,1679,,-0.0946,1554,4.1358,-0.0946,1358,9.5333,-0.0946,1151,20.3601,-0.0087,1369.0,35.6235,,81.3846,0.25,177,90.2762,0.25,268,84.2385,0.0,664,60.6295,0.3161,856,54.9526,81.9318,,59.8361
000539.XSHE,2016-01-04,2017,q4,1,0.0794,27,98.6309,0.0794,45,97.6496,-0.0129,1461,19.426,-0.0073,1025,39.4441,-0.0073,804,50.9768,,1641,,,1604,,-0.1162,1497,3.6082,-0.1162,1290,9.353,-0.1162,1090,19.5122,-0.02,1551.0,20.0206,,52.1517,0.25,168,90.1417,0.25,264,83.4383,0.0,631,59.9237,0.2694,1003,43.0682,81.4167,,45.6403
000539.XSHE,2016-01-04,2017,q4,3,0.0794,25,98.7335,0.0794,45,97.6433,-0.0129,1454,19.4121,-0.0073,1016,39.5833,-0.0073,799,51.073,,1634,,,1600,,-0.1162,1483,3.9533,-0.1162,1278,9.6249,-0.1162,1081,19.7623,-0.02,1552.0,19.5956,,52.2079,0.25,172,89.8757,0.25,257,83.8384,0.0,627,60.0765,0.3161,804,54.3231,81.5009,,48.9174
000539.XSHE,2016-01-05,2015,q4,1,0.0245,38,98.1995,0.0245,58,97.2004,0.0276,108,94.6123,0.0261,169,91.0495,0.0747,111,94.1113,,1723,,,1683,,-0.0013,1146,29.3646,-0.0013,761,49.5017,-0.0013,506,65.1002,-0.0042,1436.0,30.9432,,94.3697,0.25,178,90.0,0.25,273,83.6145,0.0,654,60.3522,0.2293,1310,29.5858,81.5162,,53.3359
000539.XSHE,2016-01-05,2015,q4,3,0.0245,42,98.001,0.0245,62,96.9966,0.0261,116,94.2007,0.0261,169,91.04,0.0747,109,94.2122,,1716,,,1675,,-0.0013,1127,30.1922,-0.0013,733,51.004,-0.0013,506,65.0519,-0.0042,1434.0,30.9398,,94.1929,0.25,184,89.6317,0.25,270,83.7167,0.0,659,59.9269,0.2293,1324,28.6023,81.3247,,52.9662
000539.XSHE,2016-01-05,2016,q4,1,0.0193,108,94.9289,0.0193,163,92.2377,0.0094,400,80.3545,0.0064,555,71.1759,0.053,257,86.5969,,1731,,,1691,,-0.0946,1564,3.9926,-0.0946,1383,8.5979,-0.0946,1155,20.3039,-0.007,1328.0,37.758,,82.0592,0.25,178,90.264,0.25,276,83.8899,0.0,664,60.8619,0.2293,1340,29.8953,81.8339,,53.0746
000539.XSHE,2016-01-05,2016,q4,3,0.0193,112,94.7218,0.0193,167,92.0231,0.0064,468,76.9383,0.0064,552,71.2422,0.053,258,86.5304,,1724,,,1683,,-0.0946,1553,4.1384,-0.0946,1362,9.2667,-0.0946,1153,20.2768,-0.007,1328.0,37.641,,80.984,0.25,184,89.9062,0.25,273,83.9812,0.0,669,60.4265,0.2293,1354,28.9391,81.6403,,52.4989
