effective_date,reserve_type,ratio_floor,ratio_ceiling
2006-07-05,other_financial_institution,8.0,8.0
2006-07-05,major_financial_institution,8.0,8.0
2006-08-15,other_financial_institution,8.5,8.5
2006-08-15,major_financial_institution,8.5,8.5
2006-11-15,major_financial_institution,9.0,9.0
2006-11-15,other_financial_institution,9.0,9.0
2007-01-15,major_financial_institution,9.5,9.5
2007-01-15,other_financial_institution,9.5,9.5
2007-02-25,other_financial_institution,10.0,10.0
2007-02-25,major_financial_institution,10.0,10.0
2007-04-16,other_financial_institution,10.5,10.5
2007-04-16,major_financial_institution,10.5,10.5
2007-05-15,major_financial_institution,11.0,11.0
2007-05-15,other_financial_institution,11.0,11.0
2007-06-05,other_financial_institution,11.5,11.5
2007-06-05,major_financial_institution,11.5,11.5
2007-08-15,other_financial_institution,12.0,12.0
2007-08-15,major_financial_institution,12.0,12.0
2007-09-25,other_financial_institution,12.5,12.5
2007-09-25,major_financial_institution,12.5,12.5
2007-10-25,other_financial_institution,13.0,13.0
2007-10-25,major_financial_institution,13.0,13.0
2007-11-26,major_financial_institution,13.5,13.5
2007-11-26,other_financial_institution,13.5,13.5
2007-12-25,other_financial_institution,14.5,14.5
2007-12-25,major_financial_institution,14.5,14.5
2008-01-25,other_financial_institution,15.0,15.0
2008-01-25,major_financial_institution,15.0,15.0
2008-03-25,major_financial_institution,15.5,15.5
2008-03-25,other_financial_institution,15.5,15.5
2008-04-25,major_financial_institution,16.0,16.0
2008-04-25,other_financial_institution,16.0,16.0
2008-05-20,major_financial_institution,16.5,16.5
2008-05-20,other_financial_institution,16.5,16.5
2008-06-15,major_financial_institution,17.0,17.0
2008-06-15,other_financial_institution,17.0,17.0
2008-06-25,other_financial_institution,17.5,17.5
2008-06-25,major_financial_institution,17.5,17.5
2008-09-25,major_financial_institution,17.5,17.5
2008-09-25,other_financial_institution,16.5,16.5
2008-10-15,other_financial_institution,16.0,16.0
2008-10-15,major_financial_institution,17.0,17.0
2008-12-05,other_financial_institution,14.0,14.0
2008-12-05,major_financial_institution,16.0,16.0
2008-12-25,major_financial_institution,15.5,15.5
2008-12-25,other_financial_institution,13.5,13.5
2010-01-18,major_financial_institution,16.0,16.0
2010-01-18,other_financial_institution,14.0,14.0
2010-02-25,major_financial_institution,16.5,16.5
2010-02-25,other_financial_institution,14.5,14.5
2010-05-10,other_financial_institution,15.0,15.0
2010-05-10,major_financial_institution,17.0,17.0
2010-11-16,other_financial_institution,15.5,15.5
2010-11-16,major_financial_institution,17.5,17.5
2010-11-29,major_financial_institution,18.0,18.0
2010-11-29,other_financial_institution,16.0,16.0
2010-12-20,major_financial_institution,18.5,18.5
2010-12-20,other_financial_institution,16.5,16.5
2011-01-20,major_financial_institution,19.0,19.0
2011-01-20,other_financial_institution,17.0,17.0
2011-02-24,major_financial_institution,19.5,19.5
2011-02-24,other_financial_institution,17.5,17.5
2011-03-25,other_financial_institution,18.0,18.0
2011-03-25,major_financial_institution,20.0,20.0
2011-04-21,major_financial_institution,20.5,20.5
2011-04-21,other_financial_institution,18.5,18.5
2011-05-18,other_financial_institution,19.0,19.0
2011-05-18,major_financial_institution,21.0,21.0
2011-06-20,other_financial_institution,19.5,19.5
2011-06-20,major_financial_institution,21.5,21.5
2011-12-05,other_financial_institution,19.0,19.0
2011-12-05,major_financial_institution,21.0,21.0
2012-02-24,major_financial_institution,20.5,20.5
2012-02-24,other_financial_institution,18.5,18.5
2012-05-18,major_financial_institution,20.0,20.0
2012-05-18,other_financial_institution,18.0,18.0
2015-02-05,major_financial_institution,19.5,19.5
2015-02-05,other_financial_institution,17.5,17.5
2015-04-20,other_financial_institution,16.5,16.5
2015-04-20,major_financial_institution,18.5,18.5
2015-09-06,other_financial_institution,16.0,16.0
2015-09-06,major_financial_institution,18.0,18.0
2015-10-24,major_financial_institution,17.5,17.5
2015-10-24,other_financial_institution,15.5,15.5
2016-03-01,major_financial_institution,17.0,17.0
2016-03-01,other_financial_institution,15.0,15.0
2018-04-25,other_financial_institution,14.0,14.0
2018-04-25,major_financial_institution,16.0,16.0
2018-07-05,other_financial_institution,13.5,13.5
2018-07-05,major_financial_institution,15.5,15.5
2018-10-15,other_financial_institution,12.5,12.5
2018-10-15,major_financial_institution,14.5,14.5
2019-01-15,major_financial_institution,14.0,14.0
2019-01-15,other_financial_institution,12.0,12.0
2019-01-25,other_financial_institution,11.5,11.5
2019-01-25,major_financial_institution,13.5,13.5
2019-09-16,major_financial_institution,13.0,13.0
2019-09-16,other_financial_institution,11.0,11.0
2020-01-06,major_financial_institution,12.5,12.5
2020-01-06,other_financial_institution,10.5,10.5
2020-04-15,other_financial_institution,10.0,10.0
2020-05-15,other_financial_institution,9.5,9.5
2021-07-15,major_financial_institution,12.0,12.0
2021-07-15,other_financial_institution,9.0,9.0
2021-12-15,other_financial_institution,8.5,8.5
2021-12-15,major_financial_institution,11.5,11.5
2022-04-25,major_financial_institution,11.25,11.25
2022-04-25,other_financial_institution,8.25,8.25
2022-12-05,major_financial_institution,11.0,11.0
2022-12-05,other_financial_institution,8.0,8.0
2023-03-27,major_financial_institution,10.75,10.75
2023-03-27,other_financial_institution,7.75,7.75
2023-09-15,major_financial_institution,10.5,10.5
2023-09-15,other_financial_institution,7.5,7.5
2024-02-05,major_financial_institution,10.0,10.0
2024-02-05,other_financial_institution,7.0,7.0
2024-09-27,major_financial_institution,9.5,9.5
2024-09-27,other_financial_institution,6.5,6.5
2025-05-15,other_financial_institution,6.0,6.0
2025-05-15,major_financial_institution,9.0,9.0
