order_book_id,quarter,info_date,cost_of_goods_sold,cash_flow_from_operating_activities,cash_flow_from_investing_activities,inventory,if_adjusted,total_liabilities,net_profit,intangible_assets,undistributed_profit,operating_expense,net_accts_receivable,total_assets,notes_payable,rice_create_tm,investment_income,current_liabilities,cash_flow_from_financing_activities,revenue,total_equity,operating_revenue,current_assets,net_fixed_assets,financing_expense
601939.XSHG,2010q1,2011-04-29,,150326000000.0,-241389000000.0,,1,9528683000000.0,35189000000.0,1167000000.0,171253000000.0,29713000000.0,,10124382000000.0,,2021-12-24 22:08:48,633000000.0,,-1512000000.0,75276000000.0,595699000000.0,75276000000.0,,72889000000.0,
601939.XSHG,2010q2,2011-10-29,,198947000000.0,-278947000000.0,,1,9655783000000.0,70779000000.0,1162000000.0,145185000000.0,61368000000.0,,10235981000000.0,,2022-08-09 18:29:38,1174000000.0,,-1320000000.0,153307000000.0,580198000000.0,153307000000.0,,73264000000.0,
601939.XSHG,2010q3,2011-10-29,,245733000000.0,-247970000000.0,,1,9954556000000.0,110641000000.0,1125000000.0,184936000000.0,91919000000.0,,10579050000000.0,,2021-12-24 22:08:48,2039000000.0,,-52157000000.0,234798000000.0,624494000000.0,234798000000.0,,73458000000.0,
601939.XSHG,2010q4,2012-03-26,,259361000000.0,-345136000000.0,,1,10109412000000.0,135031000000.0,1310000000.0,195950000000.0,149785000000.0,,10810317000000.0,,2021-12-24 22:08:48,4015000000.0,,8199000000.0,323489000000.0,700905000000.0,323489000000.0,,83434000000.0,
601939.XSHG,2011q1,2012-04-28,,-185601000000.0,203142000000.0,,1,10563439000000.0,47233000000.0,1187000000.0,243075000000.0,35344000000.0,,11312516000000.0,,2021-12-24 22:08:48,796000000.0,,-1450000000.0,96333000000.0,749077000000.0,96333000000.0,,81273000000.0,
601939.XSHG,2011q2,2012-10-29,,-67512000000.0,172509000000.0,,1,11016090000000.0,92953000000.0,1514000000.0,229648000000.0,76292000000.0,,11754766000000.0,,2022-08-09 18:29:38,1863000000.0,,-3152000000.0,196033000000.0,738676000000.0,196033000000.0,,82786000000.0,
601939.XSHG,2011q3,2012-10-29,,-71763000000.0,85655000000.0,,1,10993306000000.0,139207000000.0,1414000000.0,275827000000.0,116983000000.0,,11772330000000.0,,2021-12-24 22:08:48,3102000000.0,,-54684000000.0,296150000000.0,779024000000.0,296150000000.0,,84528000000.0,
601939.XSHG,2011q4,2013-03-25,,125014000000.0,152584000000.0,,1,11465173000000.0,169439000000.0,1660000000.0,289266000000.0,179418000000.0,,12281834000000.0,,2021-12-24 22:08:48,3722000000.0,,-15634000000.0,397090000000.0,816661000000.0,397090000000.0,,94222000000.0,
601939.XSHG,2012q1,2013-04-27,,246722000000.0,-49066000000.0,,1,12408221000000.0,51609000000.0,1546000000.0,340736000000.0,42946000000.0,,13277382000000.0,,2021-12-24 22:08:48,1500000000.0,,-1424000000.0,109682000000.0,869161000000.0,109682000000.0,,95958000000.0,
601939.XSHG,2012q2,2013-10-28,,340942000000.0,-87837000000.0,,1,12636340000000.0,106494000000.0,1451000000.0,323600000000.0,89087000000.0,,13505745000000.0,,2022-08-09 18:29:38,2626000000.0,,-367000000.0,227005000000.0,869405000000.0,227005000000.0,,99391000000.0,
601939.XSHG,2012q3,2013-10-28,,224686000000.0,-107281000000.0,,1,12378798000000.0,158519000000.0,1357000000.0,375435000000.0,136541000000.0,,13296482000000.0,,2021-12-24 22:08:48,3730000000.0,,-57098000000.0,341276000000.0,917684000000.0,341276000000.0,,102416000000.0,
601939.XSHG,2012q4,2014-03-31,,368813000000.0,-155855000000.0,,1,13023283000000.0,193602000000.0,2061000000.0,391034000000.0,210460000000.0,,13972828000000.0,,2021-12-24 22:08:48,6327000000.0,,-20787000000.0,460746000000.0,949545000000.0,460746000000.0,,113946000000.0,
