order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,quarter_recommendation,half_year_target_price,one_year_target_price,one_year_recommendation,half_year_recommendation
000725.XSHE,2006-01-03,东方证券,2.3100,,3,1,2024-06-19 17:37:40,2006-01-05 18:17:43,3.0,,,2.0,
000725.XSHE,2006-01-09,华泰联合,3.2890,,2,1,2024-06-19 17:37:24,2006-01-10 16:02:14,2.0,,,,
000725.XSHE,2006-01-18,凯基证券,2.5000,Y01,4,1,2024-06-19 05:02:38,2006-01-18 16:29:25,4.0,,2.5,,
000725.XSHE,2006-01-23,华泰证券,3.6300,,3,1,2024-06-19 17:38:06,2006-01-24 17:50:34,3.0,,,,
000725.XSHE,2006-02-07,国都证券,3.5970,,3,1,2024-06-19 17:40:00,2006-02-13 17:50:31,3.0,,,,
000725.XSHE,2006-02-10,平安证券,3.6410,,3,1,2024-06-19 17:40:03,2006-02-11 11:59:19,3.0,,,,
000725.XSHE,2006-02-15,华泰联合,3.3550,,3,1,2024-06-19 17:41:14,2006-02-15 15:35:48,3.0,,,,
000725.XSHE,2006-02-24,世纪证券,,,3,1,2024-06-19 17:40:16,2006-03-02 18:17:21,3.0,,,,
000725.XSHE,2006-02-28,华泰证券,,,3,1,2024-06-19 17:40:22,2006-03-02 16:57:04,3.0,,,,
000725.XSHE,2006-02-28,申万宏源,,,3,1,2024-06-19 17:40:50,2006-03-02 16:02:31,3.0,,,,
000725.XSHE,2006-04-03,东方证券,,,3,1,2024-06-19 17:37:34,2006-04-05 17:50:21,3.0,,,,
000725.XSHE,2006-04-04,华泰联合,2.5050,M06,3,1,2024-06-19 05:03:05,2006-04-05 17:50:21,3.0,2.505,,,
000725.XSHE,2006-04-20,中金公司,,,3,1,2024-06-19 17:39:28,2006-04-20 17:50:35,3.0,,,,
000725.XSHE,2006-04-20,华泰证券,,,3,1,2024-06-19 17:41:20,2006-04-21 15:08:22,3.0,,,,
000725.XSHE,2006-04-21,华泰联合,,,3,1,2024-06-19 17:37:53,2006-04-24 11:05:31,3.0,,,,
000725.XSHE,2006-04-24,中金公司,,,3,1,2024-06-19 17:39:14,2006-04-24 17:50:30,3.0,,,,
000725.XSHE,2006-04-25,华泰证券,,,3,1,2024-06-19 17:43:43,2006-04-27 16:02:39,3.0,,,,
