order_book_id,quarter,info_date,cost_of_goods_sold,cash_flow_from_operating_activities,cash_flow_from_investing_activities,inventory,if_adjusted,total_liabilities,net_profit,intangible_assets,undistributed_profit,operating_expense,net_accts_receivable,total_assets,notes_payable,rice_create_tm,investment_income,current_liabilities,cash_flow_from_financing_activities,revenue,total_equity,operating_revenue,current_assets,net_fixed_assets,financing_expense
600004.XSHG,2010q1,2011-04-28,506191413.54,214291040.36,-15002191.3,26696324.02,1,4888531781.45,166953807.41,27335218.73,1641025708.13,,1053166512.0,11440857169.38,,2022-01-06 08:55:19,,4718531781.45,-3304800.0,866730658.67,6552325387.93,866730658.67,2520947878.29,6618114496.26,20471371.89
600004.XSHG,2010q2,2011-10-28,1083542723.59,674812182.06,-1032660159.07,26948127.77,1,4306440717.82,292537697.18999994,25629982.96,1458482004.71,,1030411698.44,10684562141.5,,2022-08-06 17:03:56,0.0,4136440717.82,-50786520.0,1772855408.44,6378121423.68,1772855408.44,1880306514.12,8322920967.37,56768289.77
600004.XSHG,2010q3,2011-10-28,1660920523.87,1581501597.63,-1072692487.56,28608479.9,1,3928856923.91,484984203.71,23744751.19,1640620200.58,,718693001.22,10484222953.08,,2022-01-06 08:55:19,1796315.34,3658856923.91,-699140735.24,2735574710.42,6555366029.17,2735574710.42,1787856066.95,8229523090.01,68024574.78
600004.XSHG,2010q4,2012-03-15,2452525912.12,1646454332.71,-1502989260.95,31807821.58,1,4529349739.75,622596120.29,24952979.47,1718644936.37,,805453239.04,11290507685.5,22000000.0,2022-01-06 08:55:19,1796315.34,4169083189.21,-381297542.78,3865479479.2,6761157945.75,3865479479.2,1991878147.51,8493606648.62,50233359.19
600004.XSHG,2011q1,2012-04-28,593893100.21,60278942.15,-31736731.15,37867571.47,1,4317091286.39,171247892.84,24480193.85,1885243310.51,,1031457526.11,11244752050.56,22000000.0,2022-01-06 08:55:19,,3963954735.85,-188452779.25,986571753.74,6927660764.17,986571753.74,2096822531.67,8336942320.31,16575824.01
600004.XSHG,2011q2,2012-10-30,1256174881.89,452665299.04,-60234977.56,44050116.39,1,4507403160.22,338989572.70000005,23999199.23,1701771917.92,,856237975.25,11237723830.82,,2022-08-06 17:03:56,,4165246609.68,-191274704.89,2028306165.1799998,6730320670.6,2028306165.1799998,2247623937.13,8205825703.58,30088294.529999997
600004.XSHG,2011q3,2012-10-30,1917839834.2,759127008.42,-155924536.41,42294242.91,1,5178781151.17,516053775.41,23518204.61,1867944015.01,,924797371.15,12055306831.44,,2022-01-06 08:55:19,,4846724600.63,451920781.93,3105533447.91,6876525680.27,3105533447.91,3201790420.23,8072113244.3,51444733.26
600004.XSHG,2011q4,2013-04-25,2654413969.41,1310123346.88,-791270011.06,43153683.42,1,3550838396.12,730351975.23,23029009.29,2008541254.63,,699689778.28,10639464850.23,23700000.0,2022-01-06 08:55:19,4162400.0,3230251845.58,-598741672.97,4239351634.93,7088626454.11,4239351634.93,1792914617.56,8409646564.97,68694385.09
600004.XSHG,2012q1,2013-04-25,699965846.81,265016285.38,-32220176.87,45756144.79,1,3202958391.74,190838853.21,22598528.29,2188756864.43,,934291876.63,10478439973.2,23700000.0,2022-01-06 08:55:19,,2888401841.2,-475471288.13,1111786173.66,7275481581.46,1111786173.66,1788799890.19,8272458240.58,21595824.09
600004.XSHG,2012q2,2013-10-30,1442906245.6200004,878603093.71,-52018445.95,47577707.8,1,3601574571.64,408646352.71000004,22521542.07,1995144468.27,,737544843.07,10688799128.83,23700000.0,2022-08-06 17:03:56,,3295828021.1,-528806788.13,2289404113.94,7087224557.19,2289404113.94,2144202429.9,8124608680.3,37221777.19
600004.XSHG,2012q3,2013-10-30,2168564062.78,1231863627.05,-64838818.02,44721411.13,1,3085328734.63,608419202.34,22020004.65,2182294050.69,,879473988.23,10366386141.45,23700000.0,2022-01-06 08:55:19,,2787262184.09,-1191972076.25,3460081754.52,7281057406.82,3460081754.52,1974043912.54,7971168153.76,50611229.92
600004.XSHG,2012q4,2014-04-04,2852876091.11,1796659660.92,-283166910.78,54686335.33,1,2671605395.55,791113116.51,21536069.65,2290612426.88,,627287789.86,10144297185.72,14100000.0,2022-01-06 08:55:19,5852000.0,2449600684.85,-1202538334.63,4673315397.0,7472691790.17,4673315397.0,1963686814.22,7828188364.56,54350568.46
600004.XSHG,2013q1,2014-04-30,755928102.27,216988976.32,-12918606.7,55976182.25,1,2634856113.29,231148687.45,21200055.49,2506987444.23,,939769184.1,10344306590.91,14100000.0,2022-01-06 08:55:19,,2416922389.62,-185517160.0,1184294457.58,7709450477.62,1184294457.58,2330370946.98,7650104976.13,10336895.3
600004.XSHG,2013q2,2014-10-30,1592668691.73,895776602.7,-42489535.73,56598672.49,1,3034613715.06,478932761.39000005,20540724.33,2362458130.14,,743825344.8,10600828419.04,14100000.0,2022-08-06 17:03:56,,2826250978.42,-210557833.84,2462324707.5299997,7566214703.98,2462324707.5299997,2728910946.84,7495389943.56,15825813.43
600004.XSHG,2013q3,2014-10-30,2498174227.54,1425917380.56,-87010123.55,62116239.27,1,2208886350.8,707267177.96,20216836.17,2575747842.9,,830179814.29,10002115471.35,,2022-01-06 08:55:19,,2006904601.19,-1288060417.54,3796730790.04,7793229120.55,3796730790.04,2254586600.1,7349867366.98,13889266.6
600004.XSHG,2013q4,2015-03-31,3261251903.25,1965968927.28,-94067527.5,52728719.52,1,1923354621.93,950544033.99,20286926.34,2788346292.23,,578314837.77,9949739743.54,23600000.0,2022-01-06 08:55:19,2048907.71,1729594470.82,-1314034216.9,5141313419.26,8026385121.61,5141313419.26,2475283956.77,7157583148.54,3220530.02
600004.XSHG,2014q1,2015-04-30,824476872.63,110414871.86,-13177718.14,53525338.32,1,1956875745.58,266014710.68,20097340.68,3037500324.02,,910700869.08,10242058040.48,23600000.0,2022-01-06 08:55:19,,1770997912.37,,1288196061.04,8285182294.9,1288196061.04,2922758850.48,7007296271.48,-3727444.49
