order_book_id,date,report_year_t,rice_create_tm,create_tm,comp_operating_revenue_t,comp_con_operating_revenue_t1,comp_con_operating_revenue_t2,comp_con_operating_revenue_t3,comp_con_operating_revenue_ftm,comp_net_profit_t,comp_con_net_profit_t1,comp_con_net_profit_t2,comp_con_net_profit_t3,comp_con_net_profit_ftm,comp_eps_t,comp_con_eps_t1,comp_con_eps_t2,comp_con_eps_t3,comp_net_asset_t,comp_con_net_asset_t1,comp_con_net_asset_t2,comp_con_net_asset_t3,comp_con_net_asset_ftm,comp_cash_flow_t,comp_con_cash_flow_t1,comp_con_cash_flow_t2,comp_con_cash_flow_t3,comp_con_cash_flow_ftm,comp_roe_t,comp_con_roe_t1,comp_con_roe_t2,comp_con_roe_t3,comp_con_roe_ftm,comp_pe_t,comp_con_pe_t1,comp_con_pe_t2,comp_con_pe_t3,comp_con_pe_ftm,comp_ps_t,comp_con_ps_t1,comp_con_ps_t2,comp_con_ps_t3,comp_con_ps_ftm,comp_pb_t,comp_con_pb_t1,comp_con_pb_t2,comp_con_pb_t3,comp_con_pb_ftm,comp_peg,comp_operating_revenue_growth_ratio_t,comp_con_operating_revenue_growth_ratio_t1,comp_con_operating_revenue_growth_ratio_t2,comp_con_operating_revenue_growth_ratio_t3,comp_con_operating_revenue_growth_ratio_ftm,comp_net_profit_growth_ratio_t,comp_con_net_profit_growth_ratio_t1,comp_con_net_profit_growth_ratio_t2,comp_con_net_profit_growth_ratio_t3,comp_con_net_profit_growth_ratio_ftm,con_grd_coef,con_targ_price,comp_con_eps_ftm,ty_profit_t1,ty_profit_t2,ty_profit_t3,ty_profit_ftm,ty_eps_t1,ty_eps_t2,ty_eps_t3,ty_eps_ftm
002402.XSHE,2010-04-22,2009,2014-10-02 05:29:01,2014-10-02 05:29:01,326821084.29,,,,,36490340.77,,,,,0.0649,,,,155668307.39,,,,,25163388.8,,,,,0.2655,,,,,,,,,,,,,,,,,,,,,0.0864,,,,,0.2757,,,,,,,,41000000.0,56500000.0,79000000.0,46166666.6667,0.0546,0.0753,0.1053,0.0616
002402.XSHE,2010-04-23,2009,2012-11-13 07:57:47,2012-11-13 07:57:47,326821084.29,456020000.0,612563333.3333,810303333.3333,497801666.6667,36490340.77,53066666.6667,73876666.6667,100396666.6667,59171666.6667,0.0649,0.0707,0.0985,0.1338,155668307.39,,,,,25163388.8,,,,,0.2655,,,,,,,,,,,,,,,,,,,,,0.0864,0.3678,0.3407,0.3447,0.3568,0.2757,0.4278,0.4072,0.3789,0.4192,,,0.0789,51397163.2416,69649050.9647,92709250.6324,57481125.816,0.0685,0.0928,0.1236,0.0766
002402.XSHE,2010-04-26,2009,2011-12-20 22:57:44,2011-12-20 22:57:44,326821084.29,443265000.0,589172500.0,769727500.0,491900833.3333,36490340.77,51800000.0,70157500.0,93297500.0,57919166.6667,0.0649,0.0691,0.0935,0.1244,155668307.39,204000000.0,263000000.0,335000000.0,,25163388.8,77000000.0,-9000000.0,143000000.0,48333333.3333,0.2655,,,,,,,,,,,,,,,,,,,,,0.0864,0.3563,0.3292,0.3065,0.3453,0.2757,0.4196,0.3544,0.3298,0.3925,,,0.0772,51401474.7887,69688664.0865,92800176.9995,57497204.5546,0.0685,0.0929,0.1237,0.0766
002402.XSHE,2010-04-27,2009,2012-11-13 07:55:07,2012-11-13 07:55:07,326821084.29,443265000.0,589172500.0,769727500.0,491900833.3333,36490340.77,51800000.0,70157500.0,93297500.0,57919166.6667,0.0649,0.0691,0.0935,0.1244,155668307.39,204000000.0,263000000.0,335000000.0,,25163388.8,77000000.0,-9000000.0,143000000.0,48333333.3333,0.2655,,,,,,,,,,,,,,,,,,,,,0.0864,0.3563,0.3292,0.3065,0.3453,0.2757,0.4196,0.3544,0.3298,0.3925,,,0.0772,51401477.0429,69688669.6732,92800186.9833,57497207.9197,0.0685,0.0929,0.1237,0.0766
002402.XSHE,2010-04-28,2009,2012-11-13 07:52:15,2012-11-13 07:52:15,326821084.29,443265000.0,589172500.0,769727500.0,491900833.3333,36490340.77,51800000.0,70157500.0,93297500.0,57919166.6667,0.0649,0.0691,0.0935,0.1244,155668307.39,204000000.0,263000000.0,335000000.0,,25163388.8,77000000.0,-9000000.0,143000000.0,48333333.3333,0.2655,,,,,,,,,,,,,,,,,,,,,0.0864,0.3563,0.3292,0.3065,0.3453,0.2757,0.4196,0.3544,0.3298,0.3925,,,0.0772,52676040.1799,71001222.4786,93677730.732,58784434.2795,0.0702,0.0946,0.1249,0.0784
002402.XSHE,2010-04-29,2009,2012-11-13 07:51:43,2012-11-13 07:51:43,326821084.29,443265000.0,589172500.0,769727500.0,491900833.3333,36490340.77,51800000.0,70157500.0,93297500.0,57919166.6667,0.0649,0.0691,0.0935,0.1244,155668307.39,204000000.0,263000000.0,335000000.0,,25163388.8,77000000.0,-9000000.0,143000000.0,48333333.3333,0.2655,,,,,,,,,,,,,,,,,,,,,0.0864,0.3563,0.3292,0.3065,0.3453,0.2757,0.4196,0.3544,0.3298,0.3925,,,0.0772,52675877.5543,71001221.5605,93678049.9792,58784325.5564,0.0702,0.0946,0.1249,0.0784
002402.XSHE,2010-04-30,2009,2012-11-13 07:51:04,2012-11-13 07:51:04,326821084.29,443265000.0,589172500.0,769727500.0,491900833.3333,36490340.77,52875000.0,71250000.0,94000000.0,59000000.0,0.0649,0.0705,0.095,0.1253,155668307.39,204000000.0,263000000.0,335000000.0,,25163388.8,77000000.0,-9000000.0,143000000.0,48333333.3333,0.2655,,,,,,,,,,,,,,,,,,,,,0.0864,0.3563,0.3292,0.3065,0.3453,0.2757,0.449,0.3475,0.3193,0.4064,,,0.0787,52675708.1043,71001213.4262,93678363.9625,58784209.8783,0.0702,0.0946,0.1249,0.0784
002402.XSHE,2010-05-04,2009,2011-12-20 22:56:35,2011-12-20 22:56:35,326821084.29,443265000.0,589172500.0,769727500.0,504059791.6667,36490340.77,52875000.0,71250000.0,94000000.0,60531250.0,0.0649,0.0705,0.095,0.1253,155668307.39,204000000.0,263000000.0,335000000.0,,25163388.8,77000000.0,-9000000.0,143000000.0,41166666.6667,0.2655,,,,,,,,,,,,,,,,,,,,,0.0864,0.3563,0.3292,0.3065,0.3429,0.2757,0.449,0.3475,0.3193,0.3974,,,0.0807,52699467.5372,71053228.1689,93772652.8736,60346867.8004,0.0702,0.0947,0.125,0.0804
002402.XSHE,2010-05-05,2009,2012-11-13 07:50:10,2012-11-13 07:50:10,326821084.29,443265000.0,589172500.0,769727500.0,504059791.6667,36490340.77,52875000.0,71250000.0,94000000.0,60531250.0,0.0649,0.0705,0.095,0.1253,155668307.39,204000000.0,263000000.0,335000000.0,,25163388.8,77000000.0,-9000000.0,143000000.0,41166666.6667,0.2655,,,,,,,,,,,,,,,,,,,,,0.0864,0.3563,0.3292,0.3065,0.3429,0.2757,0.449,0.3475,0.3193,0.3974,,,0.0807,52699282.3265,71053221.4983,93773000.6563,60346756.9814,0.0702,0.0947,0.125,0.0804
002402.XSHE,2010-05-06,2009,2012-11-13 07:49:10,2012-11-13 07:49:10,326821084.29,443265000.0,589172500.0,769727500.0,504059791.6667,36490340.77,52875000.0,71250000.0,94000000.0,60531250.0,0.0649,0.0705,0.095,0.1253,155668307.39,204000000.0,263000000.0,335000000.0,,25163388.8,77000000.0,-9000000.0,143000000.0,41166666.6667,0.2655,,,,,,,,,,,,,,,,,,,,,0.0864,0.3563,0.3292,0.3065,0.3429,0.2757,0.449,0.3475,0.3193,0.3974,,,0.0807,52699090.6019,71053207.7292,93773342.9982,60346639.4049,0.0702,0.0947,0.125,0.0804
