order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,quarter_recommendation,half_year_target_price,one_year_target_price,one_year_recommendation,half_year_recommendation
000060.XSHE,2006-01-09,湘财证券,9.2950,,2,1,2024-07-09 17:24:57,2006-01-10 14:14:17,2.0,,,,
000060.XSHE,2006-01-10,中信建投,9.2950,,2,1,2024-07-09 17:25:54,2006-02-15 17:50:33,2.0,,,,
000060.XSHE,2006-01-15,国海证券,9.7110,,2,1,2024-07-09 17:27:13,2006-01-17 17:23:29,2.0,,,,
000060.XSHE,2006-01-17,国泰海通证券,10.9200,,1,1,2024-07-09 17:26:35,2006-01-18 16:56:28,1.0,,,,
000060.XSHE,2006-01-22,光大证券,12.0600,,1,1,2024-07-09 17:24:10,2006-01-23 17:50:35,1.0,,,,
000060.XSHE,2006-01-22,国海证券,10.4520,,2,1,2024-07-09 17:27:36,2006-01-23 18:18:09,2.0,,,,
000060.XSHE,2006-01-23,华泰证券,10.4520,,2,1,2024-07-09 17:24:17,2006-01-25 15:36:40,2.0,,,,
000060.XSHE,2006-01-23,国信证券,12.0600,,1,1,2024-07-09 17:25:49,2006-01-23 14:14:25,1.0,,,,
000060.XSHE,2006-02-05,光大证券,13.6200,,1,1,2024-07-09 17:26:17,2006-02-06 17:51:34,1.0,,,,
000060.XSHE,2006-02-06,国都证券,14.9850,,1,1,2024-07-09 17:24:27,2006-02-13 17:50:31,1.0,,,,
000060.XSHE,2006-02-06,海通证券,12.9870,,2,1,2024-07-09 17:25:24,2006-02-07 17:50:57,2.0,,,,
000060.XSHE,2006-02-06,中航证券,10.9890,,3,1,2024-07-09 17:27:11,2006-02-06 18:17:25,3.0,,,,
000060.XSHE,2006-02-08,长江证券,11.9730,,2,1,2024-07-09 17:26:09,2006-02-14 13:20:29,2.0,,,,
000060.XSHE,2006-02-08,光大证券,13.8150,,1,1,2024-07-09 17:27:29,2006-02-08 17:50:46,1.0,,,,
000060.XSHE,2006-02-13,申万宏源,9.3280,,3,1,2024-07-09 17:25:53,2006-02-15 18:17:43,3.0,,,,
000060.XSHE,2006-02-14,中航证券,9.6250,,3,1,2024-07-09 17:25:37,2006-02-15 14:14:25,3.0,,,,
000060.XSHE,2006-02-19,中信证券,12.0000,M06,1,1,2024-07-09 04:44:15,2006-02-21 16:29:35,1.0,12.0,,,
000060.XSHE,2006-02-20,中信证券,19.5000,M06,1,1,2024-07-09 04:44:14,2006-06-21 16:58:28,1.0,19.5,,,
000060.XSHE,2006-02-23,光大证券,11.5000,M06,1,1,2024-07-09 04:43:13,2006-02-25 12:26:18,1.0,11.5,,,
000060.XSHE,2006-02-24,申万宏源,,,2,1,2024-07-09 17:26:11,2006-02-27 17:23:44,2.0,,,,
000060.XSHE,2006-02-25,光大证券,,,1,1,2024-07-09 17:26:59,2006-02-27 17:50:23,1.0,,,,
000060.XSHE,2006-02-28,中信证券,15.6000,M06,1,1,2024-07-09 04:43:17,2006-02-28 16:29:19,1.0,15.6,,,
000060.XSHE,2006-02-28,中金公司,,,3,1,2024-07-09 17:25:53,2006-02-28 17:50:33,3.0,,,,
000060.XSHE,2006-03-02,光大证券,12.5000,Y01,1,1,2024-07-09 04:44:09,2006-03-03 17:50:39,1.0,,12.5,,
000060.XSHE,2006-03-03,东北证券,,,2,1,2024-07-09 17:26:20,2006-03-06 16:02:19,2.0,,,,
000060.XSHE,2006-03-06,中信证券,,,1,1,2024-07-09 17:24:44,2006-03-08 17:50:40,1.0,,,,
000060.XSHE,2006-03-06,申万宏源,,,2,1,2024-07-09 17:25:55,2006-03-07 16:29:19,2.0,,,,
000060.XSHE,2006-03-06,国信证券,,,1,1,2024-07-09 17:26:10,2006-03-06 16:57:01,1.0,,,,
000060.XSHE,2006-03-20,中航证券,,,2,1,2024-07-09 17:27:26,2006-03-21 17:50:43,2.0,,,,
000060.XSHE,2006-03-21,第一创业证券,,,2,1,2024-07-09 17:25:46,2006-03-23 17:23:36,2.0,,,,
000060.XSHE,2006-03-21,国泰海通证券,,,1,1,2024-07-09 17:27:08,2006-03-22 16:02:35,1.0,,,,
000060.XSHE,2006-03-30,中金公司,13.5000,M06,2,1,2024-07-09 04:44:03,2006-03-30 16:29:08,2.0,13.5,,,
000060.XSHE,2006-03-31,国信证券,,,1,1,2024-07-09 17:25:51,2006-07-12 15:08:37,1.0,,,,
000060.XSHE,2006-04-03,光大证券,14.5000,M06,1,1,2024-07-09 04:43:11,2006-04-04 17:50:20,1.0,14.5,,,
000060.XSHE,2006-04-03,中信证券,19.5000,M06,1,1,2024-07-09 04:43:18,2006-04-05 15:35:28,1.0,19.5,,,
000060.XSHE,2006-04-03,国信证券,,,1,1,2024-07-09 17:26:50,2006-04-10 16:29:11,1.0,,,,
000060.XSHE,2006-04-04,中信证券,,,1,1,2024-07-09 17:24:23,2006-04-05 15:35:28,1.0,,,,
000060.XSHE,2006-04-07,南京证券,,,2,1,2024-07-09 17:25:51,2006-04-21 17:50:34,2.0,,,,
000060.XSHE,2006-04-11,国信证券,,,1,1,2024-07-09 17:25:40,2006-04-11 16:56:12,1.0,,,,
000060.XSHE,2006-04-16,国海证券,,,2,1,2024-07-09 17:27:21,2006-04-19 16:29:30,2.0,,,,
000060.XSHE,2006-04-17,中金公司,,,2,1,2024-07-09 17:27:40,2006-04-18 15:37:07,2.0,,,,
000060.XSHE,2006-04-21,国泰海通证券,,,1,1,2024-07-09 17:25:10,2006-04-21 16:56:24,1.0,,,,
000060.XSHE,2006-04-21,东北证券,,,2,1,2024-07-09 17:25:55,2006-04-21 18:17:21,2.0,,,,
000060.XSHE,2006-04-23,光大证券,20.0000,M06,1,1,2024-07-09 04:43:03,2006-04-25 17:50:47,1.0,20.0,,,
000060.XSHE,2006-04-27,天相投顾,,,1,1,2024-07-09 17:24:53,2006-04-28 11:05:31,1.0,,,,
000060.XSHE,2006-05-07,光大证券,,,1,1,2024-07-09 17:24:43,2006-05-08 15:08:20,1.0,,,,
000060.XSHE,2006-05-08,申万宏源,,,2,1,2024-07-09 17:27:01,2006-05-09 18:17:32,2.0,,,,
000060.XSHE,2006-05-12,申万宏源,,,2,1,2024-07-09 17:26:22,2006-05-15 15:36:41,2.0,,,,
000060.XSHE,2006-05-15,申万宏源,,,2,1,2024-07-09 17:25:27,2006-05-16 17:50:30,2.0,,,,
000060.XSHE,2006-05-15,东北证券,,,3,1,2024-07-09 17:27:16,2006-05-24 16:29:33,3.0,,,,
000060.XSHE,2006-05-16,国泰海通证券,,,1,1,2024-07-09 17:24:40,2006-05-16 17:50:30,1.0,,,,
000060.XSHE,2006-05-18,中航证券,,,3,1,2024-07-09 17:25:05,2006-05-19 13:47:35,3.0,,,,
000060.XSHE,2006-05-23,国信证券,,,1,1,2024-07-09 17:27:01,2006-05-24 16:29:33,1.0,,,,
000060.XSHE,2006-05-26,巨田证券,,,1,1,2024-07-09 17:24:35,2006-05-30 16:56:37,1.0,,,,
000060.XSHE,2006-05-27,光大证券,,,1,1,2024-07-09 17:25:26,2006-05-31 14:41:10,1.0,,,,
000060.XSHE,2006-05-29,申万宏源,,,2,1,2024-07-09 17:25:21,2006-05-30 11:59:19,2.0,,,,
000060.XSHE,2006-05-29,中金公司,,,2,1,2024-07-09 17:26:25,2006-05-29 11:32:25,2.0,,,,
000060.XSHE,2006-06-12,光大证券,20.0000,M06,1,1,2024-07-09 04:43:04,2006-06-13 15:35:48,1.0,20.0,,,
000060.XSHE,2006-06-12,申万宏源,,,2,1,2024-07-09 17:26:09,2006-06-13 11:32:53,2.0,,,,
000060.XSHE,2006-06-19,光大证券,20.0000,M06,1,1,2024-07-09 04:43:33,2006-06-20 20:59:42,1.0,20.0,,,
000060.XSHE,2006-06-20,东北证券,,,2,1,2024-07-09 17:26:12,2006-06-21 16:58:28,2.0,,,,
000060.XSHE,2006-06-26,光大证券,,,1,1,2024-07-09 17:26:41,2006-06-27 16:56:43,1.0,,,,
000060.XSHE,2006-06-27,申万宏源,,,2,1,2024-07-09 17:26:11,2006-07-04 17:23:29,2.0,,,,
000060.XSHE,2006-06-28,申万宏源,,,2,1,2024-07-09 17:26:23,2006-06-28 20:59:15,2.0,,,,
000060.XSHE,2006-06-29,民生证券,,,2,1,2024-07-09 17:25:19,2006-07-12 16:02:51,2.0,,,,
000060.XSHE,2006-06-30,光大证券,,,1,1,2024-07-09 17:27:06,2006-07-03 17:23:13,1.0,,,,
000060.XSHE,2006-06-30,中金公司,,,2,1,2024-07-09 17:27:21,2006-07-03 16:29:12,2.0,,,,
000060.XSHE,2006-07-03,天相投顾,,,2,1,2024-07-09 17:25:58,2006-07-03 17:23:13,2.0,,,,
000060.XSHE,2006-07-06,国信证券,,,1,1,2024-07-09 17:26:42,2006-07-21 17:23:32,1.0,,,,
000060.XSHE,2006-07-10,国信证券,,,1,1,2024-07-09 17:24:38,2006-07-10 17:50:51,1.0,,,,
000060.XSHE,2006-07-12,国泰海通证券,,,2,1,2024-07-09 17:24:51,2006-07-21 13:47:20,2.0,,,,
000060.XSHE,2006-07-13,招商证券,,,3,1,2024-07-09 17:27:08,2006-07-17 14:14:57,3.0,,,,
000060.XSHE,2006-07-14,中航证券,,,2,1,2024-07-09 17:26:42,2006-07-14 16:57:28,2.0,,,,
000060.XSHE,2006-07-14,光大证券,,,1,1,2024-07-09 17:26:46,2006-07-15 11:05:33,1.0,,,,
000060.XSHE,2006-07-16,天相投顾,,,2,1,2024-07-09 17:24:18,2006-07-18 16:57:16,2.0,,,,
000060.XSHE,2006-07-17,光大证券,20.0000,M06,1,1,2024-07-09 04:43:38,2006-07-18 11:33:50,1.0,20.0,,,
000060.XSHE,2006-07-17,申万宏源,,,2,1,2024-07-09 17:26:36,2006-07-18 16:02:34,2.0,,,,
000060.XSHE,2006-07-24,光大证券,20.0000,M06,1,1,2024-07-09 04:43:53,2006-07-25 11:05:29,1.0,20.0,,,
000060.XSHE,2006-07-24,申万宏源,,,2,1,2024-07-09 17:26:53,2006-07-24 17:23:23,2.0,,,,
000060.XSHE,2006-07-26,中金公司,,,2,1,2024-07-09 17:25:27,2006-07-26 14:41:19,2.0,,,,
000060.XSHE,2006-07-26,天相投顾,16.5900,M06,2,1,2024-07-09 04:43:53,2006-07-26 11:32:27,2.0,16.59,,,
000060.XSHE,2006-07-30,光大证券,,,1,1,2024-07-09 17:25:49,2006-07-31 15:36:38,1.0,,,,
000060.XSHE,2006-07-31,光大证券,20.0000,M06,1,1,2024-07-09 04:43:18,2006-08-01 14:41:41,1.0,20.0,,,
000060.XSHE,2006-08-07,光大证券,,,1,1,2024-07-09 17:25:24,2006-08-08 13:40:27,1.0,,,,
000060.XSHE,2006-08-14,申万宏源,,,2,1,2024-07-09 17:24:08,2006-08-16 11:40:22,2.0,,,,
000060.XSHE,2006-08-17,申万宏源,,,2,1,2024-07-09 17:26:21,2006-08-18 13:40:37,2.0,,,,
000060.XSHE,2006-08-21,申万宏源,,,2,1,2024-07-09 17:24:30,2006-08-22 11:40:31,2.0,,,,
000060.XSHE,2006-08-22,中金公司,,,2,1,2024-07-09 17:25:32,2006-08-22 16:40:32,2.0,,,,
000060.XSHE,2006-08-22,光大证券,18.0000,M06,1,1,2024-07-09 04:44:08,2006-08-23 13:11:09,1.0,18.0,,,
000060.XSHE,2006-08-23,国信证券,,,1,1,2024-07-09 17:24:35,2006-08-24 14:40:26,1.0,,,,
000060.XSHE,2006-08-28,申万宏源,,,2,1,2024-07-09 17:26:04,2006-08-29 11:10:26,2.0,,,,
000060.XSHE,2006-08-28,光大证券,,,1,1,2024-07-09 17:26:48,2006-08-29 18:10:48,1.0,,,,
000060.XSHE,2006-08-31,光大证券,18.0000,M06,1,1,2024-07-09 04:44:16,2006-09-01 17:44:11,1.0,18.0,,,
000060.XSHE,2006-09-04,申万宏源,,,2,1,2024-07-09 17:24:25,2006-09-04 16:10:53,2.0,,,,
000060.XSHE,2006-09-11,申万宏源,,,2,1,2024-07-09 17:27:03,2006-09-12 10:40:21,2.0,,,,
000060.XSHE,2006-09-11,光大证券,18.0000,M06,1,1,2024-07-09 04:44:15,2006-09-13 14:10:27,1.0,18.0,,,
