order_book_id,date,report_year_t,rice_create_tm,create_tm,comp_operating_revenue_t,comp_con_operating_revenue_t1,comp_con_operating_revenue_t2,comp_con_operating_revenue_t3,comp_con_operating_revenue_ftm,comp_net_profit_t,comp_con_net_profit_t1,comp_con_net_profit_t2,comp_con_net_profit_t3,comp_con_net_profit_ftm,comp_eps_t,comp_con_eps_t1,comp_con_eps_t2,comp_con_eps_t3,comp_net_asset_t,comp_con_net_asset_t1,comp_con_net_asset_t2,comp_con_net_asset_t3,comp_con_net_asset_ftm,comp_cash_flow_t,comp_con_cash_flow_t1,comp_con_cash_flow_t2,comp_con_cash_flow_t3,comp_con_cash_flow_ftm,comp_roe_t,comp_con_roe_t1,comp_con_roe_t2,comp_con_roe_t3,comp_con_roe_ftm,comp_pe_t,comp_con_pe_t1,comp_con_pe_t2,comp_con_pe_t3,comp_con_pe_ftm,comp_ps_t,comp_con_ps_t1,comp_con_ps_t2,comp_con_ps_t3,comp_con_ps_ftm,comp_pb_t,comp_con_pb_t1,comp_con_pb_t2,comp_con_pb_t3,comp_con_pb_ftm,comp_peg,comp_operating_revenue_growth_ratio_t,comp_con_operating_revenue_growth_ratio_t1,comp_con_operating_revenue_growth_ratio_t2,comp_con_operating_revenue_growth_ratio_t3,comp_con_operating_revenue_growth_ratio_ftm,comp_net_profit_growth_ratio_t,comp_con_net_profit_growth_ratio_t1,comp_con_net_profit_growth_ratio_t2,comp_con_net_profit_growth_ratio_t3,comp_con_net_profit_growth_ratio_ftm,con_grd_coef,con_targ_price,comp_con_eps_ftm,ty_profit_t1,ty_profit_t2,ty_profit_t3,ty_profit_ftm,ty_eps_t1,ty_eps_t2,ty_eps_t3,ty_eps_ftm
000034.XSHE,2016-01-05,2014,2016-01-05 15:43:48,2016-01-05 15:43:48,509055702.64,433000000.0,45001000000.0,47701000000.0,45226000000.0,61471205.74,51000000.0,204044912.67,221943589.22,205536469.0492,0.17,0.1425,0.57,0.62,165636614.87,217000000.0,886000000.0,1294000000.0,920000000.0,-28153147.99,7352000000.0,-8579000000.0,-164000000.0,-7877750000.0,0.4525,0.235,0.2303,0.1715,0.2234,162.765,196.1835,49.0351,45.0806,156.9376,19.6547,23.1071,0.2223,0.2098,2.4127,52.0678,46.1077,11.2927,7.7321,36.6833,5.6313,-0.045,-0.1494,102.9284,0.06,9.9057,2.6662,-0.1703,3.0009,0.0877,2.2239,2.0,24.86,0.5742,51000000.0,204044912.67,221943589.22,205536469.0492,0.1425,0.57,0.62,0.5742
000034.XSHE,2016-01-06,2014,2016-01-06 15:48:26,2016-01-06 15:48:26,509055702.64,433000000.0,45001000000.0,47701000000.0,45226000000.0,61471205.74,51000000.0,204044912.67,221943589.22,205536469.0492,0.17,0.1425,0.57,0.62,165636614.87,217000000.0,886000000.0,1294000000.0,920000000.0,-28153147.99,7352000000.0,-8579000000.0,-164000000.0,-7877750000.0,0.4525,0.235,0.2303,0.1715,0.2234,162.765,196.1835,49.0351,45.0806,156.9376,19.6547,23.1071,0.2223,0.2098,2.4127,52.0678,46.1077,11.2927,7.7321,36.6833,5.6313,-0.045,-0.1494,102.9284,0.06,9.9057,2.6662,-0.1703,3.0009,0.0877,2.2239,2.0,24.86,0.5742,51000000.0,204044912.67,221943589.22,205536469.0492,0.1425,0.57,0.62,0.5742
000034.XSHE,2016-01-07,2014,2016-01-07 15:49:41,2016-01-07 15:49:41,509055702.64,433000000.0,45001000000.0,47701000000.0,45226000000.0,61471205.74,51000000.0,204044912.67,221943589.22,205536469.0492,0.17,0.1425,0.57,0.62,165636614.87,217000000.0,886000000.0,1294000000.0,920000000.0,-28153147.99,7352000000.0,-8579000000.0,-164000000.0,-7877750000.0,0.4525,0.235,0.2303,0.1715,0.2234,162.765,196.1835,49.0351,45.0806,156.9376,19.6547,23.1071,0.2223,0.2098,2.4127,52.0678,46.1077,11.2927,7.7321,36.6833,5.6313,-0.045,-0.1494,102.9284,0.06,9.9057,2.6662,-0.1703,3.0009,0.0877,2.2239,2.0,24.86,0.5742,51000000.0,204044912.67,221943589.22,205536469.0492,0.1425,0.57,0.62,0.5742
000034.XSHE,2016-01-08,2014,2016-01-08 15:52:36,2016-01-08 15:52:36,509055702.64,433000000.0,45001000000.0,47701000000.0,45226000000.0,61471205.74,51000000.0,204044912.67,221943589.22,205536469.0492,0.17,0.1425,0.57,0.62,165636614.87,217000000.0,886000000.0,1294000000.0,920000000.0,-28153147.99,7352000000.0,-8579000000.0,-164000000.0,-7877750000.0,0.4525,0.235,0.2303,0.1715,0.2234,162.765,196.1835,49.0351,45.0806,156.9376,19.6547,23.1071,0.2223,0.2098,2.4127,52.0678,46.1077,11.2927,7.7321,36.6833,5.6313,-0.045,-0.1494,102.9284,0.06,9.9057,2.6662,-0.1703,3.0009,0.0877,2.2239,2.0,24.86,0.5742,51000000.0,204044912.67,221943589.22,205536469.0492,0.1425,0.57,0.62,0.5742
000034.XSHE,2016-01-11,2014,2016-01-11 15:49:12,2016-01-11 15:49:12,509055702.64,433000000.0,45001000000.0,47701000000.0,45226000000.0,61471205.74,51000000.0,204044912.67,221943589.22,205536469.0492,0.17,0.1425,0.57,0.62,165636614.87,217000000.0,886000000.0,1294000000.0,920000000.0,-28153147.99,7352000000.0,-8579000000.0,-164000000.0,-7877750000.0,0.4525,0.235,0.2303,0.1715,0.2234,162.765,196.1835,49.0351,45.0806,156.9376,19.6547,23.1071,0.2223,0.2098,2.4127,52.0678,46.1077,11.2927,7.7321,36.6833,5.6313,-0.045,-0.1494,102.9284,0.06,9.9057,2.6662,-0.1703,3.0009,0.0877,2.2239,2.0,24.86,0.5742,51000000.0,204044912.67,221943589.22,205536469.0492,0.1425,0.57,0.62,0.5742
000034.XSHE,2016-01-12,2014,2016-01-12 15:47:25,2016-01-12 15:47:25,509055702.64,433000000.0,45001000000.0,47701000000.0,45226000000.0,61471205.74,51000000.0,204044912.67,221943589.22,205536469.0492,0.17,0.1425,0.57,0.62,165636614.87,217000000.0,886000000.0,1294000000.0,920000000.0,-28153147.99,7352000000.0,-8579000000.0,-164000000.0,-7877750000.0,0.4525,0.235,0.2303,0.1715,0.2234,162.765,196.1835,49.0351,45.0806,156.9376,19.6547,23.1071,0.2223,0.2098,2.4127,52.0678,46.1077,11.2927,7.7321,36.6833,5.6313,-0.045,-0.1494,102.9284,0.06,9.9057,2.6662,-0.1703,3.0009,0.0877,2.2239,2.0,24.86,0.5742,51000000.0,204044912.67,221943589.22,205536469.0492,0.1425,0.57,0.62,0.5742
000034.XSHE,2016-01-13,2014,2016-01-13 15:51:25,2016-01-13 15:51:25,509055702.64,433000000.0,45001000000.0,47701000000.0,45226000000.0,61471205.74,51000000.0,204044912.67,221943589.22,205536469.0492,0.17,0.1425,0.57,0.62,165636614.87,217000000.0,886000000.0,1294000000.0,920000000.0,-28153147.99,7352000000.0,-8579000000.0,-164000000.0,-7877750000.0,0.4525,0.235,0.2303,0.1715,0.2234,162.765,196.1835,49.0351,45.0806,156.9376,19.6547,23.1071,0.2223,0.2098,2.4127,52.0678,46.1077,11.2927,7.7321,36.6833,5.6313,-0.045,-0.1494,102.9284,0.06,9.9057,2.6662,-0.1703,3.0009,0.0877,2.2239,2.0,24.86,0.5742,51000000.0,204044912.67,221943589.22,205536469.0492,0.1425,0.57,0.62,0.5742
000034.XSHE,2016-01-14,2014,2016-01-14 15:52:43,2016-01-14 15:52:43,509055702.64,433000000.0,45001000000.0,47701000000.0,45226000000.0,61471205.74,51000000.0,204044912.67,221943589.22,205536469.0492,0.17,0.1425,0.57,0.62,165636614.87,217000000.0,886000000.0,1294000000.0,920000000.0,-28153147.99,7352000000.0,-8579000000.0,-164000000.0,-7877750000.0,0.4525,0.235,0.2303,0.1715,0.2234,162.765,196.1835,49.0351,45.0806,156.9376,19.6547,23.1071,0.2223,0.2098,2.4127,52.0678,46.1077,11.2927,7.7321,36.6833,5.6313,-0.045,-0.1494,102.9284,0.06,9.9057,2.6662,-0.1703,3.0009,0.0877,2.2239,2.0,24.86,0.5742,51000000.0,204044912.67,221943589.22,205536469.0492,0.1425,0.57,0.62,0.5742
000034.XSHE,2016-01-15,2014,2016-01-15 15:51:06,2016-01-15 15:51:06,509055702.64,433000000.0,45001000000.0,47701000000.0,45226000000.0,61471205.74,51000000.0,204044912.67,221943589.22,205536469.0492,0.17,0.1425,0.57,0.62,165636614.87,217000000.0,886000000.0,1294000000.0,920000000.0,-28153147.99,7352000000.0,-8579000000.0,-164000000.0,-7877750000.0,0.4525,0.235,0.2303,0.1715,0.2234,162.765,196.1835,49.0351,45.0806,156.9376,19.6547,23.1071,0.2223,0.2098,2.4127,52.0678,46.1077,11.2927,7.7321,36.6833,5.6313,-0.045,-0.1494,102.9284,0.06,9.9057,2.6662,-0.1703,3.0009,0.0877,2.2239,2.0,24.86,0.5742,51000000.0,204044912.67,221943589.22,205536469.0492,0.1425,0.57,0.62,0.5742
000034.XSHE,2016-01-18,2014,2016-01-18 15:50:23,2016-01-18 15:50:23,509055702.64,433000000.0,45001000000.0,47701000000.0,45226000000.0,61471205.74,51000000.0,204044912.67,221943589.22,205536469.0492,0.17,0.1425,0.57,0.62,165636614.87,217000000.0,886000000.0,1294000000.0,920000000.0,-28153147.99,7352000000.0,-8579000000.0,-164000000.0,-7877750000.0,0.4525,0.235,0.2303,0.1715,0.2234,162.765,196.1835,49.0351,45.0806,156.9376,19.6547,23.1071,0.2223,0.2098,2.4127,52.0678,46.1077,11.2927,7.7321,36.6833,5.6313,-0.045,-0.1494,102.9284,0.06,9.9057,2.6662,-0.1703,3.0009,0.0877,2.2239,2.0,24.86,0.5742,51000000.0,204044912.67,221943589.22,205536469.0492,0.1425,0.57,0.62,0.5742
