date,order_book_id,size,non_linear_size,momentum,liquidity,book_to_price,leverage,growth,earnings_yield,beta,residual_volatility,comovement,银行,计算机,环保,商贸零售,电力设备,建筑装饰,建筑材料,农林牧渔,电子,交通运输,汽车,纺织服饰,医药生物,房地产,通信,公用事业,综合,机械设备,石油石化,有色金属,传媒,家用电器,基础化工,非银金融,社会服务,轻工制造,国防军工,美容护理,煤炭,食品饮料,钢铁
2010-08-31,002465.XSHE,-0.4107469873037047,0.5567141066569342,0.5195827377715432,1.451525623313901,-1.8352764484465067,-0.8240795409340523,-0.045406973898176016,-2.4487450844579812,0.5141871063722179,0.4196445670119392,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-09-01,002465.XSHE,-0.39326473410499974,0.5455459155334395,0.556516807881679,1.4701989804092799,-1.840635139030843,-0.8259459666339202,-0.0077764757054800395,-2.4861744248630937,0.507496828710097,0.5134962546535135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-09-02,002465.XSHE,-0.4366111423165447,0.5748330493189663,0.5526480535847553,1.5027355963532378,-1.822831432482315,-0.8230125900180578,-0.0007316962497598547,-2.4219236892641662,0.5212966706399604,0.474676378223039,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-09-03,002465.XSHE,-0.41223495867217624,0.5576841141874003,0.5729400058753797,1.4606373817658345,-1.8244376768301844,-0.8224519720324548,0.0036325485099544673,-2.4170301103421314,0.5200855934732664,0.474447129196045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-09-06,002465.XSHE,-0.4861780173437213,0.6104739010839236,0.6213269464665829,1.4872227259355122,-1.821729435241511,-0.8232937860839412,-0.01278442013052971,-2.4067799169118684,0.44407534993478204,0.5059674695530723,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-09-07,002465.XSHE,-0.4817136130548505,0.6096527045110132,0.5903609797394888,1.4782264854917904,-1.8300689127031033,-0.8241101803083266,-0.017359889661155075,-2.4058901369287065,0.4526442066494487,0.505475375207636,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-09-08,002465.XSHE,-0.5144311940199381,0.6306144541749193,0.6165604488983785,1.4498976166739226,-1.8029684518226976,-0.8203250563850314,-0.022388337939638236,-2.342850732091567,0.44814762028596594,0.44865102522821204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-09-09,002465.XSHE,-0.4870566428527061,0.6111276912143419,0.6266441922027869,1.4451738016353028,-1.799404706217,-0.8192048780289467,-0.0200856846404043,-2.34523177135812,0.3776225699993691,0.5457602105900299,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-09-10,002465.XSHE,-0.5211806184528782,0.6359628941880131,0.6344477678603438,1.4379923957403027,-1.7782784875680664,-0.8133040281552908,-0.02870774427093359,-2.2897353501931383,0.3750033711189752,0.5381738458106226,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-09-13,002465.XSHE,-0.5300225811960436,0.6410177297473636,0.5879226278566845,1.424326446599588,-1.775441508244038,-0.8133273724537313,-0.026507730475002027,-2.28068093119007,0.38911483074680786,0.49252816093845664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
