order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,quarter_recommendation,half_year_target_price,one_year_target_price,one_year_recommendation,half_year_recommendation
000009.XSHE,2006-01-14,华泰联合,3.0030,,2,1,2024-07-26 17:24:54,2006-01-16 16:29:23,2.0,,,,
000009.XSHE,2006-06-07,华泰联合,,,2,1,2024-07-26 17:23:38,2006-06-07 15:37:05,2.0,,,,
000009.XSHE,2006-10-27,华泰联合,,,2,1,2024-07-26 17:24:41,2006-10-31 15:40:49,2.0,,,,
000009.XSHE,2007-01-11,国信证券,,,2,1,2024-07-26 17:23:52,2007-01-12 10:40:28,2.0,,,,
000009.XSHE,2007-06-21,国信证券,,,2,1,2024-07-26 17:24:17,2007-06-21 14:41:11,2.0,,,,
000009.XSHE,2007-10-15,国信证券,,,2,1,2024-07-26 17:25:50,2007-10-15 15:46:08,2.0,,,,
000009.XSHE,2007-11-14,国信证券,,,2,1,2024-07-26 17:27:04,2007-11-14 16:55:49,2.0,,,,
000009.XSHE,2007-12-18,国信证券,,,2,1,2024-07-26 17:24:07,2007-12-18 17:41:20,2.0,,,,
000009.XSHE,2007-12-28,国信证券,,,2,1,2024-07-26 17:26:38,2007-12-25 17:57:04,2.0,,,,
000009.XSHE,2008-01-21,国信证券,,,2,1,2024-07-26 17:24:54,2008-01-21 18:41:10,2.0,,,,
000009.XSHE,2008-03-11,国信证券,,,2,1,2024-07-26 17:26:16,2008-03-11 18:11:10,2.0,,,,
000009.XSHE,2008-05-05,国泰海通证券,16.2400,M06,2,1,2024-07-26 04:02:22,2008-05-05 18:40:29,2.0,16.24,,,
000009.XSHE,2008-05-15,国信证券,,,2,1,2024-07-26 17:26:53,2008-05-15 16:40:27,2.0,,,,
000009.XSHE,2008-05-20,金元证券,,,3,3,2024-07-26 17:24:51,2008-05-21 17:25:31,3.0,,,3.0,
000009.XSHE,2009-02-19,国泰海通证券,,,1,1,2024-07-26 17:24:38,2009-02-20 16:47:34,1.0,,,,
000009.XSHE,2009-03-03,国泰海通证券,,,1,1,2024-07-26 17:24:54,2009-03-03 19:16:45,1.0,,,,
000009.XSHE,2009-03-10,国泰海通证券,,,1,1,2024-07-26 17:26:50,2009-03-11 17:17:40,1.0,,,,
