order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,quarter_recommendation,half_year_target_price,one_year_target_price,half_year_recommendation,one_year_recommendation
000032.XSHE,2010-04-10,天相投顾,,,3,1,2025-05-30 15:27:31,2010-04-12 16:38:32,3.0,,,,
000032.XSHE,2010-04-28,天相投顾,,,3,1,2025-05-30 15:28:32,2010-04-29 09:10:06,3.0,,,,
000032.XSHE,2011-10-24,天相投顾,,,3,1,2025-05-30 15:24:58,2011-10-31 16:05:53,3.0,,,,
000032.XSHE,2013-09-30,爱建证券,38.1000,M06,2,1,2025-05-30 04:45:22,2013-10-08 11:25:13,2.0,38.1,,,
000032.XSHE,2015-10-09,中信建投,,,2,1,2025-05-30 15:26:17,2015-10-10 09:53:27,2.0,,,,
000032.XSHE,2016-03-07,中信建投,,,2,1,2025-05-30 15:27:21,2016-03-08 11:49:18,2.0,,,,
000032.XSHE,2016-12-19,申万宏源,,,2,1,2025-05-30 15:24:33,2016-12-20 12:12:23,2.0,,,,
000032.XSHE,2022-02-07,中信建投,31.8000,M06,1,1,2025-05-30 04:45:04,2022-02-07 10:37:16,1.0,31.8,,,
000032.XSHE,2022-04-24,中信建投,,,1,1,2025-05-30 15:24:25,2022-04-25 14:44:52,1.0,,,,
000032.XSHE,2022-10-27,中信建投,,,1,1,2025-05-30 15:25:56,2022-11-30 09:53:57,1.0,,,,
000032.XSHE,2022-10-28,银河证券,,,1,1,2025-05-30 15:26:23,2022-11-01 11:27:57,1.0,,,,
000032.XSHE,2022-11-10,东吴证券,34.0000,M06,1,1,2025-05-30 04:44:17,2022-11-11 11:27:22,1.0,34.0,,,
000032.XSHE,2022-11-25,中信建投,,,1,1,2025-05-30 15:27:50,2022-11-28 10:33:43,1.0,,,,
000032.XSHE,2022-11-27,华鑫证券,,,1,1,2025-05-30 15:28:52,2022-11-28 10:20:18,1.0,,,,
000032.XSHE,2022-12-01,财通证券,,,2,1,2025-05-30 15:27:27,2022-12-02 12:48:21,2.0,,,,
000032.XSHE,2022-12-11,华鑫证券,,,1,1,2025-05-30 15:26:16,2022-12-12 14:53:40,1.0,,,,
000032.XSHE,2022-12-27,中银国际证券,,,1,1,2025-05-30 15:26:43,2022-12-28 11:51:49,1.0,,,,
000032.XSHE,2023-01-02,东吴证券,,,1,1,2025-05-30 15:27:11,2023-01-03 09:17:09,1.0,,,,
000032.XSHE,2023-01-15,华鑫证券,,,1,1,2025-05-30 15:28:33,2023-01-16 14:45:40,1.0,,,,
000032.XSHE,2023-01-30,华鑫证券,,,1,1,2025-05-30 15:28:28,2023-01-30 15:07:53,1.0,,,,
000032.XSHE,2023-01-31,东吴证券,,,1,1,2025-05-30 15:27:14,2023-01-31 16:52:16,1.0,,,,
000032.XSHE,2023-02-01,财通证券,,,2,1,2025-05-30 15:24:48,2023-02-01 14:19:45,2.0,,,,
000032.XSHE,2023-02-03,华鑫证券,,,1,1,2025-05-30 15:26:19,2023-02-05 11:42:21,1.0,,,,
000032.XSHE,2023-02-05,华鑫证券,,,1,1,2025-05-30 15:25:25,2023-02-06 11:03:30,1.0,,,,
000032.XSHE,2023-02-12,华鑫证券,,,1,1,2025-05-30 15:27:52,2023-02-13 12:45:41,1.0,,,,
000032.XSHE,2023-02-19,华鑫证券,,,1,1,2025-05-30 15:27:44,2023-02-19 17:43:43,1.0,,,,
000032.XSHE,2023-02-27,华鑫证券,,,1,1,2025-05-30 15:27:04,2023-02-27 11:58:09,1.0,,,,
000032.XSHE,2023-03-06,华鑫证券,,,1,1,2025-05-30 15:24:19,2023-03-06 15:43:50,1.0,,,,
000032.XSHE,2023-03-09,兴业证券,,,2,1,2025-05-30 15:27:09,2023-03-09 21:04:09,2.0,,,,
000032.XSHE,2023-03-12,华鑫证券,,,1,1,2025-05-30 15:28:50,2023-03-13 16:05:47,1.0,,,,
000032.XSHE,2023-03-20,华鑫证券,,,1,1,2025-05-30 15:28:06,2023-03-21 12:48:37,1.0,,,,
000032.XSHE,2023-03-27,华鑫证券,,,1,1,2025-05-30 15:27:01,2023-03-27 15:44:31,1.0,,,,
000032.XSHE,2023-04-02,华鑫证券,,,1,1,2025-05-30 15:27:21,2023-04-03 19:21:05,1.0,,,,
000032.XSHE,2023-04-07,国泰海通证券,53.7800,M06,1,1,2025-05-30 04:44:06,2023-04-09 13:09:36,1.0,53.78,,,
000032.XSHE,2023-04-09,华鑫证券,,,1,1,2025-05-30 15:25:06,2023-04-10 15:15:06,1.0,,,,
000032.XSHE,2023-04-16,华鑫证券,,,1,1,2025-05-30 15:26:01,2023-04-17 14:54:37,1.0,,,,
000032.XSHE,2023-04-24,华鑫证券,,,1,1,2025-05-30 15:27:15,2023-04-24 14:43:16,1.0,,,,
000032.XSHE,2023-04-27,兴业证券,,,2,1,2025-05-30 15:28:51,2023-04-27 16:04:50,2.0,,,,
000032.XSHE,2023-05-03,东吴证券,,,1,1,2025-05-30 15:24:38,2023-05-04 00:23:15,1.0,,,,
000032.XSHE,2023-05-07,华鑫证券,,,1,1,2025-05-30 15:25:36,2023-05-08 18:49:30,1.0,,,,
000032.XSHE,2023-05-07,兴业证券,,,2,1,2025-05-30 15:26:07,2023-05-09 19:25:23,2.0,,,,
000032.XSHE,2023-05-08,华鑫证券,,,1,1,2025-05-30 15:27:09,2023-05-09 15:20:14,1.0,,,,
000032.XSHE,2023-05-10,东莞证券,,,1,1,2025-05-30 15:27:23,2023-05-10 15:55:17,1.0,,,,
000032.XSHE,2023-05-12,天风证券,,,1,1,2025-05-30 15:26:45,2023-05-12 11:57:47,1.0,,,,
000032.XSHE,2023-05-14,兴业证券,,,2,1,2025-05-30 15:24:25,2023-05-15 14:15:27,2.0,,,,
000032.XSHE,2023-05-15,华鑫证券,,,1,1,2025-05-30 15:25:06,2023-05-15 14:10:17,1.0,,,,
