order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,half_year_target_price,quarter_recommendation,half_year_recommendation,one_year_target_price,one_year_recommendation
000598.XSHE,2006-02-06,长江证券,4.8500,M06,1,1,2024-06-26 05:24:21,2006-02-06 17:51:34,4.85,1.0,,,
000598.XSHE,2006-02-08,长江证券,6.0300,,1,1,2024-06-26 17:25:29,2006-02-14 13:20:29,,1.0,,,
000598.XSHE,2006-02-15,长江证券,6.1200,,1,1,2024-06-26 17:27:53,2006-02-15 16:29:29,,1.0,,,
000598.XSHE,2006-03-29,长江证券,5.9400,M06,1,1,2024-06-26 05:24:07,2006-03-29 17:50:10,5.94,1.0,,,
000598.XSHE,2007-03-09,长城证券,,,3,1,2024-06-26 17:27:32,2007-03-12 17:41:00,,3.0,,,
000598.XSHE,2007-04-20,银河证券,18.0200,M06,1,1,2024-06-26 05:24:10,2007-04-23 17:40:37,18.02,1.0,,,
000598.XSHE,2007-05-13,银河证券,,,1,1,2024-06-26 17:26:33,2007-05-14 16:41:49,,1.0,,,
000598.XSHE,2007-10-08,银河证券,20.7200,M06,1,1,2024-06-26 05:24:14,2007-10-08 17:57:21,20.72,1.0,,,
000598.XSHE,2008-01-01,银河证券,16.8900,M06,1,1,2024-06-26 05:23:54,2008-01-02 18:10:39,16.89,1.0,,,
000598.XSHE,2008-01-11,平安证券,,,2,1,2024-06-26 17:24:52,2008-01-11 17:13:51,,2.0,,,
000598.XSHE,2008-01-31,西南证券,,,3,1,2024-06-26 17:27:18,2008-01-31 18:11:17,,3.0,,,
000598.XSHE,2008-04-03,西南证券,,,2,1,2024-06-26 17:25:53,2008-04-14 18:25:28,,2.0,,,
000598.XSHE,2008-05-14,天相投顾,,,3,1,2024-06-26 17:28:32,2008-05-15 16:40:27,,3.0,,,
000598.XSHE,2008-07-14,第一创业证券,,,1,1,2024-06-26 17:24:33,2008-07-17 17:40:15,,1.0,,,
000598.XSHE,2008-10-08,上海证券,,,3,1,2024-06-26 17:25:38,2008-10-09 15:17:34,,3.0,,,
000598.XSHE,2008-10-28,天相投顾,,,3,1,2024-06-26 17:28:13,2008-11-03 17:17:30,,3.0,,,
000598.XSHE,2009-02-20,浙商证券,,,3,1,2024-06-26 17:28:36,2009-02-21 14:01:48,,3.0,,,
000598.XSHE,2009-03-27,天相投顾,,,3,1,2024-06-26 17:24:25,2009-04-02 17:47:40,,3.0,,,
000598.XSHE,2009-04-03,上海证券,,,2,1,2024-06-26 17:25:22,2009-04-03 17:34:39,,2.0,,,
000598.XSHE,2009-04-07,财信证券,11.2750,M06,1,1,2024-06-26 05:24:18,2009-04-07 15:17:47,11.275,1.0,,,
000598.XSHE,2009-04-09,国泰海通证券,9.5000,M06,2,1,2024-06-26 05:24:08,2009-04-09 14:48:09,9.5,2.0,,,
000598.XSHE,2009-04-27,财信证券,11.2750,M06,1,1,2024-06-26 05:24:40,2009-04-28 08:33:00,11.275,1.0,,,
000598.XSHE,2009-06-05,申万宏源,13.0000,M06,2,1,2024-06-26 05:24:12,2009-06-05 17:04:03,13.0,2.0,,,
