order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,half_year_target_price,quarter_recommendation,one_year_target_price,half_year_recommendation,one_year_recommendation
000785.XSHE,2007-03-20,东北证券,,,1,1,2024-07-10 17:53:14,2007-03-21 10:57:57,,1.0,,,
000785.XSHE,2007-06-25,长江证券,10.0000,M06,3,1,2024-07-10 04:45:14,2007-06-26 17:26:00,10.0,3.0,,,
000785.XSHE,2007-09-28,南京证券,,,2,1,2024-07-10 17:52:17,2007-10-16 17:13:23,,2.0,,,
000785.XSHE,2007-11-20,长江证券,,,2,1,2024-07-10 17:56:46,2007-12-13 17:12:28,,2.0,,,
000785.XSHE,2008-03-13,天相投顾,,,3,1,2024-07-10 17:58:17,2008-03-13 17:55:58,,3.0,,,
000785.XSHE,2008-04-16,西南证券,,,3,1,2024-07-10 17:54:54,2008-04-17 18:10:13,,3.0,,,
000785.XSHE,2009-01-09,长江证券,,,1,1,2024-07-10 17:55:38,2009-01-12 17:18:25,,1.0,,,
000785.XSHE,2009-02-22,银河证券,4.0000,M06,3,1,2024-07-10 04:45:17,2009-02-23 16:35:55,4.0,3.0,,,
000785.XSHE,2009-03-26,兴业证券,,,3,1,2024-07-10 17:56:02,2009-03-26 17:48:03,,3.0,,,
000785.XSHE,2009-04-13,银河证券,,,3,1,2024-07-10 17:56:54,2009-04-13 18:47:31,,3.0,,,
000785.XSHE,2009-05-11,民生证券,5.9000,M06,3,1,2024-07-10 04:44:14,2009-05-12 15:18:29,5.9,3.0,,,
000785.XSHE,2009-08-24,山西证券,,,3,1,2024-07-10 17:54:53,2009-08-25 15:40:06,,3.0,,,
000785.XSHE,2009-09-11,国泰海通证券,9.5000,M06,3,1,2024-07-10 04:43:51,2009-09-11 16:23:23,9.5,3.0,,,
000785.XSHE,2009-09-29,山西证券,,,3,1,2024-07-10 17:58:25,2009-10-09 16:09:52,,3.0,,,
000785.XSHE,2009-10-30,天相投顾,,,3,1,2024-07-10 17:53:35,2009-11-12 15:37:48,,3.0,,,
000785.XSHE,2010-03-26,天相投顾,,,3,1,2024-07-10 17:54:26,2010-03-26 14:08:37,,3.0,,,
