order_book_id,date,fiscal_year,report_period,report_range,profit_chg_1w,profit_chg_1w_rank,profit_chg_1w_sco,profit_chg_2w,profit_chg_2w_rank,profit_chg_2w_sco,profit_chg_1m,profit_chg_1m_rank,profit_chg_1m_sco,profit_chg_2m,profit_chg_2m_rank,profit_chg_2m_sco,profit_chg_3m,profit_chg_3m_rank,profit_chg_3m_sco,op_reven_chg_1w,op_reven_chg_1w_rank,op_reven_chg_1w_sco,op_reven_chg_2w,op_reven_chg_2w_rank,op_reven_chg_2w_sco,op_reven_chg_1m,op_reven_chg_1m_rank,op_reven_chg_1m_sco,op_reven_chg_2m,op_reven_chg_2m_rank,op_reven_chg_2m_sco,op_reven_chg_3m,op_reven_chg_3m_rank,op_reven_chg_3m_sco,ty_est_dev,ty_est_dev_rank,ty_est_dev_sco,est_em_bic_sco,est_em_non_bic_sco,grd_em_1m,grd_em_1m_rank,grd_em_1m_sco,grd_em_2m,grd_em_2m_rank,grd_em_2m_sco,grd_em_3m,grd_em_3m_rank,grd_em_3m_sco,targ_price_space,targ_price_space_rank,targ_price_space_sco,grd_em_sco,ana_em_bic_sco,ana_em_non_bic_sco
000768.XSHE,2016-01-04,2015,q4,1,-0.0018,1781,13.0435,-0.001,1599,21.1643,-0.0082,1593,19.8792,-0.0209,1480,21.0358,-0.0225,942,49.6253,0.0,119,93.0913,0.0,207,87.6794,0.0071,246,84.8952,-0.0139,967,35.6,-0.0121,624,56.9751,-0.0072,1614.0,25.0813,32.549,22.7742,0.22,204,88.5311,-0.08,1174,29.0381,0.15,434,73.6618,0.3784,471,74.622,61.76,48.7728,46.8178
000768.XSHE,2016-01-04,2015,q4,3,-0.0018,1802,12.0176,-0.001,1616,20.2469,-0.012,1654,16.6835,-0.0208,1468,21.6346,-0.0225,934,50.0,0.0,108,93.7096,0.0,199,88.1437,0.0071,242,85.0682,-0.0139,944,36.8809,-0.0121,626,56.7175,-0.0075,1624.0,24.5818,31.8181,21.7466,0.22,209,88.2153,-0.08,1164,29.4724,0.15,436,73.4756,0.3885,480,74.1081,61.7702,48.3246,46.3103
000768.XSHE,2016-01-04,2016,q4,1,-0.0017,1803,14.1905,0.0005,533,74.3861,-0.009,1519,25.2585,-0.0302,1477,22.9645,-0.0363,1276,33.2111,0.0,125,92.7739,0.0,232,86.25,0.01,289,82.3204,-0.0329,1125,25.4147,-0.0332,847,41.6149,-0.0088,1372.0,35.6036,40.4024,34.0843,0.22,205,88.7665,-0.08,1207,29.0171,0.15,442,73.9053,0.3784,478,74.9079,61.8945,53.6128,52.3492
000768.XSHE,2016-01-04,2016,q4,3,-0.0017,1828,12.9171,0.0005,492,76.3373,-0.0107,1556,23.2099,-0.0302,1476,22.896,-0.0363,1269,33.5081,0.0,121,92.9783,0.0,224,86.7104,0.01,282,82.6543,-0.0329,1111,26.0,-0.0332,847,41.4127,-0.0093,1386.0,34.8235,40.1836,33.7418,0.22,210,88.453,-0.08,1196,29.4569,0.15,444,73.6936,0.3885,487,74.3941,61.9027,53.1825,51.8942
000768.XSHE,2016-01-04,2017,q4,1,-0.0048,1717,9.6367,-0.0048,1604,14.3697,-0.0096,1423,21.5232,-0.0291,1262,25.4287,-0.0602,1213,26.0073,0.0,123,92.561,0.0,230,85.7143,0.0087,328,78.9304,-0.0314,1022,28.1997,-0.0333,780,42.4242,0.0157,218.0,88.8029,29.5323,20.5239,0.22,197,88.4298,-0.08,1116,29.7859,0.15,412,73.855,0.3784,454,74.2614,62.0573,67.2372,65.4355
000768.XSHE,2016-01-04,2017,q4,3,-0.0048,1738,8.3377,-0.0048,1619,13.3369,-0.0179,1504,16.6389,-0.0288,1254,25.4167,-0.0602,1209,25.935,0.0,116,92.9577,0.0,222,86.1789,0.0087,324,79.0668,-0.0314,1005,28.9455,-0.0333,779,42.1991,0.0157,224.0,88.4396,28.143,18.7113,0.22,203,88.0403,-0.08,1105,30.303,0.15,415,73.5969,0.3885,461,73.8339,62.0567,66.722,64.8357
000768.XSHE,2016-01-05,2015,q4,1,-0.0062,1887,8.2238,-0.0077,1802,11.5422,-0.0142,1684,15.2568,-0.0268,1550,17.4747,-0.0284,1013,45.8244,0.0,104,94.0186,0.0,193,88.585,0.0071,252,84.5157,-0.0133,972,35.4817,-0.0121,623,57.0145,-0.0026,1358.0,34.6968,28.4108,17.5327,0.18,252,85.8192,-0.12,1234,25.7229,0.11,492,70.1882,0.3166,866,53.4696,58.6545,43.863,41.6874
000768.XSHE,2016-01-05,2015,q4,3,-0.0002,1697,17.3086,-0.0018,1662,18.2176,-0.012,1652,16.7423,-0.0209,1483,20.96,-0.0225,940,49.6785,0.0,106,93.8776,0.0,196,88.3513,0.0071,246,84.8109,-0.0133,942,37.0147,-0.0121,624,56.8858,-0.0063,1509.0,27.3253,31.7599,21.6529,0.22,216,87.8187,-0.08,1162,29.7215,0.15,437,73.447,0.3346,807,56.503,61.7055,43.8416,41.8202
000768.XSHE,2016-01-05,2016,q4,1,-0.0044,1869,11.4692,-0.0061,1779,14.8059,-0.0134,1599,21.3195,-0.0345,1531,20.3954,-0.0405,1312,31.3613,0.0,111,93.6416,0.0,218,87.1598,0.01,291,82.1867,-0.0239,1079,28.7037,-0.0332,843,41.8508,-0.0067,1323.0,37.9925,29.1487,19.7587,0.18,253,86.1386,-0.12,1269,25.7176,0.11,501,70.4841,0.3166,884,53.7696,58.8393,45.1262,43.2482
000768.XSHE,2016-01-05,2016,q4,3,-0.0008,1775,15.6443,-0.0025,1699,18.4046,-0.0115,1566,22.716,-0.031,1485,22.547,-0.0371,1279,33.0189,0.0,112,93.5577,0.0,223,86.8014,0.01,290,82.1495,-0.0239,1055,29.7333,-0.0332,845,41.5917,-0.0093,1391.0,34.6805,31.0543,22.1261,0.22,217,88.086,-0.08,1195,29.682,0.15,446,73.6374,0.3346,823,56.8277,61.8347,46.0303,44.2446
000768.XSHE,2016-01-05,2017,q4,1,-0.0004,1674,12.4542,-0.0055,1627,13.6484,-0.0103,1428,21.2907,-0.0298,1292,24.0141,-0.0609,1218,25.8831,0.0,114,93.1763,0.0,212,86.935,0.0087,334,78.5438,-0.0036,838,41.4685,-0.0333,779,42.4982,0.0157,221.0,88.7006,29.8288,20.1549,0.18,245,85.6302,-0.12,1181,26.1577,0.11,470,70.2788,0.3166,836,52.7982,58.7709,60.1696,58.2348
000768.XSHE,2016-01-05,2017,q4,3,0.003,242,87.3491,-0.0021,1580,15.8316,-0.0153,1475,18.2927,-0.0266,1252,25.8447,-0.0577,1197,26.8949,0.0,110,93.3859,0.0,215,86.6667,0.0087,334,78.4187,-0.0036,809,42.8571,-0.0333,780,42.2107,0.015,234.0,87.9649,36.0071,27.8319,0.22,210,87.6551,-0.08,1107,30.4403,0.15,417,73.5537,0.3346,776,56.0907,61.9489,62.8079,61.1728
000768.XSHE,2016-01-06,2015,q4,1,-0.0062,1906,7.8374,-0.0077,1817,11.198,-0.0142,1685,15.4618,-0.0268,1553,17.6658,-0.0284,1015,45.9488,0.0,91,94.7977,0.0,185,89.0995,0.0071,254,84.402,-0.0133,979,35.2747,-0.0121,628,56.8479,-0.0036,1426.0,31.8508,28.4621,17.5565,0.18,257,85.6099,-0.12,1246,25.5828,0.11,499,69.9638,0.2909,837,55.4371,58.4698,43.5728,41.3916
000768.XSHE,2016-01-06,2015,q4,3,-0.0062,1901,7.9011,-0.0077,1828,10.6601,-0.0179,1736,12.7702,-0.0268,1548,17.8002,-0.0284,1014,45.9445,0.0,95,94.5444,0.0,185,89.0736,0.0071,250,84.5725,-0.0133,946,36.8737,-0.0121,627,56.7082,-0.0036,1425.0,31.6699,27.8211,16.6877,0.18,260,85.4002,-0.12,1238,25.8393,0.11,498,69.9335,0.2909,848,54.7059,58.4825,43.1735,40.9468
