order_book_id,date,fiscal_year,report_period,report_range,profit_chg_1w,profit_chg_1w_rank,profit_chg_1w_sco,profit_chg_2w,profit_chg_2w_rank,profit_chg_2w_sco,profit_chg_1m,profit_chg_1m_rank,profit_chg_1m_sco,profit_chg_2m,profit_chg_2m_rank,profit_chg_2m_sco,profit_chg_3m,profit_chg_3m_rank,profit_chg_3m_sco,op_reven_chg_1w,op_reven_chg_1w_rank,op_reven_chg_1w_sco,op_reven_chg_2w,op_reven_chg_2w_rank,op_reven_chg_2w_sco,op_reven_chg_1m,op_reven_chg_1m_rank,op_reven_chg_1m_sco,op_reven_chg_2m,op_reven_chg_2m_rank,op_reven_chg_2m_sco,op_reven_chg_3m,op_reven_chg_3m_rank,op_reven_chg_3m_sco,ty_est_dev,ty_est_dev_rank,ty_est_dev_sco,est_em_bic_sco,est_em_non_bic_sco,grd_em_1m,grd_em_1m_rank,grd_em_1m_sco,grd_em_2m,grd_em_2m_rank,grd_em_2m_sco,grd_em_3m,grd_em_3m_rank,grd_em_3m_sco,targ_price_space,targ_price_space_rank,targ_price_space_sco,grd_em_sco,ana_em_bic_sco,ana_em_non_bic_sco
000825.XSHE,2016-01-04,2015,q4,1,0.0,375,81.7294,0.0,465,77.109,0.0,574,71.1626,-0.2485,1856,0.961,-0.2723,1793,4.0685,0.0,119,93.0913,0.0,207,87.6794,0.0,345,78.7916,-0.035,1170,22.0667,-0.0711,1088,24.9309,-0.1062,2069.0,3.948,48.7733,45.6387,0.08,396,77.6836,0.08,508,69.3285,-0.17,1224,25.6083,0.2573,1099,40.7127,63.9265,35.9382,35.3113
000825.XSHE,2016-01-04,2015,q4,3,0.0,331,83.8788,0.0,433,78.6667,0.0,567,71.4718,-0.2485,1853,1.0684,-0.2723,1791,4.0729,0.0,108,93.7096,0.0,199,88.1437,0.0,344,78.7485,-0.035,1152,22.9585,-0.0711,1083,25.0693,-0.1062,2066.0,4.0428,49.3776,46.2906,0.08,398,77.5071,0.08,491,70.285,-0.17,1222,25.5488,0.2573,1153,37.7297,64.2266,35.2526,34.6352
000825.XSHE,2016-01-04,2016,q4,1,0.0,484,77.0,0.0,581,72.0751,0.0,687,66.2235,-0.0261,1426,25.6263,-0.0902,1647,13.7768,0.0,125,92.7739,0.0,232,86.25,0.0,409,74.954,-0.0289,1094,27.4718,-0.0325,838,42.236,-0.0503,1876.0,11.9305,53.7855,51.0476,0.08,399,78.0837,0.08,513,69.8646,-0.17,1257,25.6805,0.2573,1122,41.031,64.3154,39.5086,38.9611
000825.XSHE,2016-01-04,2016,q4,3,0.0,423,79.8856,0.0,541,73.9759,0.0,660,67.4568,-0.0261,1424,25.6142,-0.0902,1646,13.7389,0.0,121,92.9783,0.0,224,86.7104,0.0,405,75.0617,-0.0289,1085,27.7333,-0.0325,838,42.036,-0.0503,1880.0,11.5765,54.6439,52.0789,0.08,401,77.9006,0.08,496,70.7792,-0.17,1252,25.7126,0.2573,1176,38.0927,64.6144,38.7524,38.2394
000825.XSHE,2016-01-04,2017,q4,1,0.0,346,81.8325,0.0,433,76.9231,0.0,638,64.8455,-0.0359,1322,21.8805,-0.1058,1406,14.2247,0.0,123,92.561,0.0,230,85.7143,0.0,402,74.1624,-0.0278,1003,29.5359,-0.0148,675,50.1848,-0.0123,1434.0,26.0578,54.0928,51.0081,0.08,386,77.2727,0.08,494,68.9547,-0.17,1162,26.145,0.2573,1058,39.9432,63.72,43.3629,42.7459
000825.XSHE,2016-01-04,2017,q4,3,0.0,295,84.4855,0.0,397,78.7895,0.0,624,65.4465,-0.0359,1310,22.0833,-0.1058,1398,14.347,0.0,116,92.9577,0.0,222,86.1789,0.0,401,74.0765,-0.0278,986,30.2902,-0.0148,675,49.9257,-0.0123,1418.0,26.5422,54.8572,51.9001,0.08,388,77.087,0.08,477,69.9495,-0.17,1158,26.2117,0.2573,1106,37.1445,64.0569,42.8888,42.2974
000825.XSHE,2016-01-05,2015,q4,1,0.0,352,82.9197,0.0,438,78.5363,0.0,582,70.7452,-0.1938,1848,1.5983,-0.2723,1792,4.1221,0.0,104,94.0186,0.0,193,88.585,0.0,351,78.4084,0.0,479,68.2392,-0.0711,1086,25.0173,-0.1062,1994.0,4.0905,51.0623,46.1145,0.08,402,77.3446,0.08,502,69.8193,-0.17,1215,26.2902,0.1837,1493,19.7418,64.1236,30.1869,29.1973
000825.XSHE,2016-01-05,2015,q4,3,0.0,372,81.9113,0.0,441,78.3358,0.0,592,70.1967,-0.2485,1856,1.0667,-0.2723,1790,4.1265,0.0,106,93.8776,0.0,196,88.3513,0.0,348,78.4873,-0.035,1159,22.49,-0.0711,1085,24.9827,-0.1062,1987.0,4.2892,48.8475,45.65,0.08,409,76.8839,0.08,494,70.1574,-0.17,1215,26.0658,0.1837,1497,19.2661,64.0297,29.642,29.0025
000825.XSHE,2016-01-05,2016,q4,1,0.0,454,78.5308,0.0,574,72.5443,0.0,697,65.7312,0.002,668,65.2966,-0.0902,1644,13.9791,0.0,111,93.6416,0.0,218,87.1598,0.0,415,74.57,0.0,556,63.2937,-0.0325,835,42.4033,-0.0504,1886.0,11.5854,64.8973,63.0682,0.08,405,77.7778,0.08,508,70.2988,-0.17,1249,26.3282,0.1837,1528,20.0524,64.4963,35.3701,35.0042
000825.XSHE,2016-01-05,2016,q4,3,0.0,453,78.5069,0.0,557,73.2821,0.0,676,66.6667,-0.0261,1426,25.6263,-0.0902,1643,13.9413,0.0,112,93.5577,0.0,223,86.8014,0.0,416,74.3669,-0.0289,1093,27.2,-0.0325,836,42.2145,-0.0504,1884.0,11.5132,54.2369,51.5891,0.08,412,77.3304,0.08,500,70.6125,-0.17,1248,26.1256,0.1837,1533,19.5378,64.4023,33.0431,32.5136
