order_book_id,date,report_year,report_period,info_classification,institute,info_summary,report_date,title,author,est_profit,report_date_last,title_last,est_profit_last,info_date,report_type,forecast_profit_max,forecast_profit_min,profit,profit_q,forecast_profit_growth_limit,profit_growth,forcast_profit_growth_limit_q,profit_growth_q,fin_report_date_last,fin_report_type_last,forecast_profit_max_last,forecast_profit_min_last,profit_last,con_calc_date,con_profit,con_calc_date_last,con_profit_last,con_profit_q_last,con_profit_gr_last,con_profit_gr_q_last,expect_rate,rice_create_tm,create_tm
000630.XSHE,2011-07-15,2011,q2,1502,,2011-07-15发布的业绩预告同比增速超出一致预期2011同比增速,,,,,,,,2011-07-15,performance_forecast,710000000.0000,670000000.0000,,,0.6418,,,,,,,,,,,2011-07-14,1467872473.0184,,0.6207,,0.0212,2021-04-12 11:01:47,2021-04-12 11:01:47
000630.XSHE,2011-07-15,2011,q2,1504,,2011-07-15发布的业绩预告同比增速超出2011一致预期同比增速,,,,,,,,2011-07-15,performance_forecast,710000000.0000,670000000.0000,,,,,0.9547,,,,,,,,,2011-07-14,,339315864.0685,,0.7037,0.2510,2021-04-12 11:01:47,2021-04-12 11:01:47
000630.XSHE,2011-08-30,2011,q2,1405,,2011-08-30发布的财报中，2季度净利润增速超出机构的一致预期,,,,,,,,2011-08-30,financial_reports,,,,420943768.9700,,,,1.1136,,,,,,,,2011-08-29,,343199563.8686,,,0.2265,2021-04-12 11:01:47,2021-04-12 11:01:47
000630.XSHE,2011-08-30,2011,q2,1501,,2011-08-30发布的财报净利润同比增速超出一致预期2011同比增速,,,,,,,,2011-08-30,financial_reports,,,701640243.6800,,,0.7194,,,,,,,,,,2011-08-29,1481436595.3679,,0.6356,,0.0837,2021-04-12 11:01:47,2021-04-12 11:01:47
000630.XSHE,2011-08-30,2011,q2,1503,,2011-08-30发布的财报净利润同比增速超出2011一致预期同比增速,,,,,,,,2011-08-30,financial_reports,,,,420943768.9700,,,,1.1136,,,,,,,,2011-08-29,,343199563.8686,,0.7232,0.3904,2021-04-12 11:01:47,2021-04-12 11:01:47
000630.XSHE,2011-10-31,2011,q3,1405,,2011-10-31发布的财报中，3季度净利润增速超出机构的一致预期,,,,,,,,2011-10-31,financial_reports,,,,333585733.3300,,,,0.7241,,,,,,,,2011-10-28,,315468787.1924,,,0.0574,2021-04-12 11:01:47,2021-04-12 11:01:47
000630.XSHE,2011-10-31,2011,q3,1501,,2011-10-31发布的财报净利润同比增速超出一致预期2011同比增速,,,,,,,,2011-10-31,financial_reports,,,1035225977.0100,,,0.7209,,,,,,,,,,2011-10-28,1513029550.6966,,0.6705,,0.0504,2021-04-12 11:01:47,2021-04-12 11:01:47
000630.XSHE,2011-10-31,2011,q3,1503,,2011-10-31发布的财报净利润同比增速超出2011一致预期同比增速,,,,,,,,2011-10-31,financial_reports,,,,333585733.3300,,,,0.7241,,,,,,,,2011-10-28,,315468787.1924,,0.6305,0.0936,2021-04-12 11:01:47,2021-04-12 11:01:47
000630.XSHE,2013-09-01,2013,q4,1302,长江证券,长江证券2013-09-01发布的报告研报摘要中含有超预期信息,2013-09-01,铜陵有色：公司未来看点在资源储量的持续扩张,葛军,607500000.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-12 11:01:47,2021-04-12 11:01:47
000630.XSHE,2015-08-29,2015,q2,1201,,近5个交易日内，该股一致预期净利润被大幅调高,,,,,,,,,,,,,,,,,,,,,,,2015-09-08,730770000.0000,2015-08-28,535396046.3600,,,,0.3649,2021-04-12 11:01:47,2021-04-12 11:01:47
