time,expiry,type,k1,k2,k3,min_profit,max_profit,leg1,leg2,leg3
2026-03-27 09:30:00,202604,P,4200.0,4350.0,4400.0,6.5,44.0,IO2604P4200,IO2604P4350,IO2604P4400
2026-03-27 09:30:00,202604,P,4250.0,4350.0,4400.0,6.3333,39.6667,IO2604P4250,IO2604P4350,IO2604P4400
2026-03-27 09:30:00,202604,P,4150.0,4350.0,4400.0,4.8,44.8,IO2604P4150,IO2604P4350,IO2604P4400
2026-03-27 09:30:00,202604,P,4250.0,4350.0,4500.0,4.44,64.44,IO2604P4250,IO2604P4350,IO2604P4500
2026-03-27 09:30:00,202604,P,4200.0,4350.0,4500.0,4.3,79.3,IO2604P4200,IO2604P4350,IO2604P4500
2026-03-27 09:30:00,202604,P,4100.0,4350.0,4400.0,2.5,44.1667,IO2604P4100,IO2604P4350,IO2604P4400
2026-03-27 09:30:00,202604,P,4250.0,4350.0,4450.0,2.0,52.0,IO2604P4250,IO2604P4350,IO2604P4450
2026-03-27 09:30:00,202604,P,4200.0,4350.0,4450.0,1.4,61.4,IO2604P4200,IO2604P4350,IO2604P4450
2026-03-27 09:30:00,202604,P,4050.0,4350.0,4400.0,1.4,44.2571,IO2604P4050,IO2604P4350,IO2604P4400
2026-03-27 09:30:00,202604,P,4000.0,4100.0,4150.0,0.6667,34.0,IO2604P4000,IO2604P4100,IO2604P4150
2026-03-27 09:30:00,202604,P,4000.0,4350.0,4400.0,0.625,44.375,IO2604P4000,IO2604P4350,IO2604P4400
2026-03-27 09:30:00,202604,P,3950.0,4100.0,4150.0,0.5,38.0,IO2604P3950,IO2604P4100,IO2604P4150
2026-03-27 09:30:00,202604,P,4150.0,4350.0,4500.0,0.3429,86.0571,IO2604P4150,IO2604P4350,IO2604P4500
