time,option_type,k1,k2,t1,t2,leg1_buy,leg2_buy,leg1_sell,leg2_sell,cost,revenue,score
2026-04-02 11:27:00,P,4000.0,5200.0,15,169,IO2604P4000,IO2609P5200,IO2609P4000,IO2604P5200,901.1765311895109,819.5771457479897,2.8947964611054062
2026-04-02 11:27:00,P,4000.0,4800.0,15,169,IO2604P4000,IO2609P4800,IO2609P4000,IO2604P4800,541.6628744879381,422.1771457479897,2.6198170904789158
2026-04-02 09:30:00,P,4200.0,5200.0,15,169,IO2604P4200,IO2609P5200,IO2609P4200,IO2604P5200,919.630650758729,800.1192096171875,2.6047115236606064
2026-04-02 09:43:00,P,4100.0,4800.0,15,169,IO2604P4100,IO2609P4800,IO2609P4100,IO2604P4800,524.5867688437248,416.0507145373957,2.562665357297982
2026-04-02 14:13:00,P,4000.0,4800.0,15,169,IO2604P4000,IO2609P4800,IO2609P4000,IO2604P4800,574.1956365561765,461.0177354249033,2.5550566695017918
2026-04-02 09:30:00,P,4200.0,5000.0,15,169,IO2604P4200,IO2609P5000,IO2609P4200,IO2604P5000,736.459446897369,614.5192096171876,2.5100510285218194
2026-04-02 11:27:00,P,4000.0,4700.0,15,169,IO2604P4000,IO2609P4700,IO2609P4000,IO2604P4700,459.1153253793645,325.5771457479897,2.449035891347854
2026-04-02 10:30:00,P,4100.0,4800.0,15,169,IO2604P4100,IO2609P4800,IO2609P4100,IO2604P4800,536.8349690850598,430.85832510181706,2.4309943575254356
2026-04-02 09:30:00,P,4200.0,4900.0,15,169,IO2604P4200,IO2609P4900,IO2609P4200,IO2604P4900,628.203658650359,515.1192096171876,2.427147481263808
2026-04-02 13:23:00,P,4100.0,4800.0,15,169,IO2604P4100,IO2609P4800,IO2609P4100,IO2604P4800,561.3322151859988,468.9149815258424,2.3764776105782692
2026-04-02 09:37:00,P,4200.0,4800.0,15,169,IO2604P4200,IO2609P4800,IO2609P4200,IO2604P4800,530.9994531177604,451.39616087966976,2.321321632219924
2026-04-02 09:43:00,P,4200.0,4800.0,15,169,IO2604P4200,IO2609P4800,IO2609P4200,IO2604P4800,527.7867688437248,447.3826309873652,2.3143512867829057
2026-04-02 09:30:00,P,4200.0,4800.0,15,169,IO2604P4200,IO2609P4800,IO2609P4200,IO2604P4800,538.6265129023694,416.91920961718756,2.3089846197761545
2026-04-02 14:13:00,P,4100.0,4800.0,15,169,IO2604P4100,IO2609P4800,IO2609P4100,IO2604P4800,577.5956365561765,488.73443074603017,2.2797769528039433
2026-04-02 10:30:00,P,4100.0,4700.0,15,169,IO2604P4100,IO2609P4700,IO2609P4100,IO2604P4700,453.8857287399483,334.458325101817,2.249489740055221
2026-04-02 09:30:00,P,4200.0,4700.0,15,169,IO2604P4200,IO2609P4700,IO2609P4200,IO2604P4700,458.08741997648633,329.91920961718756,2.131032049402133
2026-04-02 13:05:00,P,4200.0,4800.0,15,169,IO2604P4200,IO2609P4800,IO2609P4200,IO2604P4800,559.5060010196587,496.64520673927376,2.1199959664698516
2026-04-02 13:02:00,P,4200.0,4800.0,15,169,IO2604P4200,IO2609P4800,IO2609P4200,IO2604P4800,557.0958536004302,494.03928741139055,2.1113212144806477
2026-04-02 13:21:00,P,4200.0,4800.0,15,169,IO2604P4200,IO2609P4800,IO2609P4200,IO2604P4800,569.1423626052272,508.06550157773063,2.079235596772066
2026-04-02 09:39:00,P,4100.0,5100.0,15,78,IO2604P4100,IO2606P5100,IO2606P4100,IO2604P5100,688.778858173975,654.8749742742534,2.072380012284564
2026-04-02 14:04:00,P,4000.0,5200.0,15,78,IO2604P4000,IO2606P5200,IO2606P4000,IO2604P5200,839.0379858499659,806.8732467564134,2.0674592502637426
2026-04-02 14:04:00,P,4000.0,5100.0,15,78,IO2604P4000,IO2606P5100,IO2606P4000,IO2604P5100,742.2711076266278,707.6732467564135,2.0519810140744794
2026-04-02 11:27:00,P,4300.0,5200.0,15,169,IO2604P4300,IO2609P5200,IO2609P4300,IO2604P5200,917.3765311895108,919.9999548825072,2.0504064248084033
2026-04-02 14:37:00,P,4000.0,5200.0,15,78,IO2604P4000,IO2606P5200,IO2606P4000,IO2604P5200,827.4182921465906,792.0691007135975,2.049931136819172
2026-04-02 09:39:00,P,4100.0,5000.0,15,78,IO2604P4100,IO2606P5000,IO2606P4100,IO2604P5000,594.4161259934527,556.0749742742535,2.042730130680591
2026-04-02 09:43:00,P,4100.0,4600.0,15,169,IO2604P4100,IO2609P4600,IO2609P4100,IO2604P4600,366.32042164772514,233.2507145373957,2.0398152422156555
2026-04-02 14:37:00,P,4000.0,5100.0,15,78,IO2604P4000,IO2606P5100,IO2606P4000,IO2604P5100,730.4510684196845,692.2691007135976,2.0342794473077053
2026-04-02 14:39:00,P,4200.0,4800.0,15,169,IO2604P4200,IO2609P4800,IO2609P4200,IO2604P4800,573.959274970608,514.0756489969591,2.0330941957346047
2026-04-02 10:13:00,P,4200.0,4700.0,15,169,IO2604P4200,IO2609P4700,IO2609P4200,IO2604P4700,453.46966199283656,359.7868590787104,2.0304166254468745
2026-04-02 14:04:00,P,4000.0,5000.0,15,78,IO2604P4000,IO2606P5000,IO2606P4000,IO2604P5000,647.1069934318334,608.8732467564134,2.028337818408809
2026-04-02 14:37:00,P,4000.0,5000.0,15,78,IO2604P4000,IO2606P5000,IO2606P4000,IO2604P5000,634.8862632177542,593.2691007135976,2.0099241553937772
2026-04-02 09:30:00,P,4000.0,5200.0,43,169,IO2605P4000,IO2609P5200,IO2609P4000,IO2605P5200,923.532966117977,757.6759499958218,2.0080924096937647
