time,expiry,type,k1,k2,k3,min_profit,max_profit,leg1,leg2,leg3
2026-03-24 09:30:00,202604,P,7500.0,7700.0,7800.0,42.6667,109.3333,MO2604P7500,MO2604P7700,MO2604P7800
2026-03-24 09:30:00,202604,P,7400.0,7700.0,7800.0,33.8,108.8,MO2604P7400,MO2604P7700,MO2604P7800
2026-03-24 09:30:00,202604,P,7300.0,7700.0,7800.0,24.0,104.0,MO2604P7300,MO2604P7700,MO2604P7800
2026-03-24 09:30:00,202604,P,7600.0,7700.0,7800.0,22.0,72.0,MO2604P7600,MO2604P7700,MO2604P7800
2026-03-24 09:30:00,202604,P,7100.0,7700.0,7800.0,21.2286,106.9429,MO2604P7100,MO2604P7700,MO2604P7800
2026-03-24 09:30:00,202604,P,7200.0,7700.0,7800.0,21.2,104.5333,MO2604P7200,MO2604P7700,MO2604P7800
2026-03-24 09:30:00,202604,P,7000.0,7700.0,7800.0,21.0,108.5,MO2604P7000,MO2604P7700,MO2604P7800
2026-03-24 09:30:00,202604,P,6900.0,7700.0,7800.0,20.1556,109.0444,MO2604P6900,MO2604P7700,MO2604P7800
2026-03-24 09:30:00,202604,P,6600.0,7700.0,7800.0,17.0833,108.75,MO2604P6600,MO2604P7700,MO2604P7800
2026-03-24 09:30:00,202604,P,6800.0,7700.0,7800.0,17.02,107.02,MO2604P6800,MO2604P7700,MO2604P7800
2026-03-24 09:30:00,202604,P,6900.0,7300.0,7500.0,17.0,150.3333,MO2604P6900,MO2604P7300,MO2604P7500
2026-03-24 09:30:00,202604,P,6600.0,7300.0,7500.0,16.3111,171.8667,MO2604P6600,MO2604P7300,MO2604P7500
2026-03-24 09:30:00,202604,P,6900.0,7300.0,7400.0,15.64,95.64,MO2604P6900,MO2604P7300,MO2604P7400
2026-03-24 09:30:00,202604,P,7000.0,7300.0,7500.0,15.2,135.2,MO2604P7000,MO2604P7300,MO2604P7500
2026-03-24 09:30:00,202604,P,6600.0,7300.0,7400.0,15.125,102.625,MO2604P6600,MO2604P7300,MO2604P7400
2026-03-24 09:30:00,202604,P,7000.0,7300.0,7400.0,14.6,89.6,MO2604P7000,MO2604P7300,MO2604P7400
2026-03-24 09:30:00,202604,P,6700.0,7700.0,7800.0,14.2727,105.1818,MO2604P6700,MO2604P7700,MO2604P7800
2026-03-24 09:30:00,202604,P,6800.0,7300.0,7400.0,12.2333,95.5667,MO2604P6800,MO2604P7300,MO2604P7400
2026-03-24 09:30:00,202604,P,6800.0,7300.0,7500.0,11.2571,154.1143,MO2604P6800,MO2604P7300,MO2604P7500
2026-03-24 09:30:00,202604,P,7100.0,7300.0,7400.0,10.8667,77.5333,MO2604P7100,MO2604P7300,MO2604P7400
2026-03-24 09:30:00,202604,P,6700.0,7300.0,7400.0,9.5143,95.2286,MO2604P6700,MO2604P7300,MO2604P7400
2026-03-24 09:30:00,202604,P,7100.0,7300.0,7500.0,9.5,109.5,MO2604P7100,MO2604P7300,MO2604P7500
2026-03-24 09:30:00,202604,P,6700.0,7300.0,7500.0,6.45,156.45,MO2604P6700,MO2604P7300,MO2604P7500
2026-03-24 09:30:00,202604,P,7500.0,7600.0,7800.0,5.7333,72.4,MO2604P7500,MO2604P7600,MO2604P7800
2026-03-24 09:30:00,202604,P,7800.0,7900.0,8300.0,4.04,84.04,MO2604P7800,MO2604P7900,MO2604P8300
2026-03-24 09:30:00,202604,P,7200.0,7300.0,7400.0,2.4,52.4,MO2604P7200,MO2604P7300,MO2604P7400
