order_book_id,date,open_interest,prev_close,contract_multiplier,limit_up,volume,low,strike_price,prev_settlement,high,limit_down,day_session_open,total_turnover,settlement,open,close
10005783,2024-01-02,23286.0,0.0808,10000.0,0.4206,7968.0,0.0603,3.6,0.0808,0.0819,0.0001,0.0819,5350303.0,0.0603,0.0819,0.0603
10005783,2024-01-03,23672.0,0.0603,10000.0,0.3909,9290.0,0.054,3.6,0.0603,0.0629,0.0001,0.0592,5338255.0,0.0565,0.0592,0.0565
10005783,2024-01-04,26042.0,0.0565,10000.0,0.3851,15254.0,0.0424,3.6,0.0565,0.059,0.0001,0.059,7248678.0,0.0478,0.059,0.0478
10005783,2024-01-05,26692.0,0.0478,10000.0,0.3704,13169.0,0.0405,3.6,0.0478,0.0532,0.0001,0.0459,6041685.0,0.0425,0.0459,0.0429
10005783,2024-01-08,27690.0,0.0429,10000.0,0.3617,17861.0,0.0357,3.6,0.0425,0.0445,0.0001,0.041,6996653.0,0.0358,0.041,0.0358
10005783,2024-01-09,30858.0,0.0358,10000.0,0.3456,13096.0,0.0334,3.6,0.0358,0.0395,0.0001,0.0364,4783020.0,0.034,0.0364,0.034
10005783,2024-01-10,31869.0,0.034,10000.0,0.3454,11888.0,0.0312,3.6,0.034,0.0387,0.0001,0.034,4064377.0,0.0317,0.034,0.0317
10005783,2024-01-11,31979.0,0.0317,10000.0,0.3399,10605.0,0.0309,3.6,0.0317,0.0398,0.0001,0.0325,3725520.0,0.0362,0.0325,0.0362
10005783,2024-01-12,31794.0,0.0362,10000.0,0.3482,8892.0,0.033,3.6,0.0362,0.041,0.0001,0.034,3226470.0,0.0345,0.034,0.0345
10005783,2024-01-15,30387.0,0.0345,10000.0,0.3443,10455.0,0.0289,3.6,0.0345,0.0366,0.0001,0.0326,3327804.0,0.0297,0.0326,0.0297
10005783,2024-01-16,30692.0,0.0297,10000.0,0.3387,12244.0,0.024,3.6,0.0297,0.0319,0.0001,0.0293,3481102.0,0.0316,0.0293,0.0316
10005783,2024-01-17,30044.0,0.0316,10000.0,0.345,17587.0,0.0213,3.6,0.0316,0.0301,0.0001,0.0301,4418872.0,0.0219,0.0301,0.0219
