time,option_type,k1,k2,t1,t2,score0,peak_score,ttl_min,ttl_improve1,n_tracked,resolved,exit_reason,leg1_buy,leg2_buy,leg1_sell,leg2_sell
2026-03-23 09:36:00,P,4100.0,5200.0,25,361,2.2957818931564926,2.2957818931564926,,,90,False,timeout_90min,IO2604P4100,IO2703P5200,IO2703P4100,IO2604P5200
2026-03-23 09:36:00,P,4100.0,5000.0,25,361,2.181821197212565,2.181821197212565,,,90,False,timeout_90min,IO2604P4100,IO2703P5000,IO2703P4100,IO2604P5000
2026-03-23 10:59:00,P,4100.0,5200.0,25,270,2.16791331143551,2.16791331143551,,,41,False,session_end,IO2604P4100,IO2612P5200,IO2612P4100,IO2604P5200
2026-03-23 09:45:00,P,4100.0,5200.0,25,270,2.146299398007045,2.167913383589548,,,90,False,timeout_90min,IO2604P4100,IO2612P5200,IO2612P4100,IO2604P5200
2026-03-23 09:52:00,P,4100.0,5200.0,25,270,2.131496654235294,2.167913383589548,,,90,False,timeout_90min,IO2604P4100,IO2612P5200,IO2612P4100,IO2604P5200
2026-03-23 11:26:00,P,4100.0,5200.0,25,361,2.1292088168579184,2.1292088168579184,,,14,False,session_end,IO2604P4100,IO2703P5200,IO2703P4100,IO2604P5200
2026-03-23 10:51:00,P,4100.0,5200.0,25,270,2.126701893035189,2.167913383589548,,,49,False,session_end,IO2604P4100,IO2612P5200,IO2612P4100,IO2604P5200
2026-03-23 09:36:00,P,4100.0,4900.0,25,361,2.0958756766991544,2.0958756766991544,,,90,False,timeout_90min,IO2604P4100,IO2703P4900,IO2703P4100,IO2604P4900
2026-03-23 11:03:00,P,4100.0,5000.0,25,270,2.0730757101176045,2.0730757101176045,,,37,False,session_end,IO2604P4100,IO2612P5000,IO2612P4100,IO2604P5000
2026-03-23 10:59:00,P,4100.0,5000.0,25,270,2.0649926759368973,2.073075750014574,,,41,False,session_end,IO2604P4100,IO2612P5000,IO2612P4100,IO2604P5000
2026-03-23 09:45:00,P,4100.0,5000.0,25,270,2.03808539283022,2.073075750014574,,,90,False,timeout_90min,IO2604P4100,IO2612P5000,IO2612P4100,IO2604P5000
2026-03-23 10:49:00,P,4100.0,5000.0,25,270,2.0358023297566863,2.073075750014574,,,51,False,session_end,IO2604P4100,IO2612P5000,IO2612P4100,IO2604P5000
2026-03-23 09:53:00,P,4100.0,5000.0,25,270,2.033589556324557,2.073075750014574,,,90,False,timeout_90min,IO2604P4100,IO2612P5000,IO2612P4100,IO2604P5000
2026-03-23 10:51:00,P,4100.0,5000.0,25,270,2.027376292173489,2.073075750014574,,,49,False,session_end,IO2604P4100,IO2612P5000,IO2612P4100,IO2604P5000
2026-03-23 09:52:00,P,4100.0,5000.0,25,270,2.024826534378036,2.073075750014574,,,90,False,timeout_90min,IO2604P4100,IO2612P5000,IO2612P4100,IO2604P5000
2026-03-23 10:13:00,P,4100.0,5200.0,25,179,2.0147414753526576,2.0147414753526576,,,87,False,timeout_60min,IO2604P4100,IO2609P5200,IO2609P4100,IO2604P5200
2026-03-23 09:52:00,P,4200.0,5200.0,25,361,2.0039651440380832,2.0039651440380832,,,90,False,timeout_90min,IO2604P4200,IO2703P5200,IO2703P4200,IO2604P5200
2026-03-23 10:09:00,P,4200.0,5200.0,25,270,2.002248167747497,2.002248167747497,,,90,False,timeout_90min,IO2604P4200,IO2612P5200,IO2612P4200,IO2604P5200
2026-03-23 11:09:00,P,4100.0,5000.0,25,270,2.0003784092190724,2.0003784092190724,,,31,False,session_end,IO2604P4100,IO2612P5000,IO2612P4100,IO2604P5000
2026-03-23 11:03:00,P,4100.0,4900.0,25,270,1.989083614566735,1.989083614566735,,,37,False,session_end,IO2604P4100,IO2612P4900,IO2612P4100,IO2604P4900
2026-03-23 09:36:00,P,4100.0,4800.0,25,361,1.980336731227106,1.980336731227106,,,90,False,timeout_90min,IO2604P4100,IO2703P4800,IO2703P4100,IO2604P4800
2026-03-23 09:53:00,P,4100.0,4900.0,25,270,1.9581969768951548,1.9890836779804681,,,90,False,timeout_90min,IO2604P4100,IO2612P4900,IO2612P4100,IO2604P4900
2026-03-23 10:49:00,P,4100.0,4900.0,25,270,1.9573551595196563,1.9890836779804681,,,51,False,session_end,IO2604P4100,IO2612P4900,IO2612P4100,IO2604P4900
2026-03-23 09:45:00,P,4100.0,4900.0,25,270,1.956369488518024,1.9890836779804681,,,90,False,timeout_90min,IO2604P4100,IO2612P4900,IO2612P4100,IO2604P4900
2026-03-23 11:03:00,P,4100.0,5200.0,25,179,1.9529484490993048,1.9529484490993048,,,37,False,session_end,IO2604P4100,IO2609P5200,IO2609P4100,IO2604P5200
2026-03-23 09:36:00,P,4100.0,5200.0,25,179,1.9452379193728808,2.0147415137925937,,,90,False,timeout_90min,IO2604P4100,IO2609P5200,IO2609P4100,IO2604P5200
2026-03-23 11:09:00,P,4100.0,4900.0,25,270,1.923384525887318,1.923384525887318,,,31,False,session_end,IO2604P4100,IO2612P4900,IO2612P4100,IO2604P4900
2026-03-23 09:53:00,P,4100.0,5200.0,25,179,1.909354144721024,2.0147415137925937,,,90,False,timeout_90min,IO2604P4100,IO2609P5200,IO2609P4100,IO2604P5200
2026-03-23 11:03:00,P,4100.0,4800.0,25,270,1.875167629127276,1.875167629127276,,,37,False,session_end,IO2604P4100,IO2612P4800,IO2612P4100,IO2604P4800
2026-03-23 10:29:00,P,4100.0,5000.0,25,179,1.8731713583871437,1.8731713583871437,,,71,False,timeout_60min,IO2604P4100,IO2609P5000,IO2609P4100,IO2604P5000
2026-03-23 11:09:00,P,4100.0,5200.0,25,179,1.863310941095056,1.863310941095056,,,31,False,session_end,IO2604P4100,IO2609P5200,IO2609P4100,IO2604P5200
