time,option_type,score0,k1,k2,t1,t2,entry_pnl_pts,exit_60min_gross_pts,exit_60min_net_rmb,exit_30min_gross_pts,exit_30min_net_rmb,exit_15min_gross_pts,exit_15min_net_rmb,exit_improve1_gross_pts,exit_improve1_net_rmb,exit_revert_gross_pts,exit_revert_net_rmb
2026-03-23 09:36:00,P,2.2957818931564926,4100.0,5200.0,25,361,-34.11377,,,,,,,,,,
2026-03-23 09:36:00,P,2.181821197212565,4100.0,5000.0,25,361,-60.13983,,,,,,,,,,
2026-03-23 10:59:00,P,2.16791331143551,4100.0,5200.0,25,270,-46.921204,,,,,,,,,,
2026-03-23 09:45:00,P,2.146299398007045,4100.0,5200.0,25,270,-48.484863,,,,,,,,,,
2026-03-23 09:52:00,P,2.131496654235294,4100.0,5200.0,25,270,-48.205322,,,,,,,,,,
2026-03-23 11:26:00,P,2.1292088168579184,4100.0,5200.0,25,361,-17.308228,,,,,,,,,,
2026-03-23 10:51:00,P,2.126701893035189,4100.0,5200.0,25,270,-33.89154,,,,,,,,,,
2026-03-23 09:36:00,P,2.0958756766991544,4100.0,4900.0,25,361,-74.98883,,,,,,,,,,
2026-03-23 11:03:00,P,2.0730757101176045,4100.0,5000.0,25,270,-72.70349,,,,,,,,,,
2026-03-23 10:59:00,P,2.0649926759368973,4100.0,5000.0,25,270,-64.316956,,,,,,,,,,
2026-03-23 09:45:00,P,2.03808539283022,4100.0,5000.0,25,270,-69.50354,,,,,,,,,,
2026-03-23 10:49:00,P,2.0358023297566863,4100.0,5000.0,25,270,-56.6792,,,,,,,,,,
2026-03-23 09:53:00,P,2.033589556324557,4100.0,5000.0,25,270,-63.425293,,,,,,,,,,
2026-03-23 10:51:00,P,2.027376292173489,4100.0,5000.0,25,270,-53.49945,,,,,,,,,,
2026-03-23 09:52:00,P,2.024826534378036,4100.0,5000.0,25,270,-68.21863,,,,,,,,,,
2026-03-23 10:13:00,P,2.0147414753526576,4100.0,5200.0,25,179,-54.17108,,,,,,,,,,
2026-03-23 09:52:00,P,2.0039651440380832,4200.0,5200.0,25,361,-9.610779,,,,,,,,,,
