order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,quarter_recommendation,half_year_target_price,one_year_recommendation,one_year_target_price,half_year_recommendation
000582.XSHE,2008-04-11,金元证券,,,3,3,2025-05-28 17:23:16,2008-04-16 15:25:23,3.0,,3.0,,
000582.XSHE,2008-04-25,国信证券,,,4,1,2025-05-28 17:23:13,2008-04-26 10:55:28,4.0,,,,
000582.XSHE,2008-05-12,大通证券,,,3,1,2025-05-28 17:28:51,2008-06-03 17:40:57,3.0,,,,
000582.XSHE,2008-08-22,银河证券,,,3,1,2025-05-28 17:24:33,2008-08-25 17:41:02,3.0,,,,
000582.XSHE,2008-09-12,金元证券,,,2,3,2025-05-28 17:23:21,2008-09-12 17:02:16,2.0,,2.0,,
000582.XSHE,2008-11-12,金元证券,,,2,3,2025-05-28 17:23:10,2008-11-12 17:48:19,3.0,,2.0,,
000582.XSHE,2009-04-29,金元证券,,,3,1,2025-05-28 17:28:57,2009-05-04 16:19:48,3.0,,,,
000582.XSHE,2009-08-03,东兴证券,,,3,1,2025-05-28 17:23:20,2009-08-04 17:49:33,3.0,,,,
000582.XSHE,2009-08-07,山西证券,,,3,1,2025-05-28 17:22:48,2009-08-11 15:07:17,3.0,,,,
000582.XSHE,2009-09-09,天相投顾,,,3,1,2025-05-28 17:28:16,2009-09-10 12:35:07,3.0,,,,
000582.XSHE,2009-09-23,东兴证券,,,3,1,2025-05-28 17:25:10,2009-09-23 18:08:37,3.0,,,,
000582.XSHE,2009-09-25,山西证券,,,3,1,2025-05-28 17:22:42,2009-10-13 12:35:58,3.0,,,,
000582.XSHE,2009-09-25,上海证券,,,3,1,2025-05-28 17:25:14,2009-09-26 12:05:31,3.0,,,,
000582.XSHE,2009-10-31,天相投顾,,,3,1,2025-05-28 17:28:44,2009-11-12 14:38:02,3.0,,,,
000582.XSHE,2009-11-11,国信证券,19.2500,M06,3,1,2025-05-28 04:52:38,2009-11-11 15:07:53,3.0,19.25,,,
000582.XSHE,2009-11-24,国信证券,,,3,1,2025-05-28 17:28:37,2009-11-24 18:07:51,3.0,,,,
000582.XSHE,2009-12-07,天相投顾,,,3,1,2025-05-28 17:26:08,2009-12-09 14:37:57,3.0,,,,
000582.XSHE,2009-12-11,东兴证券,,,3,1,2025-05-28 17:27:51,2009-12-31 17:08:00,3.0,,,,
000582.XSHE,2009-12-24,山西证券,,,3,1,2025-05-28 17:26:38,2009-12-30 17:38:04,3.0,,,,
000582.XSHE,2010-02-23,天相投顾,,,3,1,2025-05-28 17:26:54,2010-02-25 18:09:23,3.0,,,,
000582.XSHE,2010-04-10,山西证券,,,2,1,2025-05-28 17:27:32,2010-04-12 13:38:34,2.0,,,,
