order_book_id,quarter,info_date,cost_of_goods_sold,cash_flow_from_operating_activities,cash_flow_from_investing_activities,inventory,if_adjusted,total_liabilities,net_profit,intangible_assets,undistributed_profit,operating_expense,net_accts_receivable,total_assets,notes_payable,rice_create_tm,investment_income,current_liabilities,cash_flow_from_financing_activities,revenue,total_equity,operating_revenue,current_assets,net_fixed_assets,financing_expense
600398.XSHG,2010q1,2011-04-30,184293119.91,-17735512.04,-11175739.14,191649275.32,1,260589775.24,24713954.06,41983312.36,706312470.91,,131609376.17,2205792436.26,5000000.0,2022-01-06 09:22:37,,259189775.24,-531000.0,254833548.94,1945202661.02,254833548.94,1107006150.07,632603229.29,461190.87
600398.XSHG,2010q2,2011-10-28,362352858.31,7912464.62,-119949277.17,207871288.29,1,223452770.71,36059209.059999995,41745567.64,699055773.9,,131797853.21,2160602564.39,,2022-08-06 17:57:36,,222052770.71,-60076622.34,488327614.52,1937149793.68,488327614.52,1066911458.2,640335628.75,-6238525.9399999995
600398.XSHG,2010q3,2011-10-28,586163828.76,37706249.71,-131251605.71,196970039.76,1,231629584.04,65112686.73,41507822.93,727690483.44,,138523274.1,2197832855.39,,2022-01-06 09:22:37,,230229584.04,-60076622.34,799257903.15,1966203271.35,799257903.15,1120651187.06,627796668.89,-7104853.47
600398.XSHG,2010q4,2012-04-21,844613623.8,209737293.79,-44947261.24,217855729.52,1,424575690.84,84580138.56,41270078.21,738279874.72,,114483590.98,2410246414.02,,2022-01-06 09:22:37,1477808.22,423175690.84,-60076622.34,1146426871.54,1985670723.18,1146426871.54,1316558908.08,615426559.86,-3379181.53
600398.XSHG,2011q1,2012-04-27,215486249.61,-87752588.6,-18300906.87,268263525.2,1,306030592.42,33446547.46,41032333.49,772377721.34,,124611088.68,2325147863.06,,2022-01-06 09:22:37,,304630592.42,,312897917.48,2019117270.64,312897917.48,1238765015.86,600130215.3,-3134665.58
600398.XSHG,2011q2,2012-10-30,437075193.75999993,-50880174.39,-106413894.63,331564203.75,1,356380750.66,50030628.82,40794588.77,724904217.73,,147419786.31,2327421694.86,,2022-08-06 17:57:36,,354980750.66,-64660407.8,617396014.87,1971040944.2,617396014.87,1170646198.72,605689919.91,-7061975.930000001
600398.XSHG,2011q3,2012-10-30,735098928.05,49909433.54,-145453438.61,315306250.51,1,396218360.05,91419872.86,40556844.05,763263157.32,,137831079.45,2408648548.29,,2022-01-06 09:22:37,,394818360.05,-64660407.8,1037350013.74,2012430188.24,1037350013.74,1245736314.57,595618347.83,-9528737.31
600398.XSHG,2011q4,2013-04-23,975312879.8,275885513.47,-138639008.48,332211156.25,1,626476096.22,106495646.9,40319099.33,767357506.19,,122851656.92,2653982058.5,,2022-01-06 09:22:37,1327079.92,625076096.22,-64660407.8,1394961936.0,2027505962.28,1394961936.0,1478737880.37,739288398.33,-9046703.23
600398.XSHG,2012q1,2013-04-27,286235631.71,-86488571.55,-13534583.86,315870361.5,1,455983847.2,45499010.15,40081354.61,813457165.47,,146419115.76,2528988819.63,,2022-01-06 09:22:37,,454583847.2,,422814117.35,2073004972.43,422814117.35,1370205934.87,725083746.19,-6676756.38
600398.XSHG,2012q2,2013-10-30,474297840.71000004,15358994.42,-23396111.3,375999525.76,1,504101204.32,65719948.24000001,39843609.89,800488783.16,,117695597.28,2564996910.94,,2022-08-06 17:57:36,,502701204.32,-32330203.9,704794269.1800001,2060895706.62,704794269.1800001,1426590985.3,709310174.83,-12711450.15
