order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,quarter_recommendation,half_year_target_price,one_year_recommendation,one_year_target_price,half_year_recommendation
000429.XSHE,2006-01-04,国信证券,4.5156,,2,1,2024-07-15 17:47:37,2006-01-05 16:29:38,2.0,,,,
000429.XSHE,2006-02-12,光大证券,3.8209,,3,1,2024-07-15 17:48:03,2006-02-15 15:35:48,3.0,,,,
000429.XSHE,2006-02-16,国盛证券,4.5156,,2,1,2024-07-15 17:47:41,2006-02-17 17:50:47,2.0,,,,
000429.XSHE,2006-02-27,东方证券,,,3,1,2024-07-15 17:47:28,2006-03-02 09:24:19,3.0,,,,
000429.XSHE,2006-03-14,国信证券,4.3000,M06,1,1,2024-07-15 05:05:41,2006-03-15 14:41:13,1.0,4.3,,,
000429.XSHE,2006-03-14,广发证券,4.4750,M06,3,1,2024-07-15 05:05:42,2006-03-15 11:32:13,3.0,4.475,,,
000429.XSHE,2006-03-14,中金公司,,,3,1,2024-07-15 17:47:39,2006-03-14 16:29:12,3.0,,,,
000429.XSHE,2006-03-14,银河证券,4.3500,M06,3,1,2024-07-15 05:06:01,2006-03-16 13:47:13,3.0,4.35,,,
000429.XSHE,2006-03-16,招商证券,3.7500,M06,3,1,2024-07-15 05:06:01,2006-03-17 17:51:25,3.0,3.75,,,
000429.XSHE,2006-03-16,广发证券,,,3,1,2024-07-15 17:49:20,2006-03-17 10:11:13,3.0,,,,
000429.XSHE,2006-04-19,中金公司,,,3,1,2024-07-15 17:48:41,2006-04-19 14:41:24,3.0,,,,
000429.XSHE,2006-04-23,中信证券,12.0000,M06,1,1,2024-07-15 05:05:52,2006-04-25 16:02:20,1.0,12.0,,,
000429.XSHE,2006-04-24,中信建投,11.0000,M06,2,1,2024-07-15 05:05:48,2006-04-26 13:47:22,2.0,11.0,,,
000429.XSHE,2006-04-27,国信证券,,,1,1,2024-07-15 17:46:59,2006-07-12 15:08:37,1.0,,,,
000429.XSHE,2006-04-27,平安证券,,,3,1,2024-07-15 17:47:07,2006-04-28 13:20:33,3.0,,,,
000429.XSHE,2006-05-09,广发证券,,,3,1,2024-07-15 17:49:17,2006-05-09 16:02:28,3.0,,,,
000429.XSHE,2006-05-12,华泰证券,,,3,1,2024-07-15 17:47:33,2006-05-17 13:21:07,3.0,,,,
000429.XSHE,2006-05-26,华泰证券,,,3,1,2024-07-15 17:47:02,2006-05-27 11:32:31,3.0,,,,
000429.XSHE,2006-06-20,银河证券,,,1,1,2024-07-15 17:46:18,2006-06-22 17:51:12,1.0,,,,
000429.XSHE,2006-06-23,华泰证券,,,3,1,2024-07-15 17:49:21,2006-06-28 20:59:15,3.0,,,,
000429.XSHE,2006-07-10,国信证券,,,2,1,2024-07-15 17:46:07,2006-07-12 16:29:27,2.0,,,,
000429.XSHE,2006-07-27,华泰证券,,,3,1,2024-07-15 17:47:02,2006-07-29 11:32:59,3.0,,,,
000429.XSHE,2006-08-15,中金公司,,,3,1,2024-07-15 17:47:37,2006-08-16 15:40:37,3.0,,,,
000429.XSHE,2006-08-23,华泰证券,,,3,1,2024-07-15 17:46:01,2006-08-24 16:10:25,3.0,,,,
000429.XSHE,2006-08-23,中金公司,3.6800,M06,3,1,2024-07-15 05:05:41,2006-08-23 17:41:20,3.0,3.68,,,
000429.XSHE,2006-08-23,招商证券,4.3500,M06,2,1,2024-07-15 05:06:00,2006-08-23 17:41:20,2.0,4.35,,,
000429.XSHE,2006-08-24,天相投顾,,,2,1,2024-07-15 17:45:59,2006-08-25 11:40:26,2.0,,,,
000429.XSHE,2006-08-30,华泰证券,,,3,1,2024-07-15 17:47:02,2006-08-31 15:40:30,3.0,,,,
000429.XSHE,2006-08-30,平安证券,,,1,1,2024-07-15 17:48:12,2006-08-31 17:40:53,1.0,,,,
000429.XSHE,2006-09-08,广发证券,,,3,1,2024-07-15 17:47:37,2006-09-08 17:40:47,3.0,,,,
000429.XSHE,2006-09-12,天相投顾,,,2,1,2024-07-15 17:46:32,2006-09-14 11:10:25,2.0,,,,
000429.XSHE,2006-09-22,华泰证券,,,3,1,2024-07-15 17:49:11,2006-09-26 16:10:37,3.0,,,,
000429.XSHE,2006-10-30,中金公司,,,3,1,2024-07-15 17:46:53,2006-10-31 17:41:41,3.0,,,,
000429.XSHE,2006-10-30,华泰证券,,,3,1,2024-07-15 17:46:55,2006-11-01 15:40:58,3.0,,,,
000429.XSHE,2006-10-31,华泰证券,,,3,1,2024-07-15 17:47:57,2006-11-03 16:40:55,3.0,,,,
