order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,quarter_recommendation,half_year_target_price,one_year_target_price,half_year_recommendation,one_year_recommendation
000623.XSHE,2006-01-17,国泰海通证券,8.1120,,2,1,2024-11-08 17:51:38,2006-01-18 16:56:28,2.0,,,,
000623.XSHE,2006-01-18,银河证券,9.6600,,1,1,2024-11-08 17:52:11,2006-01-19 14:14:37,1.0,,,,
000623.XSHE,2006-01-24,国泰海通证券,8.6450,,2,1,2024-11-08 17:52:09,2006-02-06 13:20:33,2.0,,,,
000623.XSHE,2006-02-21,招商证券,,,2,1,2024-11-08 17:51:53,2006-02-22 16:56:34,2.0,,,,
000623.XSHE,2006-02-28,招商证券,9.5000,M06,1,1,2024-11-08 03:51:15,2006-02-28 17:23:19,1.0,9.5,,,
000623.XSHE,2006-03-07,招商证券,9.8000,M06,1,1,2024-11-08 03:51:23,2006-03-08 11:59:21,1.0,9.8,,,
000623.XSHE,2006-03-22,国泰海通证券,,,2,1,2024-11-08 17:51:38,2006-03-23 15:36:22,2.0,,,,
000623.XSHE,2006-04-08,国泰海通证券,11.4600,M06,1,1,2024-11-08 03:51:26,2006-04-13 18:17:25,1.0,11.46,,,
000623.XSHE,2006-04-10,招商证券,,,1,1,2024-11-08 17:52:06,2006-04-10 11:32:25,1.0,,,,
000623.XSHE,2006-05-10,招商证券,20.6200,M06,1,1,2024-11-08 03:51:20,2006-05-15 17:50:45,1.0,20.62,,,
000623.XSHE,2006-05-11,国泰海通证券,,,1,1,2024-11-08 17:52:06,2006-05-12 14:14:43,1.0,,,,
000623.XSHE,2006-06-04,国泰海通证券,27.5000,M06,1,1,2024-11-08 03:51:18,2006-06-07 17:23:35,1.0,27.5,,,
000623.XSHE,2006-06-21,招商证券,,,1,1,2024-11-08 17:51:32,2006-06-21 17:24:49,1.0,,,,
000623.XSHE,2006-06-21,国联民生,,,2,1,2024-11-08 17:51:52,2006-07-06 17:23:19,2.0,,,,
000623.XSHE,2006-06-29,中信建投,24.0000,M06,2,1,2024-11-08 03:51:21,2006-07-03 17:50:25,2.0,24.0,,,
000623.XSHE,2006-07-07,国泰海通证券,,,1,1,2024-11-08 17:52:17,2006-07-15 11:05:33,1.0,,,,
000623.XSHE,2006-07-12,国泰海通证券,,,1,1,2024-11-08 17:52:00,2006-07-14 11:05:28,1.0,,,,
000623.XSHE,2006-09-11,国泰海通证券,25.0000,M06,1,1,2024-11-08 03:51:13,2006-09-11 17:42:25,1.0,25.0,,,
