order_book_id,date,report_year,report_period,info_classification,institute,info_summary,report_date,title,author,est_profit,report_date_last,title_last,est_profit_last,info_date,report_type,forecast_profit_max,forecast_profit_min,profit,profit_q,forecast_profit_growth_limit,profit_growth,forcast_profit_growth_limit_q,profit_growth_q,fin_report_date_last,fin_report_type_last,forecast_profit_max_last,forecast_profit_min_last,profit_last,con_calc_date,con_profit,con_calc_date_last,con_profit_last,con_profit_q_last,con_profit_gr_last,con_profit_gr_q_last,expect_rate,rice_create_tm,create_tm
000155.XSHE,2013-08-22,2013,q2,1501,,2013-08-22发布的财报净利润同比增速超出一致预期2013同比增速,,,,,,,,2013-08-22,financial_reports,,,-158499249.6100,,,-0.1072,,,,,,,,,,2013-08-21,-122000000.0000,,-11.6587,,11.5516,2021-04-12 11:01:47,2021-04-12 11:01:47
000155.XSHE,2013-10-14,2013,q3,1502,,2013-10-14发布的业绩预告同比增速超出一致预期2013同比增速,,,,,,,,2013-10-14,performance_forecast,-200000000.0000,-260000000.0000,,,-1.0662,,,,,,,,,,,2013-10-11,-122000000.0000,,-11.6587,,10.5925,2021-04-12 11:01:47,2021-04-12 11:01:47
000155.XSHE,2013-10-31,2013,q3,1501,,2013-10-31发布的财报净利润同比增速超出一致预期2013同比增速,,,,,,,,2013-10-31,financial_reports,,,-239579132.2400,,,-0.9039,,,,,,,,,,2013-10-30,-122000000.0000,,-11.6587,,10.7548,2021-04-12 11:01:47,2021-04-12 11:01:47
000155.XSHE,2018-04-14,2017,q4,1403,,2018-04-14发布的业绩快报超出机构的一致预期,,,,,,,,2018-04-14,current_performance,,,324897200.0000,,,,,,,,,,,,,2018-04-13,322290000.0000,,,,0.0081,2021-04-12 11:01:47,2021-04-12 11:01:47
000155.XSHE,2018-04-14,2017,q4,1502,,2018-04-14发布的业绩快报同比增速超出一致预期2017同比增速,,,,,,,,2018-04-14,current_performance,,,324897200.0000,,,-0.6391,,,,,,,,,,2018-04-13,322290000.0000,,-0.6420,,0.0029,2021-04-12 11:01:47,2021-04-12 11:01:47
000155.XSHE,2018-04-14,2017,q4,1504,,2018-04-14发布的业绩快报同比增速超出2017一致预期同比增速,,,,,,,,2018-04-14,current_performance,,,,324897200.0000,,,,-0.7153,,,,,,,,2018-04-13,,150349172.5741,,-0.7201,0.0048,2021-04-12 11:01:47,2021-04-12 11:01:47
000155.XSHE,2018-04-28,2017,q4,1405,,2018-04-28发布的财报中，4季度净利润增速超出机构的一致预期,,,,,,,,2018-04-28,financial_reports,,,,152930883.5500,,,,-0.7153,,,,,,,,2018-04-27,,152927507.7951,,,0.0000,2021-04-12 11:01:47,2021-04-12 11:01:47
000155.XSHE,2018-04-28,2017,q4,1503,,2018-04-28发布的财报净利润同比增速超出2017一致预期同比增速,,,,,,,,2018-04-28,financial_reports,,,,152930883.5500,,,,-0.7153,,,,,,,,2018-04-27,,152927507.7951,,-0.7153,0.0000,2021-04-12 11:01:47,2021-04-12 11:01:47
000155.XSHE,2018-06-18,2018,q4,1102,海通证券,"海通证券2018-06-18发布的报告上调了该股盈利预测,分析师：张一弛,曾彪,徐柏乔",2018-06-18,川化股份：拟收购能投锂业50%股权 锂电布局全面启动,"张一弛,曾彪,徐柏乔",398670000.0000,2018-01-30,川化股份：重整恢复上市 坚定布局新能源,370220000.0000,,,,,,,,,,,,,,,,,,,,,,,0.0768,2021-04-12 11:01:47,2021-04-12 11:01:47
000155.XSHE,2021-01-28,2020,q4,1302,华西证券,华西证券2021-01-28发布的报告研报摘要中含有超预期信息,2021-01-28,川能动力：能投锂业股东变更登记已完成 携手股东助力四川万亿锂电产业,"晏溶,周志璐",271000000.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-12 11:01:47,2021-04-12 11:01:47
000155.XSHE,2021-07-12,2021,q4,1302,川财证券,川财证券2021-07-12发布的报告研报摘要中含有超预期信息,2021-07-12,川能动力：风光发电筑底 “锂电加固废”赋能新机遇,黄博,487190000.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-14 08:11:32,2021-07-14 08:11:32
000155.XSHE,2021-10-25,2021,q4,1101,华西证券,"华西证券2021-10-25发布的报告上调了该股盈利预测,分析师：晏溶",2021-10-25,川能动力：风电保障稳步增长 未来依托锂资源布局实现飞跃,晏溶,593000000.0000,2021-08-25,川能动力：新能源发电业绩符合预期 锂矿加锂盐业务有条不紊推进中,558800000.0000,,,,,,,,,,,,,,,,,,,,,,,0.0612,2021-10-27 08:08:27,2021-10-27 08:08:27
000155.XSHE,2021-10-26,2021,q3,1405,,2021-10-26发布的财报中，3季度净利润增速超出机构的一致预期,,,,,,,,2021-10-26,financial_reports,,,,24416745.1800,,,,58.0511,,,,,,,,2021-10-25,,1332331.0448,,,17.3263,2022-10-26 08:21:44,2022-10-26 08:21:44
000155.XSHE,2021-10-26,2021,q3,1503,,2021-10-26发布的财报净利润同比增速超出2021一致预期同比增速,,,,,,,,2021-10-26,financial_reports,,,,24416745.1800,,,,58.0511,,,,,,,,2021-10-25,,1332331.0448,,2.2222,55.8289,2022-10-26 08:21:44,2022-10-26 08:21:44
000155.XSHE,2021-12-16,2021,q4,1101,华西证券,"华西证券2021-12-16发布的报告上调了该股盈利预测,分析师：晏溶",2021-12-16,川能动力：2022年李家沟成唯一投产绿地项目 大股东谋篇布局下的唯一受益方,晏溶,602000000.0000,2021-10-28,川能动力：两大国资强强联手 左磷右锂资源升级,593000000.0000,,,,,,,,,,,,,,,,,,,,,,,0.0152,2021-12-18 11:48:31,2021-12-18 11:48:31
000155.XSHE,2022-06-14,2022,q4,1302,川财证券,川财证券2022-06-14发布的报告研报摘要中含有超预期信息,2022-06-14,川能动力：新能源发电业务筑底 锂电赋能新机遇,孙灿,467480000.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-18 06:24:58,2022-06-18 06:24:58
000155.XSHE,2022-08-19,2022,q2,1201,,近5个交易日内，该股一致预期净利润被大幅调高,,,,,,,,,,,,,,,,,,,,,,,2022-08-25,945000000.0000,2022-08-18,762154081.7600,,,,0.2399,2022-08-26 07:45:17,2022-08-26 07:45:17
000155.XSHE,2022-08-19,2022,q4,1302,华西证券,华西证券2022-08-19发布的报告研报摘要中含有超预期信息,2022-08-19,川能动力：李家沟提前实现基建矿收入 或为全球最快投产的绿地锂辉石矿山项目,晏溶,945000000.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-19 14:01:08,2022-08-19 14:01:08
000155.XSHE,2022-08-28,2022,q4,1302,中邮证券,中邮证券2022-08-28发布的报告研报摘要中含有超预期信息,2022-08-28,川能动力：发电加锂电双轮驱动 李家沟进展迅速,李帅华,733000000.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-01 07:14:24,2022-09-01 07:14:24
000155.XSHE,2022-10-26,2022,q4,1101,华泰证券,"华泰证券2022-10-26发布的报告上调了该股盈利预测,分析师：王玮嘉,黄波,李斌",2022-10-26,川能动力：业绩高速增长 锂电加绿电贡献显著,"王玮嘉,黄波,李斌",698430000.0000,2022-09-13,川能动力：绿电区域龙头 锂矿一体化稀缺标的,613840000.0000,,,,,,,,,,,,,,,,,,,,,,,0.1378,2022-10-27 08:44:47,2022-10-27 08:44:47
000155.XSHE,2022-10-26,2022,q4,1101,川财证券,"川财证券2022-10-26发布的报告上调了该股盈利预测,分析师：孙灿",2022-10-26,川能动力：新能源发电业务增长稳定 李家沟锂矿项目建设加速,孙灿,596950000.0000,2022-06-14,川能动力：新能源发电业务筑底 锂电赋能新机遇,467480000.0000,,,,,,,,,,,,,,,,,,,,,,,0.2770,2022-10-28 09:34:20,2022-10-28 09:34:20
000155.XSHE,2022-10-26,2022,q4,1302,川财证券,川财证券2022-10-26发布的报告研报摘要中含有超预期信息,2022-10-26,川能动力：新能源发电业务增长稳定 李家沟锂矿项目建设加速,孙灿,596950000.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-28 09:34:20,2022-10-28 09:34:20
000155.XSHE,2023-03-17,2022,q4,1403,,2023-03-17发布的业绩快报超出机构的一致预期,,,,,,,,2023-03-17,current_performance,,,713616200.0000,,,,,,,,,,,,,2023-03-16,605129995.3800,,,,0.1793,2023-03-17 08:18:55,2023-03-17 08:18:55
000155.XSHE,2023-03-17,2022,q4,1502,,2023-03-17发布的业绩快报同比增速超出一致预期2022同比增速,,,,,,,,2023-03-17,current_performance,,,713616200.0000,,,1.0523,,,,,,,,,,2023-03-16,605129995.3800,,0.7403,,0.3120,2023-03-17 08:18:55,2023-03-17 08:18:55
000155.XSHE,2023-03-17,2022,q4,1504,,2023-03-17发布的业绩快报同比增速超出2022一致预期同比增速,,,,,,,,2023-03-17,current_performance,,,,713616200.0000,,,,8.9673,,,,,,,,2023-03-16,,170231231.0592,,5.0877,3.8796,2023-03-17 08:18:55,2023-03-17 08:18:55
000155.XSHE,2023-04-02,2023,q4,1101,川财证券,"川财证券2023-04-02发布的报告上调了该股盈利预测,分析师：孙灿",2023-04-02,川能动力：业绩超预期增长 李家沟锂矿项目投产在即,孙灿,1164190000.0000,2022-10-26,川能动力：新能源发电业务增长稳定 李家沟锂矿项目建设加速,898850000.0000,,,,,,,,,,,,,,,,,,,,,,,0.2952,2023-04-04 06:55:02,2023-04-04 06:55:02
000155.XSHE,2023-04-02,2023,q4,1301,川财证券,川财证券2023-04-02发布的报告研报标题中含有超预期信息,2023-04-02,川能动力：业绩超预期增长 李家沟锂矿项目投产在即,孙灿,1164190000.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-04 06:55:02,2023-04-04 06:55:02
000155.XSHE,2023-04-02,2023,q4,1302,川财证券,川财证券2023-04-02发布的报告研报摘要中含有超预期信息,2023-04-02,川能动力：业绩超预期增长 李家沟锂矿项目投产在即,孙灿,1164190000.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-04 06:55:02,2023-04-04 06:55:02
000155.XSHE,2024-04-27,2023,q4,1201,,近5个交易日内，该股一致预期净利润被大幅调高,,,,,,,,,,,,,,,,,,,,,,,2024-05-08,1152000000.0000,2024-04-26,973213288.5700,,,,0.1837,2024-06-06 11:12:11,2024-06-06 11:12:11
000155.XSHE,2024-04-27,2023,q4,1405,,2024-04-27发布的财报中，4季度净利润增速超出机构的一致预期,,,,,,,,2024-04-27,financial_reports,,,,233559107.8600,,,,-0.1503,,,,,,,,2024-04-26,,189117935.7384,,,0.2350,2024-04-27 08:47:37,2024-04-27 08:47:37
000155.XSHE,2024-04-27,2023,q4,1503,,2024-04-27发布的财报净利润同比增速超出2023一致预期同比增速,,,,,,,,2024-04-27,financial_reports,,,,233559107.8600,,,,-0.1503,,,,,,,,2024-04-26,,189117935.7384,,-0.3120,0.1617,2024-04-27 08:47:37,2024-04-27 08:47:37
000155.XSHE,2024-04-29,2024,q1,1201,,近5个交易日内，该股一致预期净利润被大幅调高,,,,,,,,,,,,,,,,,,,,,,,2024-05-08,1152000000.0000,2024-04-26,973213288.5700,,,,0.1837,2024-05-09 06:13:16,2024-05-09 06:13:16
000155.XSHE,2024-04-29,2024,q1,1405,,2024-04-29发布的财报中，1季度净利润增速超出机构的一致预期,,,,,,,,2024-04-29,financial_reports,,,,415718640.2000,,,,0.5045,,,,,,,,2024-04-26,,337216900.4969,,,0.2328,2024-04-29 07:19:23,2024-04-29 07:19:23
000155.XSHE,2024-04-29,2024,q1,1501,,2024-04-29发布的财报净利润同比增速超出一致预期2024同比增速,,,,,,,,2024-04-29,financial_reports,,,415718640.2000,,,0.5045,,,,,,,,,,2024-04-26,973213288.5700,,0.2204,,0.2841,2024-04-29 07:19:23,2024-04-29 07:19:23
000155.XSHE,2024-04-29,2024,q1,1503,,2024-04-29发布的财报净利润同比增速超出2024一致预期同比增速,,,,,,,,2024-04-29,financial_reports,,,,415718640.2000,,,,0.5045,,,,,,,,2024-04-26,,337216900.4969,,0.2204,0.2841,2024-04-29 07:19:23,2024-04-29 07:19:23
000155.XSHE,2024-05-06,2024,q4,1302,东北证券,东北证券2024-05-06发布的报告研报摘要中含有超预期信息,2024-05-06,川能动力23年年报及24年一季报点评：风光业务稳健向好 锂资源自给率将迎来0-1的突破,曾智勤,1152000000.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-07 12:17:31,2024-05-07 12:17:31
000155.XSHE,2024-09-02,2024,q4,1302,东北证券,东北证券2024-09-02发布的报告研报摘要中含有超预期信息,2024-09-02,川能动力2024年半年报点评：风光业务持续向好 李家沟预计Q3开启采选联动试车,"曾智勤,谭卓尔",1105000000.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-03 12:52:38,2024-09-03 12:52:38
