order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,quarter_recommendation,half_year_target_price,one_year_target_price,half_year_recommendation,one_year_recommendation
000519.XSHE,2006-09-20,民族证券,,,2,1,2024-06-28 17:28:50,2006-09-22 17:40:30,2.0,,,,
000519.XSHE,2006-12-18,民族证券,,,1,1,2024-06-28 17:28:00,2006-12-22 11:10:34,1.0,,,,
000519.XSHE,2008-06-16,长城证券,,,3,1,2024-06-28 17:30:00,2008-06-16 17:40:28,3.0,,,,
000519.XSHE,2008-09-08,长城证券,,,3,1,2024-06-28 17:27:58,2008-09-08 15:47:09,3.0,,,,
000519.XSHE,2008-09-25,长城证券,,,3,1,2024-06-28 17:28:52,2008-09-25 17:01:52,3.0,,,,
000519.XSHE,2009-06-17,大通证券,,,3,1,2024-06-28 17:26:18,2009-06-17 15:18:40,3.0,,,,
000519.XSHE,2009-07-10,中信建投,,,3,1,2024-06-28 17:29:52,2009-07-14 17:49:47,3.0,,,,
000519.XSHE,2009-10-16,第一创业证券,,,3,1,2024-06-28 17:26:21,2009-10-16 14:09:17,3.0,,,,
000519.XSHE,2009-10-31,第一创业证券,,,3,1,2024-06-28 17:26:27,2009-11-06 09:18:06,3.0,,,,
000519.XSHE,2011-02-10,方正证券,,,1,1,2024-06-28 17:30:38,2011-02-14 17:40:41,1.0,,,,
000519.XSHE,2011-03-18,长城证券,,,3,1,2024-06-28 17:26:07,2011-03-21 17:07:35,3.0,,,,
000519.XSHE,2011-06-20,方正证券,,,1,1,2024-06-28 17:26:42,2011-06-24 12:11:30,1.0,,,,
000519.XSHE,2011-08-01,华鑫证券,,,1,1,2024-06-28 17:27:48,2011-08-02 16:12:35,1.0,,,,
000519.XSHE,2011-08-15,方正证券,,,1,1,2024-06-28 17:29:24,2011-08-16 13:23:13,1.0,,,,
000519.XSHE,2011-10-25,天相投顾,,,3,1,2024-06-28 17:26:32,2011-11-07 10:13:21,3.0,,,,
000519.XSHE,2012-09-28,东兴证券,,,2,1,2024-06-28 17:29:01,2012-09-28 20:37:10,2.0,,,,
000519.XSHE,2012-10-08,长城证券,,,2,1,2024-06-28 17:27:07,2012-10-08 17:30:45,2.0,,,,
000519.XSHE,2013-09-12,招商证券,16.1000,M06,1,1,2024-06-28 05:25:03,2013-09-16 17:56:11,1.0,16.1,,,
000519.XSHE,2013-09-16,长江证券,,,2,1,2024-06-28 17:29:50,2013-09-16 17:56:11,2.0,,,,
000519.XSHE,2013-10-21,招商证券,16.1000,M06,1,1,2024-06-28 05:25:18,2013-10-23 17:56:19,1.0,16.1,,,
000519.XSHE,2013-10-21,长江证券,,,2,1,2024-06-28 17:31:58,2013-10-21 17:56:17,2.0,,,,
000519.XSHE,2014-01-23,长江证券,,,2,1,2024-06-28 17:28:01,2014-01-23 15:15:27,2.0,,,,
000519.XSHE,2014-03-10,长江证券,,,2,1,2024-06-28 17:27:57,2014-03-10 15:15:14,2.0,,,,
000519.XSHE,2014-03-10,渤海证券,,,2,1,2024-06-28 17:31:39,2014-03-10 21:30:22,2.0,,,,
000519.XSHE,2014-04-18,长江证券,,,2,1,2024-06-28 17:26:13,2014-04-18 14:06:35,2.0,,,,
000519.XSHE,2014-04-25,长江证券,,,2,1,2024-06-28 17:27:28,2014-04-25 16:24:27,2.0,,,,
000519.XSHE,2014-08-04,渤海证券,,,2,1,2024-06-28 17:31:05,2014-08-06 17:58:36,2.0,,,,
000519.XSHE,2014-08-11,爱建证券,,,2,1,2024-06-28 17:28:34,2014-08-13 21:30:37,2.0,,,,
000519.XSHE,2014-08-13,招商证券,20.0000,M06,1,1,2024-06-28 05:25:04,2014-08-14 13:43:16,1.0,20.0,,,
000519.XSHE,2014-08-13,长江证券,,,2,1,2024-06-28 17:32:02,2014-08-13 17:10:28,2.0,,,,
000519.XSHE,2014-08-18,爱建证券,,,2,1,2024-06-28 17:28:39,2014-08-19 21:30:15,2.0,,,,
000519.XSHE,2014-10-24,长江证券,,,2,1,2024-06-28 17:31:35,2014-10-25 09:07:20,2.0,,,,
000519.XSHE,2015-04-14,长江证券,,,2,1,2024-06-28 17:30:05,2015-04-14 17:33:33,2.0,,,,
000519.XSHE,2015-04-27,长江证券,,,2,1,2024-06-28 17:30:25,2015-04-28 17:34:44,2.0,,,,
000519.XSHE,2015-08-24,长江证券,,,1,1,2024-06-28 17:32:08,2015-08-24 21:30:49,1.0,,,,
000519.XSHE,2015-10-26,长江证券,,,1,1,2024-06-28 17:29:15,2015-10-26 21:31:01,1.0,,,,
000519.XSHE,2015-10-29,长江证券,,,1,1,2024-06-28 17:32:07,2015-10-29 21:30:47,1.0,,,,
000519.XSHE,2015-12-14,长江证券,,,1,1,2024-06-28 17:28:06,2015-12-14 14:52:22,1.0,,,,
000519.XSHE,2015-12-28,银河证券,,,1,1,2024-06-28 17:31:45,2015-12-28 16:21:07,1.0,,,,
000519.XSHE,2016-02-22,爱建证券,,,2,1,2024-06-28 17:29:35,2016-02-22 16:21:03,2.0,,,,
000519.XSHE,2016-03-15,长江证券,,,1,1,2024-06-28 17:30:00,2016-03-15 14:54:11,1.0,,,,
000519.XSHE,2016-04-18,长江证券,,,1,1,2024-06-28 17:27:23,2016-04-18 16:21:38,1.0,,,,
000519.XSHE,2016-04-22,长江证券,,,1,1,2024-06-28 17:31:26,2016-04-25 13:21:29,1.0,,,,
000519.XSHE,2016-08-15,民生证券,,,1,1,2024-06-28 17:28:30,2016-08-16 17:29:25,1.0,,,,
000519.XSHE,2016-08-17,民生证券,17.7900,M06,1,1,2024-06-28 05:25:45,2016-08-19 16:21:41,1.0,17.79,,,
000519.XSHE,2016-08-22,民生证券,,,1,1,2024-06-28 17:29:49,2016-08-24 21:31:01,1.0,,,,
000519.XSHE,2016-08-26,长江证券,,,1,1,2024-06-28 17:29:42,2016-08-26 21:31:04,1.0,,,,
000519.XSHE,2016-08-26,民生证券,17.7900,M06,1,1,2024-06-28 05:25:47,2016-08-29 21:30:45,1.0,17.79,,,
000519.XSHE,2016-08-27,东北证券,,,2,1,2024-06-28 17:27:23,2016-08-29 11:25:34,2.0,,,,
000519.XSHE,2016-08-29,民生证券,,,1,1,2024-06-28 17:29:32,2016-08-31 11:50:40,1.0,,,,
000519.XSHE,2016-09-05,民生证券,,,1,1,2024-06-28 17:29:59,2016-09-05 21:30:55,1.0,,,,
000519.XSHE,2016-09-12,民生证券,,,1,1,2024-06-28 17:32:05,2016-09-13 16:23:39,1.0,,,,
000519.XSHE,2016-09-19,民生证券,,,1,1,2024-06-28 17:30:38,2016-09-20 13:43:51,1.0,,,,
000519.XSHE,2016-09-26,民生证券,,,1,1,2024-06-28 17:26:14,2016-09-26 21:30:56,1.0,,,,
000519.XSHE,2016-09-28,民生证券,17.7900,M06,1,1,2024-06-28 05:25:45,2016-09-29 17:29:34,1.0,17.79,,,
000519.XSHE,2016-10-10,民生证券,,,1,1,2024-06-28 17:30:11,2016-10-11 17:29:56,1.0,,,,
000519.XSHE,2016-12-08,国投证券,19.4100,M06,1,1,2024-06-28 05:24:55,2016-12-09 10:16:34,1.0,19.41,,,
000519.XSHE,2016-12-11,国投证券,19.4100,M06,1,1,2024-06-28 05:25:06,2016-12-12 11:02:56,1.0,19.41,,,
000519.XSHE,2016-12-31,海通证券,16.5000,M06,2,1,2024-06-28 05:25:24,2017-01-03 14:52:18,2.0,16.5,,,
000519.XSHE,2017-01-05,渤海证券,,,2,1,2024-06-28 17:27:20,2017-01-06 14:52:30,2.0,,,,
000519.XSHE,2017-04-27,广发证券,,,1,1,2024-06-28 17:31:43,2017-04-28 13:20:43,1.0,,,,
